municipality,url,status,bytes,filename,year,is_atr
Dracut,https://dracutma.gov/DocumentCenter/View/513/Conway-School-Alternatives-Analysis-PDF,200,11394214,Conway School Alternatives Analysis (2019)  (PDF).pdf,2019,no
Dracut,https://dracutma.gov/DocumentCenter/View/514/Johnson-Roberts-Structural-Report-PDF?bidId=,200,12410466,Johnson Roberts Structural Report (2021)  (PDF).pdf,2021,no
Dracut,https://dracutma.gov/DocumentCenter/View/515/Pfeiffer-Conditions-Report-PDF,200,20107333,Pfeiffer Conditions Report (2016) (PDF).pdf,2016,no
Dracut,https://dracutma.gov/DocumentCenter/View/5265/Finance-Committee-Report-Fall-Town-Meeting-FY2026-PDF,200,424000,Finance Committee Report Fall Town Meeting FY2026.pdf,2026,no
Dracut,https://dracutma.gov/DocumentCenter/View/5609/Principal-Clerk-Bookkeeper-Sewer-2026?bidId=,200,232829,Principal Clerk-Bookkeeper Sewer 2026.pdf,2026,no
Dracut,https://dracutma.gov/DocumentCenter/View/5637/NMRECC-FY27-Budget-Presentation-PDF,200,543908,NMRECC FY27_Budget_Presentation.pdf,2027,no
Dracut,https://dracutma.gov/DocumentCenter/View/5637/NMRECC-FY27_Budget_Presentation,200,543908,NMRECC FY27_Budget_Presentation.pdf,2027,no
Dracut,https://dracutma.gov/DocumentCenter/View/5638/SB-Presentation-_-32426,200,4073337,SB Presentation _ 3.24.26.pdf,,no
Dracut,https://dracutma.gov/DocumentCenter/View/5641/School-Chargebacks-FY27-V2,200,139543,School Chargebacks FY27 V2.pdf,2027,no
Dracut,https://dracutma.gov/DocumentCenter/View/5643/Budget-Book_Abr-4226,200,10350972,Budget Book_Abr. 4.2.26.pdf,,no
Dracut,https://dracutma.gov/DocumentCenter/View/5816/,200,374029,Dracut Flyer_Public Information Meeting.pdf,,no
Dracut,https://dracutma.gov/DocumentCenter/View/965/Budget-Book-FY2021-PDF,200,29841716,FY2021 Budget Final.pdf,2021,no
Dracut,https://dracutma.gov/DocumentCenter/View/966/Budget-Book-FY2022-PDF,200,30386199,FY2022 Budet Final.pdf,2022,no
Dracut,https://dracutma.gov/DocumentCenter/View/967/Budget-Book-FY2023-PDF,200,4545400,FY2023 Budget Book FInal.pdf,2023,no
Dracut,https://dracutma.gov/DocumentCenter/View/968/Revised-Budget-Book-FY2021-PDF,200,2530600,FY2021 Revised Budget.pdf,2021,no
Dracut,https://dracutma.gov/DocumentCenter/View/984/DPW-Trench-Permit-Form-PDF,200,167297,DPW TRENCH PERMIT FORM.pdf,,no
Dracut,https://www.dracutma.gov/ArchiveCenter/ViewFile/Item/347,200,1244162,Dracut Year 3 Annual Report - 2021.pdf,2021,no
Dracut,https://www.dracutma.gov/ArchiveCenter/ViewFile/Item/348,200,855447,Town of Dracut - Year 2 MS4 Annual Report.pdf,,no
Dracut,https://www.dracutma.gov/ArchiveCenter/ViewFile/Item/349,200,780582,Town of Dracut - Year 4 Annual MS4 Report.pdf,,no
Dracut,https://www.dracutma.gov/ArchiveCenter/ViewFile/Item/350,200,804108,Town of Dracut Year 1 MS4 Annual Report - signed.pdf,,no
Dracut,https://www.dracutma.gov/ArchiveCenter/ViewFile/Item/351,200,193563,Procurement dates bids and awards 04-11-2023 (PDF).pdf,2023,no
Dracut,https://www.dracutma.gov/ArchiveCenter/ViewFile/Item/371,200,265080396,Town of Dracut Annual Report 2022 (PDF)_vs6mqm0gdoa.PDF,2022,yes
Dracut,https://www.dracutma.gov/ArchiveCenter/ViewFile/Item/372,200,54672448,Annual Report 2023.pdf,2023,no
Dracut,https://www.dracutma.gov/ArchiveCenter/ViewFile/Item/374,200,816965,Town of Dracut - Year 6 MS4 Annual Report.pdf,,no
Dracut,https://www.dracutma.gov/ArchiveCenter/ViewFile/Item/51,200,15751669,annual_town_report_2021.pdf,2021,yes
Dracut,https://www.dracutma.gov/DocumentCenter/View/1000/Archinski-Tony-30-Days-After-PDF,200,326516,archinski_tony_30_days_after_0.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1002/Corey-Robert-8-Days-Before-PDF,200,327604,corey_robert_2022_8_days_before.pdf,2022,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1003/Corey-Robert-30-Days-After-PDF,200,323219,corey_robert_e._30_days_after.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1007/Bomil-Tom-Year-End-2022-PDF,200,1342917,"Bomil, Tom Year End 2022.pdf",2022,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1008/DiRocco-Joseph-Year-End-2022-PDF,200,316751,"DiRocco, Joseph Year End 2022.pdf",2022,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1009/Duda-Rebecca-Year-End-2022-PDF,200,161300,"Duda, Rebecca Year End 2022.pdf",2022,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1011/Genest-Alison-Year-End-2022-PDF,200,122673,"Genest, Alison Year End 2022.pdf",2022,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1012/Graham-Kathleen-Year-End-2022-PDF,200,319400,"Graham, Kathleen Year End 2022.pdf",2022,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1013/Kopcinski-Jennifer-8-Days-Before-PDF,200,314989,"Kopcinski, Jennifer 8 Days Before.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1015/Kopcinski-Jennifer-Year-End-2022-PDF,200,314348,"Kopcinski, Jennifer Year End 2022.pdf",2022,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1016/Malliaros-George-8-Days-Before-PDF,200,298372,"Malliaros, George 8 Days Before.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1020/Mayall-Gretchen-Year-End-2022-PDF,200,285669,"Mayall, Gretchen Year End 2022.pdf",2022,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1021/Nazzaro-Alyssa-8-Days-Before-PDF,200,349277,"Nazzaro, Alyssa 8 Days Before.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1022/Nazzaro-Alyssa-30-Days-After-PDF,200,337388,"Nazzaro, Alyssa 30 Days After.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1032/Powling-Sarah-8-Days-Before-PDF,200,823419,"Powling, Sarah 8 Days Before.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1034/Powling-Sarah-Year-End-2022-PDF,200,272423,"Powling, Sarah Year End 2022.pdf",2022,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1035/Santiago-Hutchings-Heather-Year-End-2022-PDF,200,326522,"Santiago-Hutchings, Heather Year End 2022.pdf",2022,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1036/Sheppard-Robert-8-Days-Before-PDF,200,146032,"Sheppard, Robert 8 Days Before.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1039/Sheehan-Matthew-8-Days-Before-v2-PDF,200,517350,"Sheehan, Matthew 8 Days Before v2.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1040/Sheehan-Matthew-8-Days-Before-PDF,200,334081,"Sheehan, Matthew 8 Days Before.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1041/Sheehan-Matthew-30-Days-After-v2-PDF,200,179033,"Sheehan, Matthew 30 Days After v2.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1042/Sheehan-Matthew-30-Days-After-PDF,200,296122,"Sheehan, Matthew 30 Days After.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1043/Sheehan-Matthew-Year-End-2022-PDF,200,517095,"Sheehan, Matthew Year End 2022.pdf",2022,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1044/Volpe-Allison-8-Days-Before-PDF,200,152493,"Volpe, Allison 8 Days Before.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1045/Volpe-Allison-30-Days-After-PDF,200,123530,"Volpe, Allison 30 Days After.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1046/Volpe-Allison-Year-End-2022-PDF,200,247954,"Volpe, Allison Year End 2022.pdf",2022,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1047/Trouville-Linda-8-Days-Before-PDF,200,122187,"Trouville, Linda 8 Days Before.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1050/Taylor-Joshua-8-Days-Before-PDF,200,389585,"Taylor, Joshua 8 Days Before.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1051/Thibault-Phillippe-8-Days-Before-PDF,200,377916,"Thibault, Phillippe 8 Days Before.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1052/Thibault-Phillippe-30-Days-After-PDF,200,282145,"Thibault, Phillippe 30 Days After.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1053/Thibault-Phillippe-Year-End-2022-PDF,200,238263,"Thibault, Phillippe Year End 2022.pdf",2022,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1054/DiRocco-Joseph-8-Day-Before-PDF,200,1036104,"DiRocco, Joseph 8 Day Before.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1055/Duda-Rebecca-8-Day-Before-PDF,200,2261113,"Duda, Rebecca 8 Day Before.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1058/Duda-Rebecca-30-Days-After-PDF,200,922541,"Duda, rebecca 30 Days After.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1059/Flaherty-Brian-8-Days-Before-PDF,200,920235,"Flaherty, Brian 8 Days Before.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1060/Flaherty-Brian-30-Days-After-PDF,200,444421,"Flaherty, Brian 30 Days After.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1061/Mayall-Gretchen-Marie-30-Days-After-PDF,200,470353,"Mayall, Gretchen Marie 30 Days After.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1063/Thibault-Philippe-8-Days-Before-PDF,200,3462799,"Thibault, Philippe 8 Days Before.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1064/Thibault-Philippe-30-Days-After-PDF,200,892787,"Thibault, Philippe 30 Days After.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1073/DiRocco-Joseph-Year-End-PDF,200,325544,"DiRocco, Joseph Year End.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1075/Trouville-Linda-M-Year-End-PDF,200,241524,"Trouville, Linda M Year End.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1076/Archinski-Tony-Year-End-PDF,200,318407,"Archinski, Tony Year End.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1077/Thibault-Philippe-Year-End-PDF,200,327455,"Thibault, Philippe Year End.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1079/Flaherty-Brian-Year-End-PDF,200,110038,"Flaherty, Brian Year End.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1080/Verville-Monique-M-Year-End-PDF,200,112916,"Verville, Monique M Year End.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1084/Genest-Alison-Year-End-PDF,200,170908,"Genest, Alison Year End.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1085/Santiago-Hutchings-Heather-Year-End-PDF,200,374238,"Santiago-Hutchings, Heather Year End.pdf",,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1250/Young-Rene-Year-End-2022-PDF,200,280922,"Young, Rene Year End 2022 (PDF).pdf",2022,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1253/Town-of-Dracut---Procurement-Handbook-PDF?bidId=,200,2029534,Town of Dracut - Procurment Handbook (PDF).pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1254/Surplus-Policy-PDF?bidId=,200,497190,Surplus Policy (PDF).pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1256/Chapter-40B-Handbook-PDF,200,6484071,Chapter 40B Handbook (PDF).pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1257/Submitted-Project-Eligibility-Comments-PDF,200,1068181,Murphys Farm Final Dracut PEL Comments.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1258/Project-Eligibility-Application-PDF,200,25915021,Murphys Farm - Eligibility Application.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/129/Credential-Application-PDF,200,231368,Credential Application (PDF).pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/129/Credential-Application-PDF?bidId=,200,231368,Credential Application (PDF).pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/133/Beat-The-Beep-PDF?bidId=,200,1206929,Beat The Beep (PDF).pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1336/New-Vendor-W9-Form-PDF,200,143607,New Vendor W9 Form.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/134/Candle-Safety-Tips-PDF?bidId=,200,170548,Candle Safety Tips (PDF).pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/135/Dryer-Safety-Tips-PDF?bidId=,200,363558,Dryer Safety Tips (PDF).pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1353/Town-of-Dracut-MLC-Form-Rev-2023,200,180126,Town of Dracut update MLC form 2023.pdf,2023,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/137/Fire-Safety-Tips-PDF,200,219507,Fire Safety Tips (PDF).pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/137/Fire-Safety-Tips-PDF?bidId=,200,219507,Fire Safety Tips (PDF).pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/138/Home-Escape-Plans-PDF,200,490593,Home Escape Plans (PDF).pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/138/Home-Escape-Plans-PDF?bidId=,200,490593,Home Escape Plans (PDF).pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1410/Dracut----Stormwater-Rules-and-Regulations-PDF,200,349909,Dracut -  Stormwater Rules and Regulations.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1411/SOP-Number-1---Street-Sweeping-PDF,200,271085,SOP Number 1 - Street Sweeping.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1412/SOP-Number-2---Winter-Road-Maintenance-PDF,200,403631,SOP Number 2 - Winter Road Maintenance.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1413/SOP-Number-3---Catch-basin-Cleaning-PDF,200,218034,SOP Number 3 - Catch basin Cleaning.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1414/SOP-Number-4---Stormwater-Infrastructure-Maintenance-PDF,200,406607,SOP Number 4 - Stormwater Infrastructure Maintenance.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1415/SOP-Number-5---Oil-Water-Separator-PDF,200,197682,SOP Number 5 - Oil Water Separator.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1416/SOP-Number-6---Municipal-Vehicle-Washing-PDF,200,167028,SOP Number 6 - Municipal Vehicle Washing.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1417/SOP-Number-7---Spill-Response-PDF,200,243190,SOP Number 7 - Spill Response.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1418/SOP-Number-8---Construction-Site-Inspection-PDF,200,429570,SOP Number 8 - Construction Site Inspection.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1419/SOP-Number-9---Erosion-and-Sedimentation-Control-PDF,200,246732,SOP Number 9 - Erosion and Sedimentation Control.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1420/SOP-Number-10---Dry-Weather-Outfall-Inspection-PDF,200,332413,SOP Number 10 - Dry Weather Outfall Inspection.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1422/SOP-Number-12---Locating-Illicit-Discharges-PDF,200,387072,SOP Number 12 - Locating Illicit Discharges.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1423/SOP-Number-13---Water-Quality-Screening-PDF,200,292113,SOP Number 13 - Water Quality Screening.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1424/SOP-Number-14---Operations-and-Maintenance-of-Parks-and-Open-Spaces-PDF,200,286168,SOP Number 14 - Operations and Maintenance of Parks and Open Spaces.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1425/SOP-Number-15---Operation-and-Maintenance-of-Municipal-Building-and-Facilities-PDF,200,233659,SOP Number 15 - Operation and Maintenance of Municipal Building and Facilities.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1426/SOP-Number-16---Operation-and-Maintenance-of-Municipal-Vehicles-and-Equipment-PDF,200,392327,SOP Number 16 - Operation and Mainteance of Municipal Vehicles and Equipment.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1427/Town-of-Dracut-Stormwater-Management-Program-year-1-PDF,200,683796,Town of Dracut Stormwater Management Program year 1.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1428/Town-of-Dracut-Stormwater-Management-Program-year-2-PDF,200,614829,Town of Dracut Stormwater Management Program year 2.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1429/Town-of-Dracut-Stormwater-Management-Program-year-3-PDF,200,834850,Town of Dracut Stormwater Management Program year 3.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/143/Smoke-and-CO-Checklist-PDF?bidId=,200,81447,Smoke-CO 26F Checklist 01-01-2026_202601060831455234.pdf,2026,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1430/Town-of-Dracut-Stormwater-Management-Program-Year-4-PDF,200,918339,Town of Dracut Stormwater Management Program Year 4.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1432/Developers---Construction-Stormwater-Tips-PDF,200,564679,Developers - Construction Stormwater Tips.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1435/Pet-Waste-Brochure-PDF,200,690324,pet_waste_brochure.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1438/Stormwater-Management-of-Commercial-Entities-PDF,200,183599,Stormwater Management of Commercial Entities.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1440/Dracut-DPW-Stormwater-Pollution-Prevention-Plan-PDF-,200,9074520,Dracut DPW SWPPP.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1442/Project-Eligibility-Application-PDF,200,7457241,CompPermitSubmit Fnl 081922.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1443/MassHoussing-Eligibility-Letter-PDF,200,1251112,PEL - 135 Greenmont.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1448/Dracut---Authorization-to-Discharge-Letter-PDF,200,122625,Dracut - Authorization to Discharge Letter.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1449/Dracut-NOI-2018-PDF,200,3088676,Dracut NOI 2018.pdf,2018,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1451/Outfall-Priority-Ranking-Year-3-MS4-Annual-Report-PDF,200,1049780,Outfall Priority Ranking Year 3 MS4 Annual Report.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1464/FY25-Clause-17D-Elderly-Surviving-Spouse-Application-PDF?bidId=,200,221198,FY27 Clause 17D Elderly Surviving Spouse Application (PDF)_202606151038460410.pdf,2027,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1550/Town-of-Dracut-Projects-PDF,200,254820,Town of Dracut Projects Web Site 05-20-24_202405201010188113.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/1585/Submitted-Project-Eligibility-Comments-PDF,200,129618,135 Greenmont revised PEL letter.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/162/Change-of-Mailing-Address-Form--SalesPurchase-Verification-Form-PDF,200,161781,Real Estate Tax Change of Mailing Address Request & SalesPurchase Verification(PDF)_202304061930584195.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/163/Personal-Property-Change-of-Address-Form-PDF,200,112422,Personal Property Tax Change of Mailing Address Request (PDF)_202304061931100185.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/164/3ABC-PDF?bidId=,200,316515,3ABC Form (PDF)_202606151242219818.pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/166/Mixed-Use-PDF?bidId=,200,127210,Mixed Use (PDF) (PDF).pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/167/Residential-PDF?bidId=,200,134504,Residential (PDF) (PDF).pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/168/CommercialIndustrial-PDF?bidId=,200,149808,Industrial (PDF) (PDF).pdf,,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/171/FY25-Clause-37A-Legally-Blind-Application-PDF?bidId=,200,245313,FY27 Clause 37A Legally Blind Application (PDF)_202606151125088601.pdf,2027,no
Dracut,https://www.dracutma.gov/DocumentCenter/View/173/FY25-CPA-Exemption-Application-PDF?bidId=,200,163819,FY27 CPA Exemption Application (PDF)_202606151039450334.pdf,2027,no
