stem,bucket,priority,size,worst_verdict,layer,findings,summary,status,resolution
Brookline2026,ungrounded-names-1,2171.8,41548,FAIL,1,2,names_grounded: 81/123 names located in data/raw_ocr/Brookline2026.txt,open,
Chicopee2023,ungrounded-names-1,2168.5,41035,FAIL,1,2,names_grounded: 31/33 names located in data/raw_ocr/Chicopee2023.txt,open,
Erving2026,undated-1,2167.0,1298,FAIL,0,2,carries_the_year: '2026' does not appear in data/markdown/Erving2026.md,open,
Barnstable2021,ungrounded-names-1,2166.1,35466,FAIL,1,3,names_grounded: 12/14 names located in data/markdown/Barnstable2021.md,open,
Salem2025,ungrounded-names-1,2165.7,35403,FAIL,1,3,names_grounded: 45/49 names located in data/raw_ocr/Salem2025.txt,open,
Chicopee2021,ungrounded-names-1,2155.7,39066,FAIL,1,2,names_grounded: 30/36 names located in data/raw_ocr/Chicopee2021.txt,open,
Milton2025,ungrounded-names-1,2141.8,22112,FAIL,1,3,names_grounded: 199/200 names located in data/markdown/Milton2025.md,open,
Billerica2025,ungrounded-names-1,2138.4,31927,FAIL,1,3,names_grounded: 88/97 names located in data/raw_ocr/Billerica2025.txt,open,
Attleboro2025,ungrounded-names-1,2137.7,34045,FAIL,1,3,names_grounded: 29/30 names located in data/raw_ocr/Attleboro2025.txt,open,
Attleboro2021,ungrounded-names-1,2137.1,31769,FAIL,1,3,names_grounded: 16/29 names located in data/raw_ocr/Attleboro2021.txt,open,
Dartmouth2024,impossible-arithmetic-1,2133.1,24217,FAIL,2,9,marks_exceed_ballots: SCHOOL COMMITTEE MEMBER: 3844 marks > 3810 ballots x 1 seats = 3810,open,
Pittsfield2025,ungrounded-names-1,2133.0,31284,FAIL,1,3,names_grounded: 17/28 names located in data/raw_ocr/Pittsfield2025.txt,open,
Beverly2025,ungrounded-names-1,2131.5,31104,FAIL,1,3,names_grounded: 24/27 names located in data/markdown/Beverly2025.md,open,
Beverly2021,ungrounded-names-1,2123.7,30198,FAIL,1,3,names_grounded: 17/27 names located in data/raw_ocr/Beverly2021.txt,open,
Pelham2026,no-document-1,2119.8,1043,FAIL,0,3,document_held: no document of any kind held,open,
Chilmark2022,no-document-1,2119.7,1097,FAIL,0,2,document_held: no document of any kind held,open,
Billerica2021,ungrounded-names-1,2117.1,29453,FAIL,1,3,names_grounded: 24/88 names located in data/markdown/Billerica2021.md,open,
Pittsfield2021,ungrounded-names-1,2115.2,29251,FAIL,1,3,names_grounded: 146/148 names located in data/markdown/Pittsfield2021.md,open,
Hingham2026,ungrounded-names-1,2115.0,20070,FAIL,1,3,names_grounded: 10/11 names located in data/raw_ocr/Hingham2026.txt,open,
Arlington2026,ungrounded-names-1,2104.3,32046,FAIL,1,2,names_grounded: 17/116 names located in data/raw_ocr/Arlington2026.txt,open,
Canton2026,ungrounded-names-1,2094.8,18656,FAIL,1,3,names_grounded: 10/16 names located in data/raw_ocr/Canton2026.txt,open,
Fitchburg2025,ungrounded-names-1,2094.4,27033,FAIL,1,3,names_grounded: 43/44 names located in data/markdown/Fitchburg2025.md,open,
Natick2026,ungrounded-names-1,2085.5,26136,FAIL,1,4,names_grounded: 34/64 names located in data/raw_ocr/Natick2026.txt,open,
Falmouth2026,ungrounded-names-1,2077.4,28893,FAIL,1,2,names_grounded: 94/110 names located in data/raw_ocr/Falmouth2026.txt,open,
Amherst2021,ungrounded-names-1,2072.2,15316,FAIL,1,4,names_grounded: 30/37 names located in data/markdown/Amherst2021.md,open,
Westfield2025,ungrounded-names-1,2071.3,28224,FAIL,1,2,names_grounded: 59/280 names located in data/markdown/Westfield2025.md,open,
Dartmouth2022,ungrounded-names-1,2070.5,23167,FAIL,1,5,names_grounded: 29/127 names located in data/markdown/Dartmouth2022.md,open,
Orange2021,ungrounded-names-1,2068.4,5391,FAIL,1,4,names_grounded: 3/6 names located in data/raw_ocr/Orange2021.txt,open,
Franklin2023,ungrounded-names-1,2067.4,24404,FAIL,1,3,names_grounded: 10/27 names located in data/raw_ocr/Franklin2023.txt,open,
Needham2023,ungrounded-names-1,2062.8,23982,FAIL,1,3,names_grounded: 98/100 names located in data/markdown/Needham2023.md,open,
Lexington2026,ungrounded-names-1,2052.6,23070,FAIL,1,3,names_grounded: 123/144 names located in data/raw_ocr/Lexington2026.txt,open,
Worthington2023,undated-1,2052.5,977,FAIL,0,2,carries_the_year: '2023' does not appear in data/raw_ocr/Worthington2023.txt,open,
Northampton2023,ungrounded-names-1,2045.7,22477,FAIL,1,3,names_grounded: 10/26 names located in data/raw_ocr/Northampton2023.txt,open,
