town,town_norm,community_type,governing_body,deadline_year
Wayland,wayland,MBTA adjacent,Select Board,2024
Wellesley,wellesley,subway or light rail,Select Board,2023
Wenham,wenham,commuter rail,Select Board,2024
West Boylston,westboylston,MBTA adjacent,Select Board,2024
West Bridgewater,westbridgewater,MBTA adjacent,Select Board,2024
West Newbury,westnewbury,MBTA adjacent,Select Board,2024
Westborough,westborough,commuter rail,Select Board,2024
Westford,westford,MBTA adjacent,Select Board,2024
Westminster,westminster,commuter rail,Select Board,2024
Weston,weston,subway or light rail,Select Board,2023
Westwood,westwood,bus,Select Board,2025
Weymouth,weymouth,bus,City Council,2025
Whitman,whitman,commuter rail,Select Board,2024
Wilmington,wilmington,bus,Select Board,2025
Winchester,winchester,bus,Select Board,2025
Winthrop,winthrop,subway or light rail,City Council,2023
Woburn,woburn,bus,City Council,2025
Worcester,worcester,commuter rail,City Council,2024
Wrentham,wrentham,MBTA adjacent,Select Board,2024
