stem,old_cut,new_cut,pages,picked,score,runner_up,detail,url,election
Bedford2009,minutes or warrant,looks like return,134,72-80,52,50,"page 76: 1 headings, 9 ballot words, 0 offices",https://web.archive.org/web/20210512233410id_/https://www.bedfordma.gov/sites/g/files/vyhlif6866/f/file/file/annual_report_2009_final-updated_2-26-10.pdf,a state or presidential election
Chelmsford2019,unclear,looks like return,224,129-136,52,51,"page 133: 1 headings, 9 ballot words, 0 offices",https://archives.lib.state.ma.us/server/api/core/bitstreams/87e9a885-4a7f-4293-b794-ada98c262407/content,a state or presidential election
Grafton2014,minutes or warrant,looks like return,122,9-15,73,71,"page 10: 1 headings, 14 ballot words, 8 offices",https://web.archive.org/web/20151022185021id_/http://www.grafton-ma.gov:80/sites/graftonma/files/uploads/bos_town_report_2014.pdf,a state or presidential election
Hingham2006,unclear,looks like return,206,83-90,45,19,"page 87: 1 headings, 6 ballot words, 3 offices",https://web.archive.org/web/20100527143020id_/http://www.hingham-ma.gov/document/Town_Annual_Report_2006.pdf,a state or presidential election
Millis2018,directory or list,looks like return,211,16-24,65,34,"page 17: 1 headings, 10 ballot words, 6 offices",https://web.archive.org/web/20220302180557id_/https://www.millisma.gov/sites/g/files/vyhlif901/f/uploads/2018_annual_town_report.pdf,a state or presidential election
Wellfleet2014,directory or list,looks like return,272,98-108,57,25,"page 99: 1 headings, 14 ballot words, 0 offices",https://web.archive.org/web/20161229162247id_/https://www.wellfleet-ma.gov/sites/wellfleetma/files/file/file/2014_annual_town_report_final.pdf,a state or presidential election
Ayer2017,minutes or warrant,looks like return,172,148-154,55,34,"page 149: 1 headings, 16 ballot words, 2 offices",https://web.archive.org/web/20210326065428id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2017_town_report_digital_copy.pdf,an annual town election
Ayer2019,minutes or warrant,looks like return,175,89-94,55,43,"page 90: 1 headings, 16 ballot words, 2 offices",https://web.archive.org/web/20210326065422id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2019_town_of_ayer_annual_report.pdf,an annual town election
Bedford2008,minutes or warrant,looks like return,118,62-68,66,64,"page 66: 1 headings, 5 ballot words, 5 offices",https://web.archive.org/web/20161226234149id_/http://www.bedfordma.gov/sites/bedfordma/files/file/file/2008_annual_report.pdf,an annual town election
Cohasset2010,minutes or warrant,looks like return,200,61-65,51,20,"page 62: 1 headings, 4 ballot words, 3 offices",https://web.archive.org/web/20160819001329id_/http://www.cohassetma.org//uploads/Town%20Reports/TownReportCombinedFinal_2010.pdf,an annual town election
Cohasset2011,directory or list,looks like return,156,66-70,37,17,"page 67: 1 headings, 6 ballot words, 4 offices",https://web.archive.org/web/20160818223151id_/http://www.cohassetma.org//uploads/Town%20Reports/TownReportCombinedFinal_2011.pdf,an annual town election
Erving2017,minutes or warrant,looks like return,131,84-88,71,64,"page 85: 2 headings, 9 ballot words, 8 offices",https://web.archive.org/web/20220419172019id_/https://www.erving-ma.gov/sites/g/files/vyhlif4401/f/uploads/2017_annual_town_report_final.pdf,an annual town election
Holliston2016,unclear,looks like return,154,59-64,29,29,"page 60: 1 headings, 4 ballot words, 3 offices",https://web.archive.org/web/20220302180555id_/https://www.townofholliston.us/sites/g/files/vyhlif706/f/file/file/annual_town_report_2016.pdf,an annual town election
Lancaster2007,directory or list,looks like return,176,125-128,71,44,"page 126: 1 headings, 12 ballot words, 4 offices",https://web.archive.org/web/20211130030624id_/https://www.ci.lancaster.ma.us/sites/g/files/vyhlif4586/f/uploads/2007_annual_town_report.pdf,an annual town election
Lancaster2009,minutes or warrant,looks like return,213,158-161,65,28,"page 159: 1 headings, 8 ballot words, 3 offices",https://web.archive.org/web/20211130033838id_/https://www.ci.lancaster.ma.us/sites/g/files/vyhlif4586/f/uploads/2009_annual_town_report.pdf,an annual town election
Marblehead2011,minutes or warrant,looks like return,248,53-59,62,36,"page 54: 1 headings, 11 ballot words, 1 offices",https://web.archive.org/web/20251013065328id_/https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2011.pdf,an annual town election
Marblehead2015,minutes or warrant,looks like return,242,46-51,67,35,"page 47: 1 headings, 12 ballot words, 2 offices",https://web.archive.org/web/20251013064859id_/https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2015.pdf,an annual town election
Marblehead2019,directory or list,looks like return,268,67-77,67,35,"page 68: 1 headings, 12 ballot words, 2 offices",https://web.archive.org/web/20251013064830id_/https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2019.pdf,an annual town election
Mashpee2007,minutes or warrant,looks like return,164,36-38,57,36,"page 37: 1 headings, 6 ballot words, 0 offices",https://web.archive.org/web/20170125142522id_/http://www.mashpeema.gov/sites/mashpeema/files/uploads/2007_annual_report.pdf,an annual town election
Mashpee2011,minutes or warrant,looks like return,170,40-42,61,33,"page 41: 1 headings, 6 ballot words, 2 offices",https://web.archive.org/web/20161228104212id_/http://www.mashpeema.gov/sites/mashpeema/files/uploads/2011_annual_report.pdf,an annual town election
NorthReading2009,unclear,looks like return,237,186-188,52,37,"page 187: 1 headings, 15 ballot words, 4 offices",https://web.archive.org/web/20160620094010id_/http://www.northreadingma.gov/sites/northreadingma/files/uploads/reading_2009_town_report-3.31.10-kodak_resized.pdf,an annual town election
NorthReading2015,minutes or warrant,looks like return,244,155-158,73,33,"page 157: 1 headings, 20 ballot words, 5 offices",https://web.archive.org/web/20161229115818id_/http://www.northreadingma.gov/sites/northreadingma/files/uploads/2015_annual_report.pdf,an annual town election
Northbridge2007,directory or list,looks like return,152,61-64,52,23,"page 62: 1 headings, 9 ballot words, 3 offices",https://web.archive.org/web/20220320003037id_/https://www.northbridgemass.org/sites/g/files/vyhlif981/f/file/file/2007_annual_report.pdf,an annual town election
Northbridge2017,minutes or warrant,looks like return,162,58-62,78,39,"page 59: 1 headings, 21 ballot words, 3 offices",https://web.archive.org/web/20211229015225id_/https://www.northbridgemass.org/sites/g/files/vyhlif981/f/u2391/2017_annual_report_-_online_0.pdf,an annual town election
Northbridge2019,minutes or warrant,looks like return,207,74-80,66,35,"page 75: 1 headings, 9 ballot words, 3 offices",https://web.archive.org/web/20220319220828id_/https://www.northbridgemass.org/sites/g/files/vyhlif981/f/uploads/annual_town_report_2019.pdf,an annual town election
Plympton2007,minutes or warrant,looks like return,113,40-45,42,21,"page 41: 1 headings, 7 ballot words, 5 offices",https://web.archive.org/web/20150930223840id_/http://www.town.plympton.ma.us/sites/plymptonma/files/file/file/2007_town_report.pdf,an annual town election
Princeton2004,minutes or warrant,looks like return,130,62-66,42,17,"page 64: 1 headings, 3 ballot words, 2 offices",https://web.archive.org/web/20060929230841id_/http://town.princeton.ma.us/Annual%20Report/2004/2004TownReport.pdf,an annual town election
Sharon2009,directory or list,looks like return,248,44-48,41,27,"page 45: 1 headings, 12 ballot words, 4 offices",https://web.archive.org/web/20150104223753id_/http://www.townofsharon.net/sites/sharonma/files/file/file/2009_annual_town_report.pdf,an annual town election
Sharon2011,directory or list,looks like return,240,54-58,24,21,"page 55: 1 headings, 9 ballot words, 2 offices",https://web.archive.org/web/20150103043518id_/http://www.townofsharon.net/sites/sharonma/files/file/file/2011_annual_town_report.pdf,an annual town election
Uxbridge2006,minutes or warrant,looks like return,82,72-74,70,53,"page 73: 1 headings, 11 ballot words, 4 offices",https://web.archive.org/web/20071017060447id_/http://www.uxbridge-ma.gov/Documents/TownReport2006.pdf,an annual town election
Walpole2019,minutes or warrant,looks like return,202,168-173,73,30,"page 169: 1 headings, 14 ballot words, 4 offices",https://web.archive.org/web/20250505045924id_/https://www.walpole-ma.gov/sites/g/files/vyhlif12086/f/uploads/2019_town_report_rev.pdf,an annual town election
Avon2013,minutes or warrant,unclear,294,49-51,41,20,"page 50: 2 headings, 7 ballot words, 2 offices",https://web.archive.org/web/20161203003429id_/http://www.avon-ma.gov/sites/avonma/files/u121/avon_2013_town_report.pdf,no tally page
Ayer2018,minutes or warrant,minutes or warrant,200,110-112,15,13,"page 111: 1 headings, 0 ballot words, 6 offices",https://web.archive.org/web/20210326065420id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2018_town_of_ayer_annual_report.pdf,no tally page
Bedford2019,minutes or warrant,minutes or warrant,226,169-171,19,0,"page 170: 1 headings, 0 ballot words, 8 offices",https://web.archive.org/web/20210511134143id_/https://www.bedfordma.gov/sites/g/files/vyhlif6866/f/pages/annualreport_2019_complete_ocrmissing.pdf,no tally page
Belmont2008,minutes or warrant,minutes or warrant,189,4-6,35,33,"page 5: 3 headings, 0 ballot words, 13 offices",https://web.archive.org/web/20160705223040id_/http://www.belmont-ma.gov:80/sites/belmontma/files/file/file/2008annualreport.pdf,no tally page
Berkley2017,directory or list,directory or list,1,1-1,21,0,"page 1: 1 headings, 0 ballot words, 9 offices",https://web.archive.org/web/20260106131938id_/https://townofberkleyma.gov/wp-content/uploads/2025/09/May-6-2017-Election-Results.pdf,no tally page
Blackstone2012,minutes or warrant,minutes or warrant,161,2-4,19,0,"page 3: 1 headings, 0 ballot words, 8 offices",https://web.archive.org/web/20220322084304id_/https://www.townofblackstone.org/sites/g/files/vyhlif166/f/uploads/2012_annual_town_report.pdf,no tally page
Boxborough2010,directory or list,directory or list,184,181-183,21,17,"page 182: 1 headings, 0 ballot words, 9 offices",https://web.archive.org/web/20161229091508id_/http://www.boxborough-ma.gov/sites/boxboroughma/files/file/file/2010townreport.pdf,no tally page
Boxborough2014,directory or list,directory or list,184,180-182,23,19,"page 181: 1 headings, 0 ballot words, 10 offices",https://web.archive.org/web/20170130224224id_/http://www.boxborough-ma.gov/sites/boxboroughma/files/file/file/annual_town_report_2014_.pdf,no tally page
Boxborough2015,directory or list,directory or list,202,196-198,27,16,"page 197: 1 headings, 0 ballot words, 12 offices",https://web.archive.org/web/20161228002347id_/http://www.boxborough-ma.gov/sites/boxboroughma/files/file/file/annual_town_report_2015_web.pdf,no tally page
Boxford2019,directory or list,directory or list,265,6-8,19,0,"page 7: 1 headings, 0 ballot words, 8 offices",https://web.archive.org/web/20220302181221id_/https://www.town.boxford.ma.us/sites/g/files/vyhlif321/f/uploads/annual_report_2019_website_0.pdf,no tally page
