municipality,year,url,kind,pool,pages
Boston,2018,https://boston.gov/sites/default/files/election/results/2018/9/09-04-18_Republican_Representative_in_General_Court_Fourth_Suffolk_District.pdf,result,catalog,5
Boston,2018,https://boston.gov/sites/default/files/election/results/2018/9/09-04-18_Republican_Representative_in_General_Court_Ninth_Suffolk_District.pdf,result,catalog,5
Boston,2018,https://boston.gov/sites/default/files/election/results/2018/9/09-04-18_Republican_Representative_in_General_Court_Second_Suffolk_District.pdf,result,catalog,2
Boston,2018,https://boston.gov/sites/default/files/election/results/2018/9/09-04-18_Republican_Representative_in_General_Court_Seventeenth_Suffolk_District.pdf,result,catalog,3
Boston,2018,https://boston.gov/sites/default/files/election/results/2018/9/09-04-18_Republican_Representative_in_General_Court_Seventh_Suffolk_District.pdf,result,catalog,6
Boston,2018,https://boston.gov/sites/default/files/election/results/2018/9/09-04-18_Republican_Representative_in_General_Court_Sixth_Suffolk_District.pdf,result,catalog,5
Boston,2018,https://boston.gov/sites/default/files/election/results/2018/9/09-04-18_Republican_Representative_in_General_Court_Tenth_Suffulk_District.pdf,result,catalog,2
Boston,2018,https://boston.gov/sites/default/files/election/results/2018/9/09-04-18_Republican_Representative_in_General_Court_Third_Suffolk_District.pdf,result,catalog,4
Boston,2018,https://boston.gov/sites/default/files/election/results/2018/9/09-04-18_Republican_Representative_in_General_Court_Thirteenth_Suffolk_District.pdf,result,catalog,6
Boston,2018,https://boston.gov/sites/default/files/election/results/2018/9/09-04-18_Republican_Representative_in_General_Court_Twelveth_Suffolk_District.pdf,result,catalog,4
Chelsea,2012,https://cms5.revize.com/revize/bcmhars/Resources_Documents/Annual_Reports/FY2012_Annual_ADAS_Report.pdf,atr,nodes,4
Chelsea,2013,https://cms5.revize.com/revize/bcmhars/Resources_Documents/Annual_Reports/FY2013_Annual_ADAS_Report.pdf,atr,nodes,4
Chelsea,2014,https://cms5.revize.com/revize/bennington/Document%20Center/Government/Annual%20Reports/2014town_report.pdf,atr,nodes,98
Chelsea,2015,https://cms5.revize.com/revize/bcmhars/Resources_Documents/Annual_Reports/FY2015_Annual_MHARS_Report.pdf,atr,nodes,15
Chelsea,2016,https://cms5.revize.com/revize/bcmhars/Resources_Documents/Annual_Reports/2016%20annual%20report.pdf,atr,nodes,12
Chelsea,2016,https://cms5.revize.com/revize/bennington/Document%20Center/Government/Annual%20Reports/2016-town-report.pdf,atr,nodes,93
Chelsea,2017,https://cms5.revize.com/revize/bennington/Document%20Center/Government/Annual%20Reports/2017-Annual-Report.pdf,atr,nodes,45
Chelsea,2018,https://cms5.revize.com/revize/bennington/Document%20Center/Government/Annual%20Reports/2018-townreport.pdf,atr,nodes,100
Chelsea,2019,"https://cms5.revize.com/revize/bedfordtn/Document%20Center/Court/Juvenile%20Detention/2017-2019%20signed%20annual%20reports,%20PREA.pdf",atr,nodes,2
Westborough,2013,https://www.town.westborough.ma.us/DocumentCenter/View/383/Election-Results-2013-to-2017-PDF,result,catalog,25
Westborough,2018,https://town.westborough.ma.us/DocumentCenter/View/513/2018-Annual-Town-Election-Results-PDF,result,catalog,1
Westborough,2019,https://www.town.westborough.ma.us/DocumentCenter/View/512/2019-Annual-Town-Election-Results-PDF,result,catalog,1
Marshfield,2005,https://cms3.revize.com/revize/bellcountytx/county_government/county_clerk/elections/docs/results/Bell_County_2005_Constitutional_Amendment_Election___11_08_05___Official_Res.pdf,result,catalog,2
Marshfield,2010,https://cms3.revize.com/revize/allenparkmi/Documents/Departments/Clerk/Election%20Information/Past%20Election%20Results/ELECTION%20RESULTS%20Nov%202010.pdf,result,catalog,3
Marshfield,2012,https://cms3.revize.com/revize/bellcountytx/county_government/county_clerk/elections/docs/results/Democratic_2012_Primary_Pct_by_Pct.pdf,result,catalog,196
Marshfield,2012,https://cms3.revize.com/revize/bellcountytx/county_government/county_clerk/elections/docs/results_precinct/Republican_2012_Primary_Pct_by_Pct.pdf,result,catalog,294
Marshfield,2012,https://cms3.revize.com/revize/bellcountytx/departments/elections/docs/DemResultsJuly2012ALL.pdf,result,catalog,2
Marshfield,2012,https://cms3.revize.com/revize/bellcountytx/departments/elections/docs/RepResultsJuly2012ALL.pdf,result,catalog,2
