municipality,year,url,alt_url
WBrookPDF,2022,https://web.archive.org/cdx/search/cdx?url=wbrookfield.com&matchType=domain&output=json&limit=4000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,https://web.archive.org/cdx/search/cdx?url=westbrookfieldma.gov&matchType=domain&output=json&limit=4000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$
WBrookVertical,2022,https://web.archive.org/cdx/search/cdx?url=wbrookfield.com%2Fvertical&matchType=prefix&output=json&limit=4000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,
MerrimacPDF,2022,https://web.archive.org/cdx/search/cdx?url=townofmerrimac.com&matchType=domain&output=json&limit=4000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,
BerkleyPDF,2022,https://web.archive.org/cdx/search/cdx?url=townofberkleyma.com&matchType=domain&output=json&limit=4000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,https://web.archive.org/cdx/search/cdx?url=townofberkleyma.gov&matchType=domain&output=json&limit=4000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$
MiddlefieldPDF,2021,https://web.archive.org/cdx/search/cdx?url=middlefield-ma.gov&matchType=domain&output=json&limit=4000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,https://web.archive.org/cdx/search/cdx?url=middlefieldma.net&matchType=domain&output=json&limit=4000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$
GosnoldPDF,2021,https://web.archive.org/cdx/search/cdx?url=gosnold-ma.gov&matchType=domain&output=json&limit=4000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,https://web.archive.org/cdx/search/cdx?url=townofgosnold.com&matchType=domain&output=json&limit=4000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$
