municipality,year,url,host,old_cut_held,fetchable_from_a_runner
Rowley,2015,https://www.townofrowley.net/sites/g/files/vyhlif4956/f/uploads/160420-2015_townreport.pdf,www.townofrowley.net,directory or list,no -- municipal host
Rowley,2020,https://www.townofrowley.net/sites/g/files/vyhlif4956/f/uploads/2020_annual_town_report_0.pdf,www.townofrowley.net,directory or list,no -- municipal host
Rutland,2017,https://townofrutland.org/DocumentCenter/View/855/FY2017-Annual-Town-Report,townofrutland.org,directory or list,no -- municipal host
Rutland,2018,https://townofrutland.org/DocumentCenter/View/856/FY2018-Annual-Town-Report,townofrutland.org,directory or list,no -- municipal host
Sandwich,2019,https://sandwichmass.org/DocumentCenter/View/6323/2019-Annual-Town-Report,sandwichmass.org,minutes or warrant,no -- municipal host
Sheffield,2017,https://www.sheffieldma.gov/sites/g/files/vyhlif3806/f/uploads/sheffield_2017_town_report_for_web.pdf,www.sheffieldma.gov,minutes or warrant,no -- municipal host
Shutesbury,2012,http://www.shutesbury.org/sites/default/files/offices_committees/town_clerk/results/120125%20Recount%20of%20the%20January%2010%2C%202012%20Special%20Debt%20Excluded%20Override%20Election%20Referendum.pdf,www.shutesbury.org,unclear,no -- municipal host
South Hadley,2007,https://southhadley.org/ArchiveCenter/ViewFile/Item/114,southhadley.org,minutes or warrant,no -- municipal host
South Hadley,2016,https://southhadley.org/ArchiveCenter/ViewFile/Item/767,southhadley.org,directory or list,no -- municipal host
South Hadley,2018,https://southhadley.org/DocumentCenter/View/5135,southhadley.org,minutes or warrant,no -- municipal host
South Hadley,2020,https://southhadley.org/DocumentCenter/View/9254,southhadley.org,directory or list,no -- municipal host
Southwick,2011,https://www.southwickma.gov/DocumentCenter/View/2715/2011-Annual-Town-Report-PDF,www.southwickma.gov,directory or list,no -- municipal host
Southwick,2012,https://www.southwickma.gov/DocumentCenter/View/2716/2012-Annual-Town-Report-PDF,www.southwickma.gov,minutes or warrant,no -- municipal host
Southwick,2015,https://www.southwickma.gov/DocumentCenter/View/2719/2015-Annual-Town-Report-PDF,www.southwickma.gov,directory or list,no -- municipal host
Southwick,2016,https://www.southwickma.gov/DocumentCenter/View/2720/2016-Annual-Town-Report-PDF,www.southwickma.gov,minutes or warrant,no -- municipal host
Southwick,2020,https://www.southwickma.gov/DocumentCenter/View/2727/2020-Annual-Town-Report-PDF,www.southwickma.gov,directory or list,no -- municipal host
Spencer,2015,https://spencerma.gov/DocumentCenter/View/375/2015-Annual-Town-Report,spencerma.gov,directory or list,no -- municipal host
Spencer,2016,https://spencerma.gov/DocumentCenter/View/376/2016-Annual-Town-Report,spencerma.gov,directory or list,no -- municipal host
Spencer,2017,https://spencerma.gov/DocumentCenter/View/377/2017-Annual-Town-Report,spencerma.gov,directory or list,no -- municipal host
Sudbury,2017,https://sudbury.ma.us/selectboardsoffice/wp-content/uploads/sites/342/2017/04/2016TownReport.pdf,sudbury.ma.us,minutes or warrant,no -- municipal host
Sudbury,2018,https://sudbury.ma.us/selectboardsoffice/wp-content/uploads/sites/342/2018/05/2017TownReport.pdf?version=724445b2b64fdb1a51a9aa43a41fef4c,sudbury.ma.us,minutes or warrant,no -- municipal host
Sudbury,2019,https://cdn.sudbury.ma.us/wp-content/uploads/sites/342/2021/03/Sudbury-2019-Town-Report.pdf?version=7613194b04113666d493d6f30a09a35d,cdn.sudbury.ma.us,directory or list,no -- municipal host
Sunderland,2017,https://www.townofsunderland.us/DocumentCenter/View/328/Annual-Report-2017,www.townofsunderland.us,minutes or warrant,no -- municipal host
Sunderland,2018,https://www.townofsunderland.us/DocumentCenter/View/329/Annual-Report-2018,www.townofsunderland.us,minutes or warrant,no -- municipal host
Tyringham,2019,https://www.tyringham-ma.gov/DocumentCenter/View/485,www.tyringham-ma.gov,directory or list,no -- municipal host
Wellfleet,2016,https://wellfleet-ma.gov/DocumentCenter/View/5317/Annual-Town-Report-2016,wellfleet-ma.gov,minutes or warrant,no -- municipal host
Wilbraham,2013,https://wilbraham-ma.gov/DocumentCenter/View/1075,wilbraham-ma.gov,minutes or warrant,no -- municipal host
Wilbraham,2014,https://wilbraham-ma.gov/DocumentCenter/View/1499,wilbraham-ma.gov,minutes or warrant,no -- municipal host
Wilbraham,2015,https://wilbraham-ma.gov/DocumentCenter/View/2005,wilbraham-ma.gov,minutes or warrant,no -- municipal host
Wilbraham,2016,https://wilbraham-ma.gov/DocumentCenter/View/2191,wilbraham-ma.gov,minutes or warrant,no -- municipal host
Wilbraham,2017,https://wilbraham-ma.gov/DocumentCenter/View/1902,wilbraham-ma.gov,minutes or warrant,no -- municipal host
Wilbraham,2019,https://wilbraham-ma.gov/DocumentCenter/View/3473/Wilbraham-2019-ATR-web,wilbraham-ma.gov,directory or list,no -- municipal host
Yarmouth,2011,https://yarmouth.ma.us/DocumentCenter/View/1791/2011-Annual-Report,yarmouth.ma.us,unclear,no -- municipal host
Avon,2013,https://web.archive.org/web/20161203003429id_/http://www.avon-ma.gov/sites/avonma/files/u121/avon_2013_town_report.pdf,web.archive.org,minutes or warrant,yes
Ayer,2013,https://web.archive.org/web/20150609151359id_/http://www.ayer.ma.us/pages/AyerMA_About/2013-town_report.pdf,web.archive.org,minutes or warrant,yes
Ayer,2016,https://web.archive.org/web/20210326065421id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2016_town_of_ayer_annual_report.pdf,web.archive.org,minutes or warrant,yes
