municipality,year,url,kind,pool,prior_pages
Randolph,2013,https://randolph-ma.gov/ImageRepository/Document?documentID=133,atr,ocr,2
Rehoboth,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/aea73280-6eda-49f7-96ec-044ec569efb8/content,atr,ocr,233
Rowe,2007,https://rowe-ma.gov/files/2007_Annual_Town_Report.pdf,atr,ocr,92
Seekonk,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/8180b0b1-5dc0-49d7-92f0-aea5a451ab80/content,atr,ocr,178
Sutton,2010,https://archives.lib.state.ma.us/server/api/core/bitstreams/aabfe08d-216b-49bb-81f7-b0627fa8dc0c/content,atr,ocr,109
Wales,2007,https://townofwales.net/DocumentCenter/View/3520/05-29-2007-Election-Results,atr,ocr,1
Ware,2017,https://web.archive.org/web/20211228224101id_/https://cms1files.revize.com/arlingtontn/Full%20Annual%20Report%20Scanned%202016-2017.pdf,atr,ocr,49
Westfield,2019,https://www.cityofwestfield.org/DocumentCenter/View/8633,atr,ocr,13
Westhampton,2000,https://web.archive.org/web/20220419172814id_/https://www.westhampton-ma.com/sites/g/files/vyhlif5191/f/pages/2000-2007_town_election_results_westhampton.pdf,atr,ocr,9
Worcester,2010,https://web.archive.org/web/20201016174036id_/http://www.worcesterma.gov/election-results/2010-2019/20181106.pdf,atr,ocr,52
Avon,2011,https://web.archive.org/web/20220812205939id_/https://www.avon-ma.gov/sites/g/files/vyhlif271/f/uploads/annual_town_report_2011.pdf,atr,ocr,200
Belmont,2004,https://web.archive.org/web/20140501022756id_/http://www.belmont-ma.gov:80/Public_Documents/BelmontMA_WebDocs/townreports/2004/selectmen.pdf,atr,ocr,2
Blandford,2007,https://townofblandford.gov/wp-content/uploads/2016/04/report2006-2007.pdf,atr,ocr,44
Buckland,2020,https://www.town.buckland.ma.us/sites/g/files/vyhlif356/f/pages/2020_annual_report.pdf,atr,ocr,38
Chatham,2008,https://chatham-ma.gov/DocumentCenter/View/1728/2008-Annual-Town-Report-PDF,atr,ocr,304
East Longmeadow,2013,https://eastlongmeadowma.gov/DocumentCenter/View/3504,atr,ocr,1
Essex,2014,https://essexma.org/ImageRepository/Document?documentID=233,atr,ocr,2
Fall River,2011,https://cms2.revize.com/revize/brookfield/Document%20Center/Department/Police/Annual%20Reports/2011Report.pdf,atr,ocr,19
Franklin,2017,https://www.franklinma.gov/DocumentCenter/View/1076/2017-Biennial-Town-Election-Results-PDF,atr,ocr,1
Gloucester,2005,http://gloucester-ma.gov/DocumentCenter/View/7279/Election-Municipal-results-2005?bidId=,atr,ocr,12
Grafton,2016,https://web.archive.org/web/20211229042630id_/https://www.grafton-ma.gov/sites/g/files/vyhlif4461/f/pages/local_election_results_5-17-2016.pdf,atr,ocr,4
Hampden,2005,https://web.archive.org/web/20230715081001id_/https://www.hampdenma.gov/sites/g/files/vyhlif656/f/uploads/2005_annual_town_report.pdf,atr,ocr,140
Haverhill,2008,https://www.haverhillma.gov/media/phddsdtl/infiltration_inflow_annual_report_2008.pdf,atr,ocr,23
Hopedale,2019,https://hopedale-ma.gov/DocumentCenter/View/960/FY19-Annual-Town-Report,atr,ocr,115
Middleton,2014,https://middletonma.gov/DocumentCenter/View/1577/May-19-2014-Annual-Town-Election-Official-Results,atr,ocr,2
Norwell,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/361dd4ae-af18-4bfa-93d1-284d5906d4a9/content,atr,ocr,188
Rowe,2008,https://rowe-ma.gov/files/2008_Annual_Town_Report.pdf,atr,ocr,110
Seekonk,2014,https://web.archive.org/web/20161219174742id_/http://www.seekonk-ma.gov/pages/SeekonkMA_Administration/Annual%20Reports/2014.pdf,atr,ocr,178
Stow,2012,https://archives.lib.state.ma.us/server/api/core/bitstreams/931930e0-ee45-4b8f-9d9b-86367273d781/content,atr,ocr,148
Sutton,2012,https://archives.lib.state.ma.us/server/api/core/bitstreams/b2196213-a3f6-403d-9020-2de0b56a9109/content,atr,ocr,55
Truro,2013,https://web.archive.org/web/20161228022324id_/http://www.truro-ma.gov/sites/truroma/files/mma_award_town_report_2013.pdf,atr,ocr,1
Wales,2008,https://townofwales.net/DocumentCenter/View/3525/05-27-2008-Election-Results,atr,ocr,1
Ware,2018,https://web.archive.org/web/20220610083009id_/https://cms1files.revize.com/benzie/2018%20Annual%20Report%20FINAL.pdf,atr,ocr,16
Warren,2016,https://www.warrenct.gov/sites/g/files/vyhlif3991/f/uploads/fy_2015_2016_annual_report.pdf,atr,ocr,61
West Stockbridge,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/76abd716-e606-4494-86c3-aca298e4a32a/content,atr,ocr,88
Blandford,2009,https://townofblandford.gov/wp-content/uploads/2016/04/report2008-2009.pdf,atr,ocr,56
Carlisle,2008,https://www.carlislema.gov/DocumentCenter/View/1266,atr,ocr,2
Essex,2015,https://essexma.org/ImageRepository/Document?documentID=231,atr,ocr,2
Gloucester,2007,http://gloucester-ma.gov/DocumentCenter/View/7280/election-results-Nov-6-2007?bidId=,atr,ocr,11
Granville,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/2f6457b4-2d12-42b9-8dff-1252a2b8b578/content,atr,ocr,65
Hampden,2006,https://web.archive.org/web/20230624062413id_/https://www.hampdenma.gov/sites/g/files/vyhlif656/f/uploads/2006_annual_town_report.pdf,atr,ocr,179
Hanson,2018,https://web.archive.org/web/20220319192650id_/https://www.hanson-ma.gov/sites/g/files/vyhlif3231/f/uploads/annual_town_election_5-19-2018_results.pdf,atr,ocr,3
Lee,2000,https://web.archive.org/web/20250312131056id_/http://www.lee.ma.us/sites/g/files/vyhlif771/f/uploads/town_report_cy_2000.pdf,atr,ocr,118
Lunenburg,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/1d32f856-b803-4b2d-a5c6-2c3a65886f52/content,atr,ocr,102
Middleton,2015,https://middletonma.gov/DocumentCenter/View/1576/May-18-2015-Annual-Town-Election-Official-Results,atr,ocr,2
North Attleborough,2018,https://web.archive.org/web/20191215073700id_/https://www.nattleboro.com/sites/northattleboroughma/files/uploads/2018_annual_town_report.pdf,atr,ocr,388
Petersham,2002,https://archives.lib.state.ma.us/server/api/core/bitstreams/dbd7ef18-5684-434b-9649-a35ce9977e9a/content,atr,ocr,96
Rowe,2009,https://rowe-ma.gov/files/2009_Annual_Town_Report.pdf,atr,ocr,142
Sutton,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/4a99a5b6-d9be-470b-aaf9-2a34790af6f1/content,atr,ocr,106
Wales,2009,https://townofwales.net/DocumentCenter/View/3524/05-26-2009-Election-Results,atr,ocr,1
Warren,2020,https://web.archive.org/web/20220217094857id_/https://www.warren-ma.gov/sites/g/files/vyhlif3996/f/uploads/annual_report_for_2020_published.pdf,atr,ocr,120
Blandford,2010,https://townofblandford.gov/wp-content/uploads/2016/04/report2009-2010.pdf,atr,ocr,64
Chatham,2010,https://web.archive.org/web/20161220065730id_/http://chatham-ma.gov/Public_Documents/ChathamMA_Selectmen/2010%20Annual%20Town%20Report2.pdf,atr,ocr,280
Chilmark,2014,https://web.archive.org/web/20170126102532id_/http://www.chilmarkma.gov/Pages/ChilmarkMA_Annual/2013%20Annual%20Reports/2014-04-25%20Town%20Line%20proposal.pdf,atr,ocr,1
Clinton,2020,https://clintonma.gov/DocumentCenter/View/1791,atr,ocr,1
Essex,2016,https://essexma.org/ImageRepository/Document?documentID=227,atr,ocr,2
Fall River,2013,"https://web.archive.org/web/20230109034913id_/https://cms2.revize.com/revize/algercounty/document_center/Departments/Clerk_RoD/Elections/2013/May%207,%202013%20Election%20Results.pdf.PDF",atr,ocr,4
Georgetown,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/1fa0b72f-ebee-4478-807e-9019c2686400/content,atr,ocr,148
Gloucester,2009,http://www.gloucester-ma.gov/DocumentCenter/View/4413/election-results-Nov-3-2009?bidId=,atr,ocr,12
Granville,2015,https://townofgranville.net/DocumentCenter/View/1031/2015-Municipal-Election-Results,atr,ocr,1
Harvard,2008,https://web.archive.org/web/20240610195452id_/https://www.harvard-ma.gov/sites/g/files/vyhlif676/f/uploads/2008_town_report.pdf,atr,ocr,172
Holland,2019,https://archives.lib.state.ma.us/server/api/core/bitstreams/6af5df39-ff64-4553-adb5-8a57dad40c6a/content,atr,ocr,114
Lunenburg,2012,https://lunenburgma.gov/DocumentCenter/View/4118/FY-2012-Annual-Town-Report,atr,ocr,116
Mount Washington,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/a37e383c-3f70-43f8-81ed-dd5200bdda3d/content,atr,ocr,37
Norwell,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/28e99435-2961-44dc-aeba-6f60bb9c3e35/content,atr,ocr,202
Petersham,2003,https://archives.lib.state.ma.us/server/api/core/bitstreams/3ffa5680-9a0f-408f-9146-967639e0d836/content,atr,ocr,86
Randolph,2017,https://www.randolph-ma.gov/DocumentCenter/View/899/Election-Results-for-2017-PDF,atr,ocr,1
Rowe,2010,https://rowe-ma.gov/files/2010_Annual_Town_Report.pdf,atr,ocr,122
Royalston,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/b22d2f29-60b6-44fa-9a94-36a84e8f79bc/content,atr,ocr,121
Saugus,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/0fc8d7cc-01ef-47dd-a6f9-8f896a7bfc8c/content,atr,ocr,180
Sutton,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/420bab16-2f5b-4bdf-9efd-37627579e61c/content,atr,ocr,117
Wales,2010,https://townofwales.net/DocumentCenter/View/3523/05-25-2010-Election-Results,atr,ocr,1
Ware,2020,https://web.archive.org/web/20211230041756id_/https://cms1files.revize.com/arlingtontn/STW%20Annual%20Report%202019-2020.pdf,atr,ocr,16
Wellfleet,2008,https://web.archive.org/web/20250420030529id_/https://www.wellfleet-ma.gov/sites/g/files/vyhlif16026/f/pages/2008_shellfish_advisory_committee_annual_report.pdf,atr,ocr,2
Belmont,2007,https://web.archive.org/web/20170126225135id_/http://www.belmont-ma.gov/sites/belmontma/files/file/file/epa_annual_report_2007_0.pdf,atr,ocr,22
Billerica,2019,https://ma-billerica.civicplus.com/DocumentCenter/View/9512,atr,ocr,6
Bolton,2016,https://web.archive.org/web/20220301234346id_/https://www.townofbolton.com/sites/g/files/vyhlif2836/f/uploads/annual_report_2016_part_4.pdf,atr,ocr,44
Carlisle,2013,https://www.carlislema.gov/DocumentCenter/View/1229,atr,ocr,1
Dracut,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/cb83e9b7-25c2-4ba7-966b-7420999b3ddd/content,atr,ocr,150
Essex,2017,https://essexma.org/ImageRepository/Document?documentID=224,atr,ocr,2
Georgetown,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/f3de6fcd-5878-4c87-a90f-e720e6c5846e/content,atr,ocr,166
Gloucester,2011,http://www.gloucester-ma.gov/DocumentCenter/View/4655/Official-Election-Results-Nov-8-2011?bidId=,atr,ocr,12
Grafton,2019,https://web.archive.org/web/20211229042650id_/https://www.grafton-ma.gov/sites/g/files/vyhlif4461/f/pages/offical_special_local_election_results_10-29-2019_0.pdf,atr,ocr,1
Groveland,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/e8ae70ea-56bd-4575-b326-b2731e1c896a/content,atr,ocr,18
Hampden,2009,https://web.archive.org/web/20230624034551id_/https://www.hampdenma.gov/sites/g/files/vyhlif656/f/uploads/2009_annual_town_report_part_b.pdf,atr,ocr,52
Harvard,2009,https://web.archive.org/web/20240615065410id_/https://www.harvard-ma.gov/sites/g/files/vyhlif676/f/uploads/2009_town_report.pdf,atr,ocr,195
Haverhill,2011,https://www.haverhillma.gov/media/1qzcdvjl/cso_annual_report_2011.pdf,atr,ocr,40
Hinsdale,2000,https://hinsdalemass.com/DocumentCenter/View/285/2000-Annual-Report,atr,ocr,70
Lee,2002,https://archives.lib.state.ma.us/server/api/core/bitstreams/b0fef358-084f-4cf9-9e74-e772836ef2a5/content,atr,ocr,116
Lunenburg,2013,https://lunenburgma.gov/DocumentCenter/View/4119/FY-2013-Annual-Town-Report,atr,ocr,97
Montague,2018,https://montague-ma.gov/files/2018-05-21_Annual_Town_Election_Results.pdf,atr,ocr,8
Mount Washington,2016,https://archives.lib.state.ma.us/server/api/core/bitstreams/ad4cd98b-cd83-4442-8195-8b384ebf8598/content,atr,ocr,22
North Brookfield,2007,https://archives.lib.state.ma.us/server/api/core/bitstreams/7f41cb93-a496-49e0-b407-e731505eae3e/content,atr,ocr,147
Northampton,2008,https://web.archive.org/web/20100527131424id_/http://www.northamptonma.gov/cityclerk/uploads/listWidget/8599/November%202008%20election%20results.pdf,atr,ocr,20
Petersham,2004,https://archives.lib.state.ma.us/server/api/core/bitstreams/a17b819c-d2c3-4b7d-823b-3dc9228f3113/content,atr,ocr,100
Rowe,2011,https://rowe-ma.gov/files/2011_Annual_Town_Report.pdf,atr,ocr,126
Royalston,2014,https://www.royalston-ma.gov/DocumentCenter/View/447/FY-2014-Annual-Report,atr,ocr,121
Salisbury,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/c1f15b11-0c3f-421e-a45a-e40be550407b/content,atr,ocr,84
Saugus,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/da4c65e8-e778-423e-8376-ccd60af2fa1e/content,atr,ocr,180
Sutton,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/4498145b-b75c-43e2-88a1-1e6ca2e14be1/content,atr,ocr,147
Wales,2011,https://townofwales.net/DocumentCenter/View/3526/05-31-2011-Election-Results,atr,ocr,1
Ashburnham,2020,https://www.ashburnham-ma.gov/DocumentCenter/View/639,atr,ocr,1
Attleboro,2001,https://cityofattleboro.us/DocumentCenter/View/13032/Results---Citywide,atr,ocr,1
Dartmouth,2015,https://dartmouthma.gov/DocumentCenter/View/354/2015-April-07-Annual-Town-Election-Official-Results-PDF,atr,ocr,4
Essex,2020,https://www.essexma.org/DocumentCenter/View/844,atr,ocr,4
Florida,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/96934bd7-90cd-48c1-9a83-266f5bcb833b/content,atr,ocr,43
Georgetown,2012,https://archives.lib.state.ma.us/server/api/core/bitstreams/c6951c80-02be-4e9f-a7b8-dc3a2d83dbc6/content,atr,ocr,114
Gloucester,2016,http://www.gloucester-ma.gov/DocumentCenter/View/4063/Official-Results-ward-precinct-Sept-8-2016?bidId=,atr,ocr,30
Granby,2007,https://web.archive.org/web/20161226231155id_/http://www.granby-ma.gov/Pages/GranbyMA_Selectmen/2007-Annual%20Report.pdf,atr,ocr,73
Groveland,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/a4b8a9c2-83a0-4707-b2a7-7441700b3af2/content,atr,ocr,146
Hampden,2012,https://web.archive.org/web/20230712233251id_/https://www.hampdenma.gov/sites/g/files/vyhlif656/f/uploads/2012_annual_town_report_part_b.pdf,atr,ocr,34
Hinsdale,2003,https://hinsdalemass.com/DocumentCenter/View/288/2003-Annual-Report,atr,ocr,74
Holbrook,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/985c7d4f-d652-4059-8335-2411de2a478f/content,atr,ocr,32
Holliston,2009,https://web.archive.org/web/20220308074230id_/https://www.townofholliston.us/sites/g/files/vyhlif706/f/file/file/finance_committee_annual_report_2009.pdf,atr,ocr,52
Hull,2010,https://archives.lib.state.ma.us/server/api/core/bitstreams/e63a46f7-5fd2-4ff8-9e4b-87556643ef03/content,atr,ocr,194
Mattapoisett,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/997e9fb1-9230-43f0-891b-16eee8027bf9/content,atr,ocr,122
Millville,2019,https://www.millvillema.org/sites/g/files/vyhlif906/f/news/2019_annual_town_report_part_2_of_2.pdf,atr,ocr,90
Monterey,2013,https://web.archive.org/web/20161213192647id_/http://montereyma.gov/Public_Documents/MontereyMA_TownClerk/2013townelectionresults.pdf,atr,ocr,2
Newbury,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/6869dde9-25f2-4386-8fd1-f1faa127710a/content,atr,ocr,112
North Brookfield,2010,https://archives.lib.state.ma.us/server/api/core/bitstreams/f9f274c8-734b-4f2d-849f-c68d9e7ed50f/content,atr,ocr,160
Norwell,2019,https://web.archive.org/web/20211229182931id_/https://www.townofnorwell.net/sites/g/files/vyhlif1011/f/pages/2019_town_report-final.pdf,atr,ocr,176
Petersham,2007,https://archives.lib.state.ma.us/server/api/core/bitstreams/45621bf2-8184-41b2-ba12-7fc81a4a6138/content,atr,ocr,102
Rockland,2005,https://archives.lib.state.ma.us/server/api/core/bitstreams/3848691d-eeb4-434d-a1ff-a69b000d51f8/content,atr,ocr,209
Royalston,2017,https://www.royalston-ma.gov/DocumentCenter/View/445/FY-2017-Annual-Report,atr,ocr,138
Sandisfield,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/d42ddd77-70fd-46d3-9593-217516fdc143/content,atr,ocr,84
Savoy,2019,https://archives.lib.state.ma.us/server/api/core/bitstreams/88bc40c6-2bb3-4dda-83ea-a55404ff7b38/content,atr,ocr,52
Stoughton,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/4ea0945a-d7e1-4cf2-af2d-07b3f9369860/content,atr,ocr,283
Sutton,2019,https://web.archive.org/web/20220302045838id_/https://www.suttonma.org/sites/g/files/vyhlif3901/f/uploads/2019_annual_town_report.pdf,atr,ocr,142
Topsfield,2020,https://www.topsfield-ma.gov/DocumentCenter/View/1562/2020-Annual-Report-pdf-file,atr,ocr,162
Uxbridge,2010,https://web.archive.org/web/20111002182851id_/http://www.uxbridge-ma.gov/Documents/TownManager/2010%20Annual%20Report.pdf,atr,ocr,96
Wales,2014,https://townofwales.net/DocumentCenter/View/3528/05-27-2014-Election-Results,atr,ocr,1
Worthington,2015,https://web.archive.org/web/20160412122030id_/http://worthington-ma.us/Pages/WorthingtonMA_Clerk/2015ElectionResults.pdf,atr,ocr,1
Attleboro,2005,https://cityofattleboro.us/DocumentCenter/View/12987/Results---Citywide-and-by-precinct,atr,ocr,13
Canton,2005,https://web.archive.org/web/20060615105654id_/http://www.town.canton.ma.us:80/PDF_files/Annual_Report-2005.pdf,atr,ocr,366
Carver,2020,https://web.archive.org/web/20260206031242id_/https://www.carverma.gov/sites/g/files/vyhlif4221/f/pages/2020_town_report.pdf,atr,ocr,121
Everett,2019,https://cityofeverett.com/wp-content/uploads/2023/05/2019-Municipal-Election-Results.pdf,atr,ocr,4
Florida,2019,https://archives.lib.state.ma.us/server/api/core/bitstreams/47963be2-2c4e-4813-84eb-4d0883e50a48/content,atr,ocr,36
Georgetown,2013,https://web.archive.org/web/20170125014131id_/http://georgetownma.gov/public_documents/georgetownma_bcomm/townreports/Town%20Report%20FY2013.pdf,atr,ocr,132
Gloucester,2017,http://gloucester-ma.gov/DocumentCenter/View/4653/Official-Results-Nov-7--2017-Municipal-Election,atr,ocr,11
Granby,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/070b61b4-c70a-41d7-9649-2167591f233a/content,atr,ocr,85
Granville,2020,https://townofgranville.net/DocumentCenter/View/1024/2020-Municipal-Election-Results,atr,ocr,1
Groveland,2012,https://archives.lib.state.ma.us/server/api/core/bitstreams/82dd765b-6a8a-47bd-9c9d-f359c272479c/content,atr,ocr,103
Hampden,2013,https://web.archive.org/web/20230624073714id_/https://www.hampdenma.gov/sites/g/files/vyhlif656/f/uploads/2013_annual_town_report_part_b.pdf,atr,ocr,36
Hinsdale,2004,https://hinsdalemass.com/DocumentCenter/View/289/2004-Annual-Report,atr,ocr,74
Holliston,2012,https://web.archive.org/web/20170108013108id_/http://www.townofholliston.us/sites/hollistonma/files/file/file/finance_committee_2012_annual_report.pdf,atr,ocr,49
Hull,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/314ad76a-b926-4e19-a972-1fb3fbb451ce/content,atr,ocr,189
Lawrence,2007,https://www.cityoflawrence.com/DocumentCenter/View/378,atr,ocr,19
Milford,2000,https://web.archive.org/web/20220302180121id_/https://www.milfordma.gov/sites/g/files/vyhlif3466/f/uploads/tom_2000_annual_report.pdf,atr,ocr,256
Millville,2020,https://archives.lib.state.ma.us/server/api/core/bitstreams/bc2ccbef-a9f9-4ddc-99e6-b1c006dd03ed/content,atr,ocr,86
Newbury,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/35932283-ad25-48a3-8044-b73476239453/content,atr,ocr,104
North Brookfield,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/861dedea-ed96-408f-889b-3ef5d61a7af1/content,atr,ocr,153
Norwell,2020,https://archives.lib.state.ma.us/server/api/core/bitstreams/a566bdd4-a877-439d-bc9e-9af82025c3d7/content,atr,ocr,230
Petersham,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/4a7e0e27-9e4a-4e8f-b906-d4f513675ebd/content,atr,ocr,110
Springfield,2003,https://www.springfield-ma.gov/elections/fileadmin/2003_2005_Local_Results/2005_City_Election_11-08_SUM.pdf,atr,ocr,1
Stoughton,2016,https://archives.lib.state.ma.us/server/api/core/bitstreams/e10472e3-01bd-44a9-892d-3fb9463aa538/content,atr,ocr,298
Sutton,2020,https://web.archive.org/web/20220301203712id_/https://www.suttonma.org/sites/g/files/vyhlif3901/f/uploads/annual_report_2020.pdf,atr,ocr,132
Taunton,2001,https://taunton-ma.gov/DocumentCenter/View/5673/2001-City-Election-Results,atr,ocr,3
Uxbridge,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/16fb1ae4-c985-407f-9ea2-513dc798648e/content,atr,ocr,143
Wales,2015,https://townofwales.net/DocumentCenter/View/3527/05-26-2015-Election-Results,atr,ocr,1
Warwick,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/328ff468-3c58-4052-96e5-c724a5b39d8b/content,atr,ocr,112
West Brookfield,2017,https://storage.googleapis.com/juniper-media-library/43/2023/10/2017%20Annual%20Town%20Report.pdf,atr,ocr,106
Attleboro,2007,https://cityofattleboro.us/DocumentCenter/View/12983/Results---Citywide,atr,ocr,3
Florida,2020,https://archives.lib.state.ma.us/server/api/core/bitstreams/0121d06e-1f17-4a75-b4ae-fb539774e517/content,atr,ocr,50
Georgetown,2014,https://web.archive.org/web/20161228024244id_/http://www.georgetownma.gov/Public_Documents/GeorgetownMA_Clerk/Election%20Results/Election%20results%20May%2012%202014.pdf,atr,ocr,1
Gloucester,2019,https://gloucester-ma.gov/DocumentCenter/View/7188,atr,ocr,11
Great Barrington,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/5d99298c-899f-4700-bcb4-dfcbc27fc0d3/content,atr,ocr,88
Groveland,2013,https://web.archive.org/web/20220319180408id_/https://www.grovelandma.com/sites/g/files/vyhlif3191/f/uploads/2013_town_election_results.pdf,atr,ocr,2
Hampden,2014,https://web.archive.org/web/20230624064818id_/https://www.hampdenma.gov/sites/g/files/vyhlif656/f/uploads/2014_annual_town_report_part_c.pdf,atr,ocr,37
Hinsdale,2005,https://hinsdalemass.com/DocumentCenter/View/290/2005-Annual-Report,atr,ocr,82
Holliston,2013,https://web.archive.org/web/20170108012931id_/http://www.townofholliston.us/sites/hollistonma/files/file/file/finance_committee_annual_report_2013.pdf,atr,ocr,46
Mount Washington,2000,https://archives.lib.state.ma.us/server/api/core/bitstreams/65a83092-b746-4d25-a9c5-54c7abe927f0/content,atr,ocr,15
Newbury,2016,https://archives.lib.state.ma.us/server/api/core/bitstreams/32c5ba06-6c42-490f-ad3e-2be6b11fd0b7/content,atr,ocr,89
North Brookfield,2012,https://archives.lib.state.ma.us/server/api/core/bitstreams/e3e78157-7575-4f3f-96a5-a5f7d2df8a62/content,atr,ocr,173
Petersham,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/8437e617-505f-400a-ac00-27cb87eca107/content,atr,ocr,92
Randolph,2000,https://randolph-ma.gov/ImageRepository/Document?documentID=144,atr,ocr,6
Springfield,2004,http://www.springfield-ma.gov/elections/fileadmin/Past_Election_Results/Past_Election_Results_2004/2004_pres_prim_pct_3_4.pdf,atr,ocr,48
Taunton,2003,https://taunton-ma.gov/DocumentCenter/View/5672/2003-City-Election-Results,atr,ocr,2
Uxbridge,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/9df62c13-91e8-4137-8f7f-0d9f76ea459d/content,atr,ocr,148
Wales,2016,https://townofwales.net/DocumentCenter/View/3530/05-31-2016-Election-Results,atr,ocr,1
Wareham,2010,https://wareham.ma.us/DocumentCenter/View/2824/2010-Nov-Election-Results-PDF,atr,ocr,5
Warwick,2015,https://old.warwickma.org/documents/atm2015/2014annualreport.pdf,atr,ocr,112
Wellesley,2006,https://web.archive.org/web/20060911012710id_/http://www.wellesleyma.gov:80/Pages/WellesleyMA_Clerk/2006%20Town%20Election%20Results.pdf,atr,ocr,5
Westborough,2012,https://web.archive.org/web/20171111013024id_/https://www.town.westborough.ma.us/sites/westboroughma/files/uploads/2012_youth_annual_report.pdf,atr,ocr,4
Westwood,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/ded0b5d3-9739-445b-bb64-0bf449ea364c/content,atr,ocr,99
Attleboro,2009,https://cityofattleboro.us/DocumentCenter/View/12978/Results---All-Wards,atr,ocr,3
Cambridge,2003,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2003citycouncil.pdf,atr,ocr,2
Charlemont,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/521ba4c9-3cf6-4d03-b0ae-c947faef1676/content,atr,ocr,104
Clarksburg,2017,https://clarksburgma.gov/specMedia/2017-Annual-Report.pdf,atr,ocr,27
Dartmouth,2018,https://dartmouthma.gov/DocumentCenter/View/347/2018-April-03-Annual-Town-Election-Official-Results-PDF,atr,ocr,13
Georgetown,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/e9e23e9c-93b1-4a23-aa9f-2cea4004b153/content,atr,ocr,117
Groveland,2014,https://web.archive.org/web/20220319200652id_/https://www.grovelandma.com/sites/g/files/vyhlif3191/f/uploads/2014_annual_town_report.pdf,atr,ocr,91
Hampden,2015,https://web.archive.org/web/20230624050508id_/https://www.hampdenma.gov/sites/g/files/vyhlif656/f/uploads/2015_annual_town_report_part_c.pdf,atr,ocr,45
Hinsdale,2006,https://hinsdalemass.com/DocumentCenter/View/291/2006-Annual-Report,atr,ocr,61
Lawrence,2009,https://www.cityoflawrence.com/DocumentCenter/View/391,atr,ocr,38
Lunenburg,2019,https://lunenburgma.gov/DocumentCenter/View/4126/FY-2019-Annual-Town-Report,atr,ocr,206
Milford,2002,https://web.archive.org/web/20220302180037id_/https://www.milfordma.gov/sites/g/files/vyhlif3466/f/uploads/tom_2002_annual_report.pdf,atr,ocr,265
Mount Washington,2001,https://archives.lib.state.ma.us/server/api/core/bitstreams/8184875a-cc4e-4260-9377-dc8cbd6d8143/content,atr,ocr,16
Newbury,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/24282e2e-903d-430b-95aa-d5fd5917d48b/content,atr,ocr,96
Petersham,2010,https://townofpetersham.gov/wp-content/uploads/2025/12/FY10-Town-report-2009-2010.pdf,atr,ocr,92
Randolph,2001,https://randolph-ma.gov/ImageRepository/Document?documentID=143,atr,ocr,4
Rutland,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/ed7e48a9-9743-4b10-9f55-b5dc512f61f1/content,atr,ocr,98
Springfield,2006,http://www.springfield-ma.gov/elections/fileadmin/Past_Election_Results/Past_Election_Results_2006-2008/September_2006_Wd_5_or_6.pdf,atr,ocr,49
Taunton,2005,https://taunton-ma.gov/DocumentCenter/View/5671/2005-City-Election-Results,atr,ocr,7
Wales,2017,https://townofwales.net/DocumentCenter/View/3534/05-24-2017-Election-Results,atr,ocr,1
Wareham,2011,https://wareham.ma.us/DocumentCenter/View/2830/2011-April-Election-Results-PDF,atr,ocr,2
