municipality,year,url,kind,pool,prior_pages
Royalston,2016,https://archives.lib.state.ma.us/server/api/core/bitstreams/777166ab-24e8-4d2c-80dd-c041a6938034/content,atr,ocr,138
Saugus,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/329be1d9-7e74-4012-a168-3f57159b76b4/content,atr,ocr,258
Sheffield,2013,https://www.sheffieldma.gov/sites/g/files/vyhlif3806/f/uploads/2013annualelectionresults.pdf,atr,ocr,1
Stoughton,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/05979510-daa4-46b0-86eb-a4f5b7c855ea/content,atr,ocr,312
Sutton,2018,https://web.archive.org/web/20220301203638id_/https://www.suttonma.org/sites/g/files/vyhlif3901/f/uploads/2018_annual_town_report.pdf,atr,ocr,122
Tyngsborough,2011,https://web.archive.org/web/20150917222043id_/http://www.tyngsboroughma.gov/download/documents/2011/2009%20Annual%20Town%20Reports.pdf,atr,ocr,96
Wales,2013,https://townofwales.net/DocumentCenter/View/3531/06-25-2013-Election-Results,atr,ocr,1
Attleboro,2017,https://cityofattleboro.us/DocumentCenter/View/12899/Results-Citywide,atr,ocr,6
Belchertown,2016,https://www.belchertown.org/DocumentCenter/View/7959/2016-Annual-Town-Report-Belchertown,atr,ocr,137
Brimfield,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/a347f106-7032-4d4c-a23b-21549f1cbf37/content,atr,ocr,172
Cambridge,2008,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2008wardcommitteedem.pdf,atr,ocr,11
Chelmsford,2011,https://www.townofchelmsford.us/DocumentCenter/View/537,atr,ocr,4
Cohasset,2020,https://www.cohassetma.org/DocumentCenter/View/3094,atr,ocr,1
Dover,2014,https://doverma.gov/DocumentCenter/View/208/05-19-2014-Annual-Town-Election-Results,atr,ocr,1
East Bridgewater,2015,https://eastbridgewaterma.gov/DocumentCenter/View/594/2015-Annual-Town-Report-PDF,atr,ocr,188
Grafton,2010,https://web.archive.org/web/20211229042636id_/https://www.grafton-ma.gov/sites/g/files/vyhlif4461/f/pages/local_election_results_5-3-2010.pdf,atr,ocr,3
Hinsdale,2011,https://hinsdalemass.com/DocumentCenter/View/242/2011-Annual-Report,atr,ocr,75
Lawrence,2014,https://cityoflawrence.com/ImageRepository/Document?documentID=76,atr,ocr,1
Leominster,2007,https://web.archive.org/web/20100927083556id_/http://leominster-ma.gov/images/images_comptroller_dept/pdfs/annual-report-2007.pdf,atr,ocr,50
Middlefield,2012,https://archives.lib.state.ma.us/server/api/core/bitstreams/50a80f22-c184-4cb1-aa02-2b1c033c43f2/content,atr,ocr,92
