municipality,year,url,alt_url
DouglasPDF,2024,https://web.archive.org/cdx/search/cdx?url=douglas-ma.gov&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,
WarePDF,2026,https://web.archive.org/cdx/search/cdx?url=townofware.com&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,https://web.archive.org/cdx/search/cdx?url=cms1files.revize.com%2Fwarema&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$
NorfolkPDF,2026,https://web.archive.org/cdx/search/cdx?url=norfolk.ma.us&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,https://web.archive.org/cdx/search/cdx?url=cms5.revize.com%2Fnorfolkma&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$
LittletonPDF,2026,https://web.archive.org/cdx/search/cdx?url=littletonma.org&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,
LeverettPDF,2026,https://web.archive.org/cdx/search/cdx?url=leverett.ma.us&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,
MillvillePDF,2026,https://web.archive.org/cdx/search/cdx?url=millvillema.org&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,
StockbridgePDF,2026,https://web.archive.org/cdx/search/cdx?url=stockbridge-ma.gov&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,
GranvillePDF,2026,https://web.archive.org/cdx/search/cdx?url=granville-ma.gov&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,https://web.archive.org/cdx/search/cdx?url=townofgranville.net&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$
HollandPDF,2026,https://web.archive.org/cdx/search/cdx?url=town.holland.ma.us&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,
CummingtonPDF,2026,https://web.archive.org/cdx/search/cdx?url=cummington-ma.gov&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,
RussellPDF,2023,https://web.archive.org/cdx/search/cdx?url=townofrussell.us&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,https://web.archive.org/cdx/search/cdx?url=russell-ma.gov&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$
TollandPDF,2021,https://web.archive.org/cdx/search/cdx?url=tolland-ma.gov&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,
WarrenPDF,2022,https://web.archive.org/cdx/search/cdx?url=warren-ma.gov&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,
OakhamPDF,2023,https://web.archive.org/cdx/search/cdx?url=oakham-ma.gov&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,
EastBrookfieldPDF,2023,https://web.archive.org/cdx/search/cdx?url=eastbrookfieldma.us&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,
NewBraintreePDF,2021,https://web.archive.org/cdx/search/cdx?url=newbraintreema.us&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,
SavoyPDF,2021,https://web.archive.org/cdx/search/cdx?url=townofsavoy.com&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,https://web.archive.org/cdx/search/cdx?url=savoy-ma.gov&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$
HancockPDF,2022,https://web.archive.org/cdx/search/cdx?url=town.hancock.ma.us&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,
SheffieldPDF,2023,https://web.archive.org/cdx/search/cdx?url=sheffieldma.gov&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,
HubbardstonPDF,2021,https://web.archive.org/cdx/search/cdx?url=hubbardstonma.us&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$,https://web.archive.org/cdx/search/cdx?url=hubbardstonma.gov&matchType=domain&output=json&limit=5000&collapse=urlkey&filter=statuscode:200&filter=original:.*[Pp][Dd][Ff]$
