town,host,years
Savoy,townofsavoy.com,2021|2022
Merrimac,www.townofmerrimac.com,2022
Merrimac,townofmerrimac.com,2022
Berkley,www.townofberkleyma.com,2022
Berkley,townofberkleyma.gov,2022
Middlefield,www.middlefield-ma.gov,2021|2022
Hampden,www.hampdenma.gov,2022
Monson,www.monson-ma.gov,2021
Tolland,www.tolland-ma.gov,2021|2026
New Braintree,www.newbraintreema.us,2021|2022|2026
Russell,www.townofrussell.us,2023
Oakham,www.oakham-ma.gov,2023
Warren,www.warren-ma.gov,2022|2023|2024
Richmond,www.richmondma.org,2021|2022|2023|2026
Richmond,richmondma.org,2021|2022|2023|2026
East Brookfield,www.eastbrookfieldma.us,2022|2023|2024|2026
East Brookfield,eastbrookfieldma.civiccms.acsitefactory.com,2022|2023|2024|2026
Douglas,www.douglas-ma.gov,2024|2026
Alford,www.townofalford.org,2022
Egremont,www.egremont-ma.gov,2021
Hubbardston,www.hubbardstonma.us,2021
West Brookfield,www.wbrookfield.com,2022
Sheffield,www.sheffieldma.gov,2023
Chester,townofchester.net,2023
Gosnold,www.gosnold-ma.gov,2021|2022|2023|2026
