municipality,year,url,kind,pool,prior_status,prior_chars,prior_pages
Arlington,2006,https://web.archive.org/web/20101228150914id_/http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_WebDocs/AnnualReport/2006/dept/TManager.pdf,atr,section,OK,41139,12
Arlington,2007,https://web.archive.org/web/20101228151350id_/http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_WebDocs/AnnualReport/2007/dept/2007_TownManager.pdf,atr,section,OK,53191,13
Arlington,2008,https://web.archive.org/web/20101229065000id_/http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_WebDocs/AnnualReport/2008/AnnualReport_2008.pdf,atr,section,OK,415055,135
Arlington,2012,https://web.archive.org/web/20131029221200id_/http://www.arlingtonma.gov:80/Public_Documents/ArlingtonMA_WebDocs/AnnualReport/2012/Libraries.pdf,atr,section,OK,28374,7
Arlington,2013,https://web.archive.org/web/20131209144552id_/http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_Clerk/elections/2013/04062013_UnofficialResults.pdf,atr,section,OK,9860,5
Ashburnham,2002,https://web.archive.org/web/20170130192347id_/http://www.ashburnham-ma.gov/pages/AshburnhamMA_ElectionResults/2002-04-30AnnualTownElectionBallot.pdf,atr,section,RETRY,1801,1
Ashburnham,2003,https://ashburnham-ma.gov/DocumentCenter/View/525/June-10-2003Town-Election-with-Results-PDF,atr,section,OK,2600,2
Ashburnham,2004,https://ashburnham-ma.gov/DocumentCenter/View/522/Annual-Election-Results-2004-,atr,section,RETRY,1259,2
Ashburnham,2005,https://web.archive.org/web/20161227224830id_/http://www.ashburnham-ma.gov/Pages/AshburnhamMA_Admin/2005TownAdministratorAnnualReport.pdf,atr,section,OK,15020,6
Ashburnham,2006,https://ashburnham-ma.gov/DocumentCenter/View/527/Annual-Election-Results-2006-,atr,section,OK,2163,2
Ashburnham,2007,https://web.archive.org/web/20161229171912id_/http://www.ashburnham-ma.gov/pages/ashburnhamma_admin/annual/2007TownAdministratorAnnualReport.pdf,atr,section,OK,2772,2
Ashburnham,2008,https://web.archive.org/web/20170125215151id_/http://www.ashburnham-ma.gov/Pages/AshburnhamMA_Admin/annual/2008TownAdministratorAnnualReport.pdf,atr,section,OK,5417,2
Ashburnham,2009,https://web.archive.org/web/20161227220554id_/http://www.ashburnham-ma.gov/pages/ashburnhamma_electionresults/2009-06-16Election.pdf,atr,section,OK,2040,1
Ashburnham,2010,https://ashburnham-ma.gov/DocumentCenter/View/537/Election-Results-February-11-2010-PDF,atr,section,OK,2031,2
Ashburnham,2011,https://web.archive.org/web/20151023160628id_/http://www.ashburnham-ma.gov/Pages/AshburnhamMA_Admin/Annual%20Town%20Reports/2011%20ANNUAL%20TOWN%20REPORT.pdf,atr,section,OK,332233,116
Ashburnham,2012,https://web.archive.org/web/20151023001231id_/http://www.ashburnham-ma.gov/Pages/AshburnhamMA_Admin/Annual%20Town%20Reports/2012%20ANNUAL%20TOWN%20REPORT.pdf,atr,section,OK,399851,120
Ashburnham,2013,https://web.archive.org/web/20151023152510id_/http://www.ashburnham-ma.gov/Pages/AshburnhamMA_Admin/Annual%20Town%20Reports/2013%20ANNUAL%20TOWN%20REPORT.pdf,atr,section,OK,402694,118
Ashburnham,2014,https://web.archive.org/web/20151023004354id_/http://www.ashburnham-ma.gov/Pages/AshburnhamMA_Admin/Annual%20Town%20Reports/2014%20ANNUAL%20TOWN%20REPORT.pdf,atr,section,OK,402801,120
Ashburnham,2015,https://web.archive.org/web/20170107083723id_/http://www.ashburnham-ma.gov/Pages/AshburnhamMA_Admin/Annual%20Town%20Reports/2015%20ANNUAL%20TOWN%20REPORT%201.pdf,atr,section,OK,386572,137
Ashburnham,2016,https://ashburnham-ma.gov/DocumentCenter/View/465/2016-Annual-Report-PDF,atr,section,OK,356384,110
Ashburnham,2017,https://web.archive.org/web/20220303071552id_/https://www.ashburnham-ma.gov/sites/g/files/vyhlif266/f/uploads/town_of_ashburnham_annual_report_2017.pdf,atr,section,OK,285452,107
Ashburnham,2018,https://www.ashburnham-ma.gov/DocumentCenter/View/2649,atr,section,RETRY,1370,1
Ashburnham,2020,https://www.ashburnham-ma.gov/DocumentCenter/View/639,atr,section,RETRY,784,1
Ashby,2001,https://drive.google.com/drive/u/0/folders/1K-DbMmxgUx7psiYvfFz439SV9YGCDv7A,atr,section,RETRY,0,0
Ashby,2002,https://drive.google.com/drive/u/0/folders/1yGQEMYMySr0FrNb72C9HP4d5i8_z-nJL,atr,section,RETRY,0,0
Ashby,2003,https://drive.google.com/drive/u/0/folders/1GJ0ZcfiV0eYpQXWZubDFafEOIVItJKRm,atr,section,RETRY,0,0
Ashby,2004,https://drive.google.com/drive/u/0/folders/1xbXKcCFxc6N4vzx-8avNOfsGw3ljIUq0,atr,section,RETRY,0,0
Ashby,2005,https://drive.google.com/drive/u/0/folders/13SupZai2f7mRh9CXNP_cyIg27zJVSp1c,atr,section,RETRY,0,0
Ashby,2006,https://drive.google.com/drive/u/0/folders/10kfkHwhyiDWwEnnahp-Fs6lKRKY0t0hO,atr,section,RETRY,0,0
Ashby,2007,https://drive.google.com/drive/u/0/folders/1VG33gVOvYEWOpwlHg8zx-Utm-o2uIiRE,atr,section,RETRY,0,0
Ashby,2008,https://drive.google.com/open?id=1C44h8Xggmv5z72lxCU_W-8fXZXUoJSs5,atr,section,RETRY,0,0
Ashby,2009,https://drive.google.com/open?id=1-VGAI7Z2ZmQMPom_ZVzk_KeL4TFn9PKh,atr,section,RETRY,0,0
Ashby,2010,https://drive.google.com/open?id=1u92bjzMnpI9rCiRXnUkWVQVpIT0s9mhs,atr,section,RETRY,0,0
Ashby,2011,https://drive.google.com/open?id=1CAJCiSRSz6K_ITnehI9IK731WaMjHcYF,atr,section,RETRY,0,0
Ashby,2012,https://drive.google.com/open?id=1a9uVZbwEXbmxzHWKkWgd9EPPtEra-YhR,atr,section,RETRY,0,0
Ashby,2013,https://drive.google.com/open?id=15NIKRH7H7bXSTPpzpkh6kd6Qg1nNeAaO,atr,section,RETRY,0,0
Ashby,2014,https://drive.google.com/open?id=1-XKojlgkACWhTtu8DSCmtuDxPStZaGmG,atr,section,RETRY,0,0
Ashby,2015,https://drive.google.com/open?id=1g2a_F4HUT93cUS6QEeKYkatoswGP-f8r,atr,section,RETRY,0,0
Ashby,2016,https://www.ci.ashby.ma.us/clerk/treport/report16/ashby_Annual_Report-2016.pdf,atr,section,OK,299545,156
Ashby,2017,https://drive.google.com/open?id=1LiQ66ZSWNTqu0IYx2_1zi5VOqb6Y-gaX,atr,section,RETRY,0,0
Ashby,2018,https://drive.google.com/open?id=14980u53JhBc6a-CXrJ5yZhz2cdB8zhp-,atr,section,RETRY,0,0
Ashby,2019,https://drive.google.com/open?id=1chSX5iqruKZpaqrBLcBODARLgMZScxHa,atr,section,RETRY,0,0
Ashby,2020,https://drive.google.com/file/d/1dKWQzsGo7-S6wttWTAhjaEwA9757RH43/view?usp=sharing,atr,section,RETRY,0,0
Ashfield,2010,https://ashfield.org/DocumentCenter/View/63,atr,section,RETRY,1424,2
Ashfield,2011,https://web.archive.org/web/20151210043308id_/http://ashfield.org/documents/SelectBoard/AnnualTownReport2011.pdf,atr,section,OK,90842,72
Ashfield,2012,https://web.archive.org/web/20151030055212id_/http://ashfield.org/documents/SelectBoard/AshfieldAnnualTownReportfor2012.pdf,atr,section,OK,107418,79
Ashfield,2013,https://ashfield.org/DocumentCenter/View/64,atr,section,RETRY,1008,3
Ashfield,2014,https://web.archive.org/web/20151210041515id_/http://ashfield.org/documents/SelectBoard/AshfieldAnnualReport2014.pdf,atr,section,OK,108956,79
Ashfield,2015,https://ashfield.org/DocumentCenter/View/65,atr,section,RETRY,1032,2
Ashfield,2016,https://ashfield.org/DocumentCenter/View/82,atr,section,RETRY,1076,1
Ashfield,2017,https://ashfield.org/DocumentCenter/View/6620,atr,section,RETRY,1176,2
Ashfield,2020,https://ashfield.org/DocumentCenter/View/8529,atr,section,OK,3199,2
Ashland,2005,http://ashlandmass.com/town_clerk/public_documents/2005_official_election_results.pdf,atr,section,RETRY,0,0
Ashland,2006,http://ashlandmass.com/board_of_selectmen/public_documents/AnnualReport2006-Ashland.pdf,atr,section,RETRY,0,0
Ashland,2010,https://ashlandmass.com/ImageRepository/Document?documentID=377,atr,section,OK,28582,12
Ashland,2011,https://ashlandmass.com/ImageRepository/Document?documentID=378,atr,section,RETRY,746,1
Ashland,2012,https://ashlandmass.com/ImageRepository/Document?documentID=379,atr,section,RETRY,0,0
Ashland,2013,https://ashlandmass.com/ImageRepository/Document?documentID=380,atr,section,RETRY,0,0
Ashland,2014,https://ashlandmass.com/ImageRepository/Document?documentID=381,atr,section,RETRY,0,0
Ashland,2015,https://ashlandmass.com/ImageRepository/Document?documentID=376,atr,section,RETRY,0,0
Ashland,2016,https://ashlandmass.com/ImageRepository/Document?documentID=230,atr,section,OK,120595,68
Ashland,2018,https://www.ashlandmass.com/DocumentCenter/View/3659,atr,section,OK,2991,4
Attleboro,2001,https://cityofattleboro.us/DocumentCenter/View/13032/Results---Citywide,atr,section,RETRY,1290,1
