municipality,year,election_date,registered,basis
Groveland,2023,2023-05-01,5387,interpolated
Groveland,2024,2024-05-06,5576,interpolated
Groveland,2025,2025-05-05,5562,carried
Groveland,2026,2026-05-04,5562,carried
Hadley,2021,2021-04-13,3915,interpolated
Hadley,2022,2022-05-17,3876,interpolated
Hadley,2023,2023-05-16,3816,interpolated
Hadley,2024,2024-05-21,3958,interpolated
Hadley,2025,2025-05-20,4017,carried
Hadley,2026,2026-05-19,4017,carried
Halifax,2021,2021-05-15,6022,interpolated
Halifax,2022,2022-05-14,6141,interpolated
Halifax,2023,2023-05-13,6170,interpolated
Halifax,2024,2024-05-18,6418,interpolated
Halifax,2025,2025-05-17,6433,carried
Halifax,2026,2026-05-16,6433,carried
Hamilton,2021,2021-05-06,5781,interpolated
Hamilton,2022,2022-04-07,5658,interpolated
Hamilton,2023,2023-04-06,5623,interpolated
Hamilton,2024,2024-04-11,5776,snapshot
Hamilton,2025,2025-04-10,5765,carried
Hamilton,2026,2026-04-16,5765,carried
Hampden,2021,2021-05-19,3995,interpolated
Hampden,2022,2022-05-16,4052,interpolated
Hampden,2023,2023-05-15,4109,interpolated
Hampden,2024,2024-05-20,4292,interpolated
Hampden,2025,2025-05-19,4185,carried
Hampden,2026,2026-05-18,4185,carried
Hancock,2021,2021-05-10,554,interpolated
Hancock,2023,2023-05-08,560,interpolated
Hancock,2024,2024-05-13,580,interpolated
Hancock,2025,2025-05-12,603,carried
Hancock,2026,2026-05-11,603,carried
Hanover,2021,2021-05-08,11220,interpolated
Hanover,2022,2022-05-07,11354,interpolated
Hanover,2023,2023-05-13,11409,interpolated
Hanover,2024,2024-05-18,11868,interpolated
Hanover,2025,2025-05-17,11910,carried
Hanover,2026,2026-05-16,11910,carried
Hanson,2021,2021-05-15,8042,interpolated
Hanson,2022,2022-05-21,8142,interpolated
Hanson,2023,2023-05-20,8123,interpolated
Hanson,2024,2024-05-18,8512,interpolated
Hanson,2025,2025-05-17,8741,carried
Hanson,2026,2026-05-16,8741,carried
Hardwick,2021,2021-04-12,1908,interpolated
Hardwick,2022,2022-04-11,1936,interpolated
Hardwick,2023,2023-04-10,1968,interpolated
Hardwick,2024,2024-05-04,2094,interpolated
Hardwick,2025,2025-05-03,2125,carried
Hardwick,2026,2026-05-02,2125,carried
Harvard,2021,2021-05-18,4454,interpolated
Harvard,2022,2022-05-17,4541,interpolated
Harvard,2023,2023-05-09,4621,interpolated
Harvard,2024,2024-04-09,4710,snapshot
Harvard,2025,2025-05-06,4776,carried
Harvard,2026,2026-05-05,4776,carried
Harwich,2021,2021-05-18,11518,interpolated
Harwich,2022,2022-05-17,11327,interpolated
Harwich,2023,2023-05-16,11454,interpolated
Harwich,2024,2024-05-21,11832,interpolated
Harwich,2025,2025-05-20,12188,carried
Harwich,2026,2026-05-19,12188,carried
Hatfield,2021,2021-05-18,2668,interpolated
Hatfield,2022,2022-05-01,2681,interpolated
Hatfield,2023,2023-05-16,2636,interpolated
Hatfield,2024,2024-05-21,2734,interpolated
Hatfield,2025,2025-05-20,2725,carried
Hatfield,2026,2026-05-19,2725,carried
Haverhill,2021,2021-11-02,48419,interpolated
Haverhill,2023,2023-11-07,48571,interpolated
Haverhill,2025,2025-11-04,47515,carried
Hawley,2021,2021-05-02,274,interpolated
Hawley,2022,2022-05-04,261,interpolated
Hawley,2023,2023-05-01,259,interpolated
Hawley,2024,2024-05-06,260,interpolated
Hawley,2025,2025-05-05,263,carried
Hawley,2026,2026-05-05,263,carried
Heath,2021,2021-05-07,557,interpolated
Heath,2022,2022-05-06,555,interpolated
Heath,2023,2023-05-05,550,interpolated
Heath,2024,2024-05-10,556,interpolated
Heath,2025,2025-05-09,558,carried
Heath,2026,2026-05-08,558,carried
Hingham,2021,2021-05-22,19038,interpolated
Hingham,2022,2022-05-14,19373,interpolated
Hingham,2023,2023-04-29,19324,interpolated
Hingham,2024,2024-04-27,19642,interpolated
Hingham,2025,2025-05-03,20070,carried
Hingham,2026,2026-05-02,20070,carried
Hinsdale,2021,2021-06-12,1472,interpolated
Hinsdale,2022,2022-05-14,1467,interpolated
Hinsdale,2023,2023-05-13,1474,interpolated
Hinsdale,2024,2024-05-18,1554,interpolated
Hinsdale,2025,2025-05-17,1613,carried
Hinsdale,2026,2026-05-23,1613,carried
Holbrook,2021,2021-04-03,7922,interpolated
Holbrook,2022,2022-04-02,8023,interpolated
Holbrook,2023,2023-04-07,8042,interpolated
Holbrook,2024,2024-04-06,8321,snapshot
Holbrook,2025,2025-04-05,8571,carried
Holbrook,2026,2026-04-04,8571,carried
Holden,2021,2021-05-10,14774,interpolated
Holden,2022,2022-05-09,14914,interpolated
Holden,2023,2023-05-08,15136,interpolated
Holden,2024,2024-05-13,15660,interpolated
Holden,2025,2025-05-12,15784,carried
Holden,2026,2026-05-11,15784,carried
Holland,2021,2021-06-08,2125,interpolated
Holland,2022,2022-06-14,2197,interpolated
Holland,2023,2023-06-13,2172,interpolated
Holland,2024,2024-06-11,2305,interpolated
Holland,2025,2025-06-10,2362,carried
Holliston,2021,2021-05-25,11036,interpolated
Holliston,2022,2022-05-24,11119,interpolated
Holliston,2023,2023-05-23,11217,interpolated
Holliston,2024,2024-05-21,11595,interpolated
Holliston,2025,2025-05-20,11508,carried
Holliston,2026,2026-05-19,11508,carried
Holyoke,2021,2021-11-02,27355,interpolated
Holyoke,2023,2023-11-07,28593,interpolated
Holyoke,2025,2025-11-04,30689,carried
Hopedale,2021,2021-05-11,4462,interpolated
Hopedale,2022,2022-11-08,4459,snapshot
Hopedale,2023,2023-05-09,4435,interpolated
Hopedale,2024,2024-05-14,4575,interpolated
Hopedale,2025,2025-05-13,4653,carried
Hopedale,2026,2026-05-12,4653,carried
Hopkinton,2021,2021-05-22,12716,interpolated
Hopkinton,2022,2022-05-16,12923,interpolated
Hopkinton,2023,2023-05-15,12966,interpolated
Hopkinton,2024,2024-05-20,13390,interpolated
Hopkinton,2025,2025-05-19,13169,carried
Hopkinton,2026,2026-05-18,13169,carried
Hubbardston,2021,2021-06-08,3432,interpolated
Hubbardston,2022,2022-06-14,3409,interpolated
Hubbardston,2023,2023-06-13,3493,interpolated
Hubbardston,2024,2024-06-11,3658,interpolated
Hubbardston,2025,2025-06-17,3768,carried
Hubbardston,2026,2026-06-09,3768,carried
Hudson,2021,2021-05-10,13810,interpolated
Hudson,2022,2022-05-09,13980,interpolated
Hudson,2023,2023-05-08,14041,interpolated
Hudson,2024,2024-05-13,14648,interpolated
Hudson,2025,2025-05-12,14609,carried
Hudson,2026,2026-05-11,14609,carried
Hull,2021,2021-05-22,8623,interpolated
Hull,2022,2022-05-17,8772,interpolated
Hull,2023,2023-05-15,8888,interpolated
Hull,2024,2024-05-20,9153,interpolated
Hull,2025,2025-05-19,9234,carried
Hull,2026,2026-05-18,9234,carried
Huntington,2021,2021-05-15,1585,interpolated
Huntington,2022,2022-05-21,1628,interpolated
Huntington,2023,2023-05-20,1669,interpolated
Huntington,2024,2024-05-11,1727,interpolated
Huntington,2025,2025-05-10,1746,carried
Huntington,2026,2026-05-09,1746,carried
Ipswich,2021,2021-05-18,11674,interpolated
Ipswich,2022,2022-05-17,11770,interpolated
Ipswich,2023,2023-05-16,11871,interpolated
Ipswich,2024,2024-05-21,12215,interpolated
Ipswich,2025,2025-05-20,11677,carried
Ipswich,2026,2026-05-19,11677,carried
Kingston,2021,2021-04-24,10506,interpolated
Kingston,2022,2022-04-23,10681,interpolated
Kingston,2023,2023-04-22,10950,interpolated
Kingston,2024,2024-05-18,11430,interpolated
Kingston,2025,2025-05-17,11689,carried
Kingston,2026,2026-05-16,11689,carried
Lakeville,2021,2021-04-05,8868,interpolated
Lakeville,2022,2022-04-04,9161,interpolated
Lakeville,2023,2023-04-03,9347,interpolated
Lakeville,2024,2024-04-01,9773,snapshot
Lakeville,2025,2025-04-07,10092,carried
Lakeville,2026,2026-04-06,10092,carried
Lancaster,2021,2021-05-10,5376,interpolated
Lancaster,2022,2022-05-09,5266,interpolated
Lancaster,2023,2023-05-08,5237,interpolated
Lancaster,2024,2024-05-13,5380,interpolated
Lancaster,2025,2025-05-12,5434,carried
Lancaster,2026,2026-05-11,5434,carried
Lanesborough,2021,2021-06-15,2367,interpolated
Lanesborough,2022,2022-06-21,2415,interpolated
Lanesborough,2023,2023-06-20,2465,interpolated
Lanesborough,2024,2024-06-18,2551,interpolated
Lanesborough,2025,2025-06-17,2591,carried
Lanesborough,2026,2026-06-16,2591,carried
Lawrence,2021,2021-11-02,41896,interpolated
Lawrence,2023,2023-11-07,45191,interpolated
Lawrence,2025,2025-11-04,43530,carried
Lee,2021,2021-05-17,4432,interpolated
Lee,2022,2022-05-16,4517,interpolated
Lee,2023,2023-05-15,4548,interpolated
Lee,2024,2024-05-14,4737,interpolated
Lee,2025,2025-05-12,4784,carried
Lee,2026,2026-05-18,4784,carried
Leicester,2021,2021-06-08,8035,interpolated
Leicester,2022,2022-06-14,8170,interpolated
Leicester,2023,2023-06-12,8323,interpolated
Leicester,2024,2024-06-11,8768,interpolated
Leicester,2025,2025-06-10,9008,carried
Leicester,2026,2026-06-09,9008,carried
Lenox,2021,2021-05-10,3912,interpolated
Lenox,2022,2022-05-09,3841,interpolated
Lenox,2023,2023-05-09,3745,interpolated
Lenox,2024,2024-05-07,3885,interpolated
Lenox,2025,2025-05-05,3873,carried
Lenox,2026,2026-05-11,3873,carried
Leominster,2021,2021-11-02,29271,interpolated
Leominster,2023,2023-11-07,30750,interpolated
Leominster,2025,2025-11-04,32723,carried
Leverett,2021,2021-05-01,1565,interpolated
Leverett,2022,2022-04-30,1554,interpolated
Leverett,2023,2023-04-29,1521,interpolated
Leverett,2024,2024-04-27,1541,interpolated
Leverett,2025,2025-05-03,1544,carried
Lexington,2021,2021-03-01,22545,snapshot
Lexington,2022,2022-03-07,22703,interpolated
Lexington,2023,2023-03-06,22641,snapshot
Lexington,2024,2024-03-05,23114,snapshot
Lexington,2025,2025-03-03,23070,snapshot
Lexington,2026,2026-03-02,23070,carried
Leyden,2021,2021-06-28,592,interpolated
Leyden,2022,2022-06-27,591,interpolated
Leyden,2023,2023-06-26,584,interpolated
Leyden,2024,2024-06-04,608,interpolated
Leyden,2025,2025-06-03,612,carried
Leyden,2026,2026-06-02,612,carried
Lincoln,2021,2021-03-29,4841,interpolated
Lincoln,2022,2022-03-28,4942,interpolated
Lincoln,2023,2023-03-27,4906,interpolated
Lincoln,2024,2024-03-25,5011,snapshot
Lincoln,2025,2025-03-31,5023,carried
Lincoln,2026,2026-03-30,5023,carried
Littleton,2021,2021-05-08,7528,interpolated
Littleton,2022,2022-05-07,7385,interpolated
Littleton,2023,2023-05-06,7503,interpolated
Littleton,2024,2024-05-11,7691,interpolated
Littleton,2025,2025-05-10,7879,carried
Longmeadow,2021,2021-06-22,12071,interpolated
Longmeadow,2022,2022-06-14,12072,interpolated
Longmeadow,2023,2023-06-13,12494,interpolated
Longmeadow,2024,2024-06-11,12807,interpolated
Longmeadow,2025,2025-06-03,13117,carried
Longmeadow,2026,2026-06-02,13117,carried
Lowell,2021,2021-11-02,68163,interpolated
Lowell,2023,2023-11-07,74534,interpolated
Lowell,2025,2025-11-04,75064,carried
Ludlow,2021,2021-03-22,14396,interpolated
Ludlow,2022,2022-03-28,14845,interpolated
Ludlow,2023,2023-03-27,14945,interpolated
Ludlow,2024,2024-03-25,15643,snapshot
Ludlow,2025,2025-03-24,15738,carried
Ludlow,2026,2026-03-23,15738,carried
Lunenburg,2021,2021-05-15,8686,interpolated
Lunenburg,2022,2022-05-21,8908,interpolated
Lunenburg,2023,2023-05-20,9036,interpolated
Lunenburg,2024,2024-05-18,9397,interpolated
Lunenburg,2025,2025-05-17,9709,carried
Lunenburg,2026,2026-05-16,9709,carried
Lynn,2021,2021-11-02,56343,interpolated
Lynn,2023,2023-11-07,59793,interpolated
Lynn,2025,2025-11-04,62806,carried
Lynnfield,2021,2021-04-13,9412,interpolated
Lynnfield,2022,2022-04-12,9525,interpolated
Lynnfield,2023,2023-04-11,9434,interpolated
Lynnfield,2024,2024-04-09,9639,snapshot
Lynnfield,2025,2025-04-08,10104,carried
Lynnfield,2026,2026-04-14,10104,carried
Malden,2021,2021-11-02,36004,interpolated
Malden,2023,2023-11-07,36086,interpolated
Malden,2025,2025-11-04,36839,carried
Manchester,2021,2021-05-18,4397,interpolated
Manchester,2022,2022-05-17,4356,interpolated
Manchester,2023,2023-05-16,4299,interpolated
Manchester,2024,2024-05-21,4375,interpolated
Manchester,2025,2025-05-20,4353,carried
Manchester,2026,2026-05-19,4353,carried
Mansfield,2021,2021-05-11,18436,interpolated
Mansfield,2022,2022-05-10,18515,interpolated
Mansfield,2023,2023-05-09,18498,interpolated
Mansfield,2024,2024-05-14,19185,interpolated
Mansfield,2025,2025-05-13,19280,carried
Mansfield,2026,2026-05-12,19280,carried
Marblehead,2021,2021-06-22,16226,interpolated
Marblehead,2022,2022-06-21,16298,interpolated
Marblehead,2023,2023-06-20,16281,interpolated
Marblehead,2024,2024-06-11,16822,interpolated
Marblehead,2025,2025-06-10,17216,carried
Marblehead,2026,2026-06-09,17216,carried
Marion,2021,2021-05-14,4358,interpolated
Marion,2022,2022-05-13,4398,interpolated
Marion,2023,2023-05-12,4430,interpolated
Marion,2024,2024-05-17,4562,interpolated
Marion,2025,2025-05-16,4481,carried
Marion,2026,2026-05-15,4481,carried
Marlborough,2021,2021-11-02,24542,interpolated
Marlborough,2023,2023-11-07,25479,interpolated
Marlborough,2025,2025-11-04,26816,carried
Marshfield,2021,2021-05-01,21359,interpolated
Marshfield,2022,2022-04-30,21176,interpolated
Marshfield,2023,2023-04-29,21320,interpolated
Marshfield,2024,2024-04-27,21698,interpolated
Marshfield,2025,2025-05-03,21917,carried
Marshfield,2026,2026-05-02,21917,carried
Mashpee,2021,2021-05-08,12110,interpolated
Mashpee,2022,2022-05-07,12392,interpolated
Mashpee,2023,2023-05-06,12511,interpolated
Mashpee,2024,2024-05-11,12986,interpolated
Mashpee,2025,2025-05-10,13276,carried
Mashpee,2026,2026-05-09,13276,carried
Mattapoisett,2021,2021-05-18,5577,interpolated
Mattapoisett,2022,2022-05-17,5650,interpolated
Mattapoisett,2023,2023-05-16,5751,interpolated
Mattapoisett,2024,2024-05-21,5990,interpolated
Mattapoisett,2025,2025-05-20,5962,carried
Mattapoisett,2026,2026-05-19,5962,carried
Maynard,2021,2021-05-08,7992,interpolated
Maynard,2022,2022-05-03,8204,interpolated
Maynard,2023,2023-05-02,8342,interpolated
Maynard,2024,2024-05-07,8624,interpolated
Maynard,2025,2025-05-06,8909,carried
Maynard,2026,2026-05-05,8909,carried
Medfield,2021,2021-03-29,9417,interpolated
Medfield,2022,2022-03-28,9524,interpolated
Medfield,2023,2023-03-27,9447,interpolated
Medfield,2024,2024-03-25,9546,snapshot
Medfield,2025,2025-03-31,9752,carried
Medfield,2026,2026-03-30,9752,carried
Medford,2021,2021-11-02,41121,interpolated
Medford,2023,2023-11-07,41934,interpolated
Medford,2025,2025-11-04,42623,carried
Medway,2021,2021-05-18,10281,interpolated
Medway,2022,2022-05-17,10322,interpolated
Medway,2023,2023-05-16,10413,interpolated
Medway,2024,2024-05-21,10839,interpolated
Medway,2025,2025-05-20,11073,carried
Medway,2026,2026-05-19,11073,carried
Melrose,2021,2021-11-02,20986,interpolated
Melrose,2023,2023-11-07,21215,interpolated
Melrose,2025,2025-11-04,20883,carried
Mendon,2021,2021-05-18,4552,interpolated
Mendon,2022,2022-05-17,4561,interpolated
Mendon,2023,2023-05-16,4561,interpolated
Mendon,2024,2024-05-14,4783,interpolated
Mendon,2025,2025-05-13,4887,carried
Mendon,2026,2026-05-19,4887,carried
Merrimac,2021,2021-05-03,5579,interpolated
Merrimac,2023,2023-05-01,5695,interpolated
Merrimac,2024,2024-05-06,5950,interpolated
Merrimac,2025,2025-05-05,6096,carried
Merrimac,2026,2026-05-06,6096,carried
Methuen,2021,2021-11-02,37066,interpolated
Methuen,2023,2023-11-07,40011,interpolated
Methuen,2025,2025-11-04,41204,carried
Middleborough,2021,2021-04-03,18747,interpolated
Middleborough,2022,2022-04-02,19194,interpolated
Middleborough,2023,2023-04-01,19040,interpolated
Middleborough,2024,2024-04-06,19894,snapshot
Middleborough,2025,2025-04-05,20342,carried
Middleborough,2026,2026-04-04,20342,carried
Middlefield,2023,2023-05-06,361,interpolated
Middlefield,2024,2024-05-04,372,interpolated
Middlefield,2025,2025-05-03,373,carried
Middlefield,2026,2026-05-02,373,carried
Middleton,2021,2021-06-12,6993,interpolated
Middleton,2022,2022-05-17,7056,interpolated
Middleton,2023,2023-05-16,7163,interpolated
Middleton,2024,2024-05-21,7307,interpolated
Middleton,2025,2025-05-20,7200,carried
Middleton,2026,2026-05-19,7200,carried
Milford,2021,2021-04-06,18011,interpolated
Milford,2022,2022-04-05,18340,interpolated
Milford,2023,2023-04-04,17804,interpolated
Milford,2024,2024-04-02,18184,snapshot
Milford,2025,2025-04-01,18867,carried
Milford,2026,2026-04-07,18867,carried
Millbury,2021,2021-04-27,10117,interpolated
Millbury,2022,2022-04-26,10270,interpolated
Millbury,2023,2023-04-25,10434,interpolated
Millbury,2024,2024-04-30,10822,interpolated
Millbury,2025,2025-04-29,11016,carried
Millbury,2026,2026-04-28,11016,carried
Millis,2021,2021-05-10,6775,interpolated
Millis,2022,2022-05-09,6853,interpolated
Millis,2023,2023-05-08,6906,interpolated
Millis,2024,2024-05-13,7121,interpolated
Millis,2025,2025-05-12,7223,carried
Millis,2026,2026-05-11,7223,carried
Millville,2021,2021-04-05,2315,interpolated
Millville,2022,2022-04-04,2357,interpolated
Millville,2023,2023-04-03,2324,interpolated
Millville,2024,2024-04-01,2467,snapshot
Millville,2025,2025-04-07,2492,carried
Milton,2021,2021-04-27,21702,interpolated
Milton,2022,2022-04-26,20873,interpolated
Milton,2023,2023-04-25,20854,interpolated
Milton,2024,2024-04-30,21566,interpolated
Milton,2025,2025-04-29,22112,carried
Milton,2026,2026-04-28,22112,carried
Monroe,2022,2022-05-03,82,interpolated
Monroe,2024,2024-05-06,88,interpolated
Monroe,2025,2025-05-01,90,carried
Monroe,2026,2026-05-05,90,carried
Monson,2021,2021-06-08,6193,interpolated
Monson,2022,2022-06-14,6228,interpolated
Monson,2023,2023-06-13,6355,interpolated
Monson,2024,2024-06-11,6664,interpolated
Monson,2025,2025-06-10,6670,carried
Monson,2026,2026-06-09,6670,carried
Montague,2021,2021-06-22,6211,interpolated
Montague,2022,2022-05-17,6384,interpolated
Montague,2023,2023-05-16,6647,interpolated
Montague,2024,2024-05-21,6984,interpolated
Montague,2025,2025-05-20,7215,carried
Montague,2026,2026-05-19,7215,carried
Monterey,2021,2021-05-04,697,interpolated
Monterey,2022,2022-11-08,760,snapshot
Monterey,2023,2023-05-09,752,interpolated
Monterey,2024,2024-05-13,802,interpolated
Monterey,2025,2025-05-06,829,carried
Monterey,2026,2026-05-05,829,carried
Montgomery,2021,2021-05-17,632,interpolated
Montgomery,2022,2022-05-02,644,interpolated
Montgomery,2023,2023-05-01,637,interpolated
Montgomery,2024,2024-05-06,654,interpolated
Montgomery,2025,2025-05-05,664,carried
Mount Washington,2021,2021-05-11,136,interpolated
Mount Washington,2022,2022-05-10,138,interpolated
Mount Washington,2023,2023-05-09,133,interpolated
Mount Washington,2024,2024-05-14,139,interpolated
Mount Washington,2025,2025-05-13,143,carried
Mount Washington,2026,2026-05-12,143,carried
Nahant,2021,2021-04-24,2847,interpolated
Nahant,2022,2022-04-30,2813,interpolated
Nahant,2023,2023-04-29,2784,interpolated
Nahant,2024,2024-04-27,2803,interpolated
Nahant,2025,2025-04-26,2830,carried
Nahant,2026,2026-04-25,2830,carried
Nantucket,2021,2021-06-15,9390,interpolated
Nantucket,2022,2022-05-10,9389,interpolated
Nantucket,2023,2023-05-23,9521,interpolated
Nantucket,2024,2024-05-21,9903,interpolated
Nantucket,2025,2025-05-20,10007,carried
Nantucket,2026,2026-05-19,10007,carried
Natick,2021,2021-03-30,24333,interpolated
Natick,2022,2022-03-29,24274,interpolated
Natick,2023,2023-03-28,24244,interpolated
Natick,2024,2024-03-26,24910,snapshot
Natick,2025,2025-03-25,26136,carried
Natick,2026,2026-03-31,26136,carried
Needham,2021,2021-04-13,23799,interpolated
Needham,2022,2022-04-12,23910,interpolated
Needham,2023,2023-04-11,23982,interpolated
Needham,2024,2024-04-09,24380,snapshot
Needham,2025,2025-04-08,25105,carried
Needham,2026,2026-04-14,25105,carried
New Ashford,2021,2021-05-25,197,interpolated
New Ashford,2022,2022-05-24,218,interpolated
New Ashford,2023,2023-05-23,193,interpolated
New Ashford,2024,2024-05-28,190,interpolated
New Ashford,2025,2025-05-27,195,carried
New Ashford,2026,2026-05-26,195,carried
New Bedford,2021,2021-11-02,63744,interpolated
New Bedford,2023,2023-11-07,66417,interpolated
New Bedford,2025,2025-11-06,71671,carried
New Braintree,2021,2021-05-03,791,interpolated
New Braintree,2023,2023-05-01,817,interpolated
New Braintree,2024,2024-05-06,843,interpolated
New Braintree,2025,2025-05-05,844,carried
New Marlborough,2021,2021-05-10,1181,interpolated
New Marlborough,2022,2022-05-09,1205,interpolated
New Marlborough,2023,2023-05-08,1227,interpolated
New Marlborough,2024,2024-05-13,1232,interpolated
New Marlborough,2025,2025-05-12,1267,carried
New Marlborough,2026,2026-05-11,1267,carried
New Salem,2021,2021-05-04,839,interpolated
New Salem,2022,2022-05-03,847,interpolated
New Salem,2023,2023-05-02,868,interpolated
New Salem,2024,2024-05-07,885,interpolated
New Salem,2025,2025-05-05,893,carried
New Salem,2026,2026-05-05,893,carried
Newbury,2021,2021-05-11,5616,interpolated
Newbury,2022,2022-05-10,5625,interpolated
Newbury,2023,2023-05-09,5677,interpolated
Newbury,2024,2024-05-14,5865,interpolated
Newbury,2025,2025-05-13,6054,carried
Newbury,2026,2026-05-12,6054,carried
Newburyport,2021,2021-11-02,15655,interpolated
Newburyport,2023,2023-11-07,15430,interpolated
Newburyport,2025,2025-11-04,15687,carried
Newton,2021,2021-11-02,61414,interpolated
Newton,2023,2023-11-07,59549,interpolated
Newton,2025,2025-11-04,59179,carried
Norfolk,2021,2021-05-04,7622,interpolated
Norfolk,2022,2022-05-04,7696,interpolated
Norfolk,2023,2023-05-02,7812,interpolated
Norfolk,2024,2024-05-07,8002,interpolated
Norfolk,2025,2025-05-06,8084,carried
North Adams,2021,2021-11-02,9176,interpolated
North Adams,2023,2023-11-07,9549,interpolated
North Adams,2025,2025-11-04,10036,carried
North Andover,2021,2021-03-30,21691,interpolated
North Andover,2022,2022-03-29,21861,interpolated
North Andover,2023,2023-03-28,22088,interpolated
North Andover,2024,2024-03-26,22908,snapshot
North Andover,2025,2025-03-25,22198,carried
North Andover,2026,2026-03-31,22198,carried
North Attleborough,2021,2021-04-06,21470,interpolated
North Attleborough,2022,2022-04-05,22007,interpolated
North Attleborough,2023,2023-04-04,22293,interpolated
North Attleborough,2024,2024-04-02,23386,snapshot
North Attleborough,2025,2025-04-01,24435,carried
North Attleborough,2026,2026-04-07,24435,carried
North Brookfield,2021,2021-05-03,3601,interpolated
North Brookfield,2022,2022-05-02,3729,interpolated
North Brookfield,2023,2023-05-01,3762,interpolated
North Brookfield,2024,2024-05-06,3948,interpolated
North Brookfield,2025,2025-05-05,4010,carried
North Brookfield,2026,2026-05-04,4010,carried
North Reading,2021,2021-05-04,11648,interpolated
North Reading,2022,2022-05-03,11890,interpolated
North Reading,2023,2023-05-02,12006,interpolated
North Reading,2024,2024-05-07,12512,interpolated
North Reading,2025,2025-05-06,12921,carried
North Reading,2026,2026-05-05,12921,carried
Northampton,2021,2021-11-02,21944,interpolated
Northampton,2023,2023-11-07,22477,interpolated
Northampton,2025,2025-11-04,23553,carried
Northborough,2021,2021-05-11,11778,interpolated
Northborough,2022,2022-05-10,11840,interpolated
Northborough,2023,2023-05-09,11536,interpolated
Northborough,2024,2024-05-14,11913,interpolated
Northborough,2025,2025-05-13,12107,carried
Northborough,2026,2026-05-12,12107,carried
Northbridge,2021,2021-05-18,11742,interpolated
Northbridge,2022,2022-05-17,12058,interpolated
Northbridge,2023,2023-05-16,12222,interpolated
Northbridge,2024,2024-05-21,12876,interpolated
Northbridge,2025,2025-05-20,12910,carried
Northbridge,2026,2026-05-19,12910,carried
Northfield,2021,2021-05-04,2482,interpolated
Northfield,2022,2022-05-03,2550,interpolated
Northfield,2023,2023-05-02,2406,interpolated
Northfield,2024,2024-05-07,2488,interpolated
Northfield,2025,2025-05-06,2567,carried
Northfield,2026,2026-05-05,2567,carried
Norton,2021,2021-04-10,13893,interpolated
Norton,2022,2022-04-30,13915,interpolated
Norton,2023,2023-04-29,13941,interpolated
Norton,2024,2024-04-27,14512,interpolated
Norton,2025,2025-04-26,15145,carried
Norton,2026,2026-04-11,15145,carried
Norwell,2021,2021-05-15,8324,interpolated
Norwell,2022,2022-05-21,8358,interpolated
Norwell,2023,2023-05-20,8292,interpolated
Norwell,2024,2024-05-18,8518,interpolated
Norwell,2025,2025-05-17,8736,carried
Norwell,2026,2026-05-17,8736,carried
Norwood,2021,2021-04-05,22014,interpolated
Norwood,2022,2022-04-04,21769,interpolated
Norwood,2023,2023-04-03,21910,interpolated
Norwood,2024,2024-04-01,22722,snapshot
Norwood,2025,2025-04-07,23446,carried
Norwood,2026,2026-04-06,23446,carried
Oak Bluffs,2021,2021-04-15,4098,interpolated
Oak Bluffs,2022,2022-04-14,4181,interpolated
Oak Bluffs,2023,2023-04-13,4221,interpolated
Oak Bluffs,2024,2024-04-11,4294,snapshot
Oak Bluffs,2025,2025-04-10,4316,carried
Oak Bluffs,2026,2026-04-16,4316,carried
Oakham,2021,2021-05-17,1439,interpolated
Oakham,2022,2022-05-16,1484,interpolated
Oakham,2024,2024-05-20,1557,interpolated
Oakham,2025,2025-05-19,1554,carried
Oakham,2026,2026-05-18,1554,carried
Orange,2021,2021-05-17,5391,interpolated
Orange,2022,2022-03-07,5568,interpolated
Orange,2023,2023-03-06,5746,snapshot
Orange,2024,2024-02-05,6161,snapshot
Orange,2025,2025-03-03,6462,snapshot
Orange,2026,2026-03-02,6462,carried
Orleans,2021,2021-05-25,5471,interpolated
Orleans,2022,2022-05-17,5597,interpolated
Orleans,2023,2023-05-16,5598,interpolated
Orleans,2024,2024-05-21,5760,interpolated
Orleans,2025,2025-05-20,5673,carried
Orleans,2026,2026-05-19,5673,carried
Otis,2021,2021-05-25,1213,interpolated
Otis,2022,2022-05-24,1257,interpolated
Otis,2023,2023-05-23,1281,interpolated
Otis,2024,2024-05-28,1326,interpolated
Otis,2025,2025-05-27,1323,carried
Otis,2026,2026-05-26,1323,carried
Oxford,2021,2021-05-18,9954,interpolated
Oxford,2022,2022-05-17,9901,interpolated
Oxford,2023,2023-05-16,10049,interpolated
Oxford,2024,2024-05-21,10690,interpolated
Oxford,2025,2025-05-20,11094,carried
Oxford,2026,2026-05-19,11094,carried
Palmer,2021,2021-06-08,8986,interpolated
Palmer,2022,2022-06-14,9117,interpolated
Palmer,2023,2023-06-13,9122,interpolated
Palmer,2024,2024-06-11,9712,interpolated
Palmer,2025,2025-06-10,10104,carried
Palmer,2026,2026-06-09,10104,carried
Paxton,2021,2021-05-10,3456,interpolated
Paxton,2022,2022-05-09,3519,interpolated
Paxton,2023,2023-05-08,3544,interpolated
Paxton,2024,2024-05-13,3697,interpolated
Paxton,2025,2025-05-12,3686,carried
Paxton,2026,2026-05-11,3686,carried
Peabody,2021,2021-11-02,39408,interpolated
Peabody,2023,2023-11-07,40451,interpolated
Peabody,2025,2025-11-04,41353,carried
Pelham,2021,2021-05-11,1058,interpolated
Pelham,2022,2022-05-17,1063,interpolated
Pelham,2023,2023-05-16,1040,interpolated
