municipality,year,url,kind,pool,item_uuid
Danvers,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/0132e143-1949-4a13-9e8e-23e916047cf4/content,atr_dspace,dspace,00bd495f-f013-4ef1-8f7a-d5f2a911fd46
Danvers,,https://archives.lib.state.ma.us/server/api/core/bitstreams/d4e4e573-7fc6-49a7-bbac-ee755c7c1886/content,atr_dspace,dspace,b2e289fe-a1ec-4d87-b9f2-c5365a53623e
Danvers,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/a7ed03e9-bb9c-4605-a03f-80535f8abf30/content,atr_dspace,dspace,f4fe9745-597a-4936-a156-a5dcae200879
Dracut,2020,https://archives.lib.state.ma.us/server/api/core/bitstreams/9a7c0b29-f373-4bd5-81fc-cfb7f7bf709f/content,atr_dspace,dspace,38dd0c51-049a-4d6f-a82c-035962cf68dd
Dracut,2019,https://archives.lib.state.ma.us/server/api/core/bitstreams/d93230fe-ebde-400f-817a-008bada763fe/content,atr_dspace,dspace,382ea96e-45ce-4f2c-bb3e-77cb0f092f87
Dracut,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/cb83e9b7-25c2-4ba7-966b-7420999b3ddd/content,atr_dspace,dspace,8815c76e-38e7-44ea-bcd5-cf400a4619ad
Dracut,2021,https://archives.lib.state.ma.us/server/api/core/bitstreams/244175d2-ef00-4c8f-8d19-f7a4cb75787a/content,atr_dspace,dspace,8f224ed0-b2fa-46e9-a6f8-d2cb755e079d
Dudley,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/8e503645-7cef-4d53-8321-1b60abf6f658/content,atr_dspace,dspace,b6121665-70dd-44b0-9bf6-0c18c047024b
East Bridgewater,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/97dac0b0-4b7e-418e-93a5-9064010c4c12/content,atr_dspace,dspace,2897b251-cd5f-48f9-bea1-bb0dc648a5ea
East Bridgewater,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/1d4cee24-296a-49ec-b12c-a8f594ef1655/content,atr_dspace,dspace,106d986c-26c4-48e9-b830-b5faaed4a42b
East Bridgewater,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/b2683126-c6f0-4087-8483-ac7e7097e8b2/content,atr_dspace,dspace,325777b9-e079-492b-932f-13a1a8e2b61c
East Bridgewater,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/77e23629-e03b-4b13-b9fc-f5fa1b88eb73/content,atr_dspace,dspace,5659ca79-b5b9-463b-b297-b729fe47e19d
East Bridgewater,2012,https://archives.lib.state.ma.us/server/api/core/bitstreams/cc8f49e9-d50e-4875-a8f8-c640bb5996d6/content,atr_dspace,dspace,594e4d9b-8836-48ce-a397-72884de015eb
East Bridgewater,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/d7bbfac8-a635-45f9-ac2f-fcde66dfa4a8/content,atr_dspace,dspace,c0300d48-1b61-4ac1-9adc-6529e7cec7c1
East Bridgewater,2016,https://archives.lib.state.ma.us/server/api/core/bitstreams/64429edd-53a5-48f4-afa9-b1f95a648229/content,atr_dspace,dspace,8a9cd0b7-17c2-4b89-bcaf-7407124860a1
Eastham,,https://archives.lib.state.ma.us/server/api/core/bitstreams/c7445d60-9ebc-4fe2-829c-9b6cf115a405/content,atr_dspace,dspace,56f62313-fe56-4170-b113-7febfadd3e7d
Eastham,,https://archives.lib.state.ma.us/server/api/core/bitstreams/ceb95c8a-fc4a-41a1-b6ac-27e58aa1c973/content,atr_dspace,dspace,895df451-b4b2-4027-87ba-4dcbc7532f5f
Eastham,2016,https://archives.lib.state.ma.us/server/api/core/bitstreams/db3444aa-70ba-4607-bfd5-b3a96b76a84d/content,atr_dspace,dspace,b7b908b7-bc88-4eb6-a4cd-3389d7f11a2c
Edgartown,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/2621071c-375c-492e-b77e-86f98aef68f7/content,atr_dspace,dspace,50ff3319-eaf1-4b0c-98d4-baf9556fb5c1
Egremont,2020,https://archives.lib.state.ma.us/server/api/core/bitstreams/10a1564c-3db1-4ee3-889a-ec121dc64511/content,atr_dspace,dspace,61e25387-28bd-4d3c-9ab2-71c6f4e223be
Egremont,2021,https://archives.lib.state.ma.us/server/api/core/bitstreams/f76ddaca-9bc9-4e2d-ab7b-57db635c33eb/content,atr_dspace,dspace,5ecbb022-25f5-4d15-9cbb-d98e87edf521
Florida,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/96934bd7-90cd-48c1-9a83-266f5bcb833b/content,atr_dspace,dspace,24c9c44b-8c3a-4449-b4e3-c93ada5a59ec
Florida,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/d8549df7-5732-41f3-9570-e02b9fde0c6e/content,atr_dspace,dspace,14b61b7a-91e8-4534-8311-c4a162c3b7f1
Florida,,https://archives.lib.state.ma.us/server/api/core/bitstreams/4dea001c-73ee-4186-a8c0-557a01d39eb5/content,atr_dspace,dspace,788bdba8-140e-4974-b70c-f5d79b3b9f88
Florida,2021,https://archives.lib.state.ma.us/server/api/core/bitstreams/3ac58dcc-d2e3-470a-bd4c-c625c9b64c06/content,atr_dspace,dspace,670a875e-03c5-4e0a-8ba0-26ad36af8cec
Florida,2019,https://archives.lib.state.ma.us/server/api/core/bitstreams/47963be2-2c4e-4813-84eb-4d0883e50a48/content,atr_dspace,dspace,c2556b5f-4a8e-46c0-900e-1f068e192f1b
Florida,2020,https://archives.lib.state.ma.us/server/api/core/bitstreams/0121d06e-1f17-4a75-b4ae-fb539774e517/content,atr_dspace,dspace,afa85bbd-befd-4e51-b14e-8e18e391e6ee
