municipality,predicted_2026_date,route
New Salem,2026-05-04,NEWS
Newbury,2026-05-12,OFFICIAL
Norfolk,2026-05-05,OFFICIAL
North Andover,2026-03-24,NEWS
North Attleborough,2026-04-07,OFFICIAL
North Brookfield,2026-05-04,OFFICIAL
North Reading,2026-05-05,OFFICIAL
Northborough,2026-05-12,OFFICIAL
Northbridge,2026-05-19,OFFICIAL
Northfield,2026-05-05,OFFICIAL
Norton,,OFFICIAL
Norwell,2026-05-16,OFFICIAL
Norwood,2026-04-06,NEWS
Oak Bluffs,2026-04-09,OFFICIAL
Oakham,2026-05-18,OFFICIAL
Orange,2026-03-02,OFFICIAL
Orleans,2026-05-19,OFFICIAL
Otis,2026-05-26,OFFICIAL
Oxford,2026-05-19,NEWS
Palmer,2026-06-09,OFFICIAL
Paxton,2026-03-02,OFFICIAL
Pelham,2026-05-12,NEWS
Pembroke,2026-05-09,OFFICIAL
Pepperell,2026-04-27,NEWS
Peru,2026-06-13,OFFICIAL
Petersham,2026-03-02,NEWS
Phillipston,,OFFICIAL
Plainfield,2026-05-02,OFFICIAL
Plainville,2026-04-06,OFFICIAL
Plymouth,2026-05-16,NEWS
Plympton,2026-05-16,OFFICIAL
Princeton,2026-05-11,OFFICIAL
Provincetown,2026-05-12,NEWS
Raynham,2026-04-25,OFFICIAL
Reading,2026-04-07,NEWS
Rehoboth,2026-04-07,NEWS
Richmond,,COLD_OFFICIAL
Rochester,2026-05-27,NEWS
Rockland,,OFFICIAL
Rockport,2026-05-12,OFFICIAL
Rowe,2026-05-09,OFFICIAL
Rowley,2026-05-12,NEWS
Royalston,2026-04-06,OFFICIAL
Russell,,COLD_OFFICIAL
Rutland,2026-05-11,OFFICIAL
Salisbury,2026-05-12,OFFICIAL
Sandisfield,,OFFICIAL
Sandwich,2026-05-07,NEWS
Saugus,2026-11-03,OFFICIAL
Savoy,2026-05-20,OFFICIAL
Scituate,2026-05-16,OFFICIAL
Seekonk,2026-04-06,OFFICIAL
Sharon,2026-05-19,OFFICIAL
Sheffield,,OFFICIAL
Shelburne,2026-05-19,NEWS
Sherborn,2026-05-12,OFFICIAL
Shirley,2026-05-05,NEWS
Shrewsbury,2026-05-05,OFFICIAL
Shutesbury,,OFFICIAL
Somerset,2026-04-13,NEWS
South Hadley,2026-04-14,NEWS
Southampton,2026-05-19,OFFICIAL
Southborough,2026-05-12,OFFICIAL
Southbridge,,OFFICIAL
Southwick,2026-05-12,NEWS
