municipality,year,url
Rowley,2014,https://www.townofrowley.net/sites/g/files/vyhlif4956/f/uploads/150428_annual_report_2014.pdf
Rutland,2016,https://townofrutland.org/DocumentCenter/View/854/FY2016-Annual-Town-Report
Rutland,2019,https://townofrutland.org/DocumentCenter/View/857/FY2019-Annual-Town-Report
Sharon,2014,https://web.archive.org/web/20150501224322id_/http://www.townofsharon.net:80/sites/sharonma/files/file/file/2014_sharon_annual_town_reportbw.pdf
Sharon,2016,https://web.archive.org/web/20220308075449id_/https://www.townofsharon.net/sites/g/files/vyhlif3801/f/uploads/2016_sharon_annual_town_report_final.pdf
Sharon,2018,https://web.archive.org/web/20220308075021id_/https://www.townofsharon.net/sites/g/files/vyhlif3801/f/uploads/2018_town_report_final.pdf
Sharon,2020,https://www.sharonma.gov/DocumentCenter/View/753/2020-Annual-Town-Report-PDF
Southborough,2014,https://web.archive.org/web/20150908144246id_/http://www.southboroughtown.com/townclerk/AnnualReport2014/Southboro%202014%20Annual%20Report.pdf
Spencer,2020,https://spencerma.gov/DocumentCenter/View/380/2020-Annual-Town-Report
Templeton,2013,https://www.templetonma.gov/DocumentCenter/View/2417/Annual-Report-for-Fiscal-Year-2013-PDF
Uxbridge,2006,https://web.archive.org/web/20071017060447id_/http://www.uxbridge-ma.gov/Documents/TownReport2006.pdf
Walpole,2010,https://walpole-ma.gov/DocumentCenter/View/2590/Town-Report-2010
Walpole,2012,https://walpole-ma.gov/DocumentCenter/View/2576/Town-Report-2012
Walpole,2014,https://web.archive.org/web/20150724224135id_/http://www.walpole-ma.gov/sites/walpolema/files/file/file/2014_final_town_report.pdf
Walpole,2016,https://walpole-ma.gov/DocumentCenter/View/2586/Town-Report-2016
Walpole,2017,https://web.archive.org/web/20190111175430id_/https://www.walpole-ma.gov/sites/walpolema/files/file/file/2017_annual_town_report.pdf
Wellfleet,2016,https://wellfleet-ma.gov/DocumentCenter/View/5317/Annual-Town-Report-2016
West Brookfield,2015,https://storage.googleapis.com/juniper-media-library/43/2023/10/2015%20Annual%20Town%20Report.pdf
Westport,2008,https://web.archive.org/web/20211123071423id_/https://www.westport-ma.com/sites/g/files/vyhlif7356/f/uploads/westport_annualreport_2008.pdf
Westport,2014,https://web.archive.org/web/20240421162329id_/https://www.westport-ma.com/sites/g/files/vyhlif12811/f/pages/town_report_2014.pdf
Westport,2015,https://web.archive.org/web/20210425150334id_/https://www.westport-ma.com/sites/g/files/vyhlif1441/f/pages/2015_town_report.pdf
