municipality,year,url,kind,pool,item_uuid
Georgetown,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/f3de6fcd-5878-4c87-a90f-e720e6c5846e/content,atr_recover,dspace_recover,526bdcff-c483-4ad1-b68e-7ca357f217c3
Holbrook,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/985c7d4f-d652-4059-8335-2411de2a478f/content,atr_recover,dspace_recover,52d2a6a8-c694-457f-9f6a-25483dd53118
Mount Washington,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/ceb0a199-f504-4a10-80ae-9431ef246708/content,atr_recover,dspace_recover,53b46227-e776-46ff-af75-18d0c92afb24
Lunenburg,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/1d32f856-b803-4b2d-a5c6-2c3a65886f52/content,atr_recover,dspace_recover,56f430f7-9059-44c4-9697-b5fa32056a05
Newbury,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/1004e3ee-99e3-40a5-9fe5-5b09cad243b8/content,atr_recover,dspace_recover,5a4cc186-a4c2-4674-b32e-4c5f11efb870
Mount Washington,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/a37e383c-3f70-43f8-81ed-dd5200bdda3d/content,atr_recover,dspace_recover,5aa93905-0fc9-4edf-b5eb-91d5aed4b77d
Mount Washington,2001,https://archives.lib.state.ma.us/server/api/core/bitstreams/8184875a-cc4e-4260-9377-dc8cbd6d8143/content,atr_recover,dspace_recover,5dc13ff1-405d-4b5a-a65e-b3f454c540bd
Great Barrington,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/5d99298c-899f-4700-bcb4-dfcbc27fc0d3/content,atr_recover,dspace_recover,5ed17172-bf4d-47e3-8216-eeced2cac071
Millville,2020,https://archives.lib.state.ma.us/server/api/core/bitstreams/bc2ccbef-a9f9-4ddc-99e6-b1c006dd03ed/content,atr_recover,dspace_recover,6446c83b-d2cf-4786-96ea-617098d864a4
Hampden,2016,https://archives.lib.state.ma.us/server/api/core/bitstreams/42b76caf-a044-458a-adda-1e14fd57dfd8/content,atr_recover,dspace_recover,656ea21e-3830-42f2-a02d-fb79acd36ceb
Uxbridge,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/9df62c13-91e8-4137-8f7f-0d9f76ea459d/content,atr_recover,dspace_recover,6bad71f4-bfb7-4d02-87b6-984813ff57fd
Clarksburg,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/3d2b09e2-e7dd-4f91-8826-759bbbda3280/content,atr_recover,dspace_recover,6c311e00-bfee-4c5a-b0d1-3a345c7d536d
