municipality,year,election_type,expected,provenance,native_url,hosted_url,source,confidence,verification,priority,pdf_filename,has_pdf,has_json,status,markdown_url,conversion_method,known_bad_url,coverage_state,source_kind
Acushnet,2025,regular,yes,civicplus-site-search-2026-08-19,https://www.acushnet.ma.us/documentcenter/view/898,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Acushnet2025_d0.pdf,town_website,high,"deadurl:no capture in wayback or commoncrawl | Jesse C. Ellis took the second School Committee seat as a write-in. The count is NOT published: the clerk's held sheet is the preliminary tally printed before write-ins were counted ('will be finalized within four days'), and the certified return is unrecoverable -- identified at https://www.acushnet.ma.us/sites/g/files/vyhlif2721/f/news/4-22-2025_annual_town_election_final_results.pdf (index title '***FINAL CERTIFIED VOTES***', from the file's interior text), 404 since the November 2025 Drupal->CivicEngage migration, absent from Wayback (9,546 domain captures, control passed), CommonCrawl (CCBot 403 - uninformative), the torn-down vendor origin host, and Google/Bing/DDG. WINNER EVIDENCE: an announced pre-election write-in campaign for this specific seat (Positively Acushnet posts, incl. 'When writing in your vote please include my name, Jesse Ellis'), plus four independent corroborations of tenure - the town's Elected Officials page ('Jesse C. Ellis, Term Expires 2028', a PLAIN term, unlike the 'Unexpired Term' label on the appointed Trust Funds seats), acushnetschools.us, BoardDocs and Ballotpedia. Recorded votes=-1, the uncontested-winner schema: he defeated nobody, the seat drew no printed candidate. The other four unresolved seats (Trust Funds x2, Library Trustee, Park Commissioner) are NOT landed - their occupants are known only from a roster, which is corroboration of who took office and not a return. | WRITE-IN WINNERS LANDED 2026-08-22 (owner instruction) at the -3 sentinel (qa/STANDARD.md: write-in winner, individual count not separable; excluded from closure math, may coexist with numeric rows). Ellis corrected from -1 to -3 -- at -1 he tripped check C3, which flags an office mixing -1 with numeric votes. NO VOTE COUNT IS RECORDED for any of the five; the certified return that carries them is identified but unrecoverable (404 since the Nov 2025 Drupal->CivicEngage migration; absent from Wayback, CommonCrawl, the torn-down vendor origin and every search index tested). EVIDENCE PER SEAT: Ellis - announced pre-election write-in campaign for this seat plus four independent tenure corroborations; Francis and Wilmarth-Guerette - roster diff of the Library Trustees' own minutes (Reale present 2025-04-11, both women present 2025-05-15 and Reale never again), plain terms to 2028; Hopkins - incumbent, plain term to 2028; Lipsett and Ferreira - ROSTER ONLY AND THE WEAKEST PAIR: Lipsett's tenure is labelled 'Unexpired Term Ending 2028' though the 2025 ballot seat was a full three-year term, which is the signature of a mid-term appointment under M.G.L. c.41 s.11 rather than an election, and Acushnet demonstrably uses that mechanism (2023 and 2024 joint meetings survive in Wayback). Board of Selectmen minutes are unpublished for 2025-26, so no 2025 joint meeting can be ruled in or out. The FY2025 Annual Town Report will settle it -- Acushnet's reports print the full certified return per precinct with every write-in named and counted -- and is not yet published. NOTE ON B4: none of the five is printed on the cited source, which is the PRELIMINARY call-in sheet reading 'TBD' for all five seats; they are grounded in other documents and carry no vote count. | TRUST FUNDS REVERTED 2026-08-22, same day as landing: Tommy Lipsett and Diane Ferreira were APPOINTED, not elected, and are removed from the 2025 election record. Both Commissioner of Trust Funds races revert to candidates=[] -- no candidate on the ballot, seat not filled by election, the same documented outcome as Southampton 2025 'Failure to elect' and Conway 2025 'Remains vacant'. PROOF, counted on the town's own Elected Officials page (https://www.acushnet.ma.us/1200/Elected-Officials, retrieved 2026-08-22): 'Term Expires' appears 39 times, 'Unexpired Term Ending' appears exactly TWICE -- Ferreira 2027 and Lipsett 2028, nobody else -- and 'VACANCY' once, on the same board's third seat. Lipsett's 2025 ballot seat was a FULL three-year term to 2028; an elected full term reads 'Term Expires 2028', which is precisely what the four write-in winners who REMAIN landed all carry (Ellis, Francis, Wilmarth-Guerette, Hopkins, all 'Term Expires 2028' on that same page). The label contradicts the ballot, and the control sits inside the same document. Commissioner of Trust Funds chronically draws no candidate in this town: the 2023 return shows the seat won on 4 and 5 write-in votes, and the roster's 'VACANCY, Term Ending 2029' shows the 2026 seat drew nobody at all. Lipsett and Ferreira hold the seats -- that is a fact about tenure, sourced from a roster, and not a fact about the 2025 election.",90,Acushnet2025_d0.pdf,yes,yes,pdf_hosted,,manual-transcription,https://www.acushnet.ma.us/sites/g/files/vyhlif2721/f/uploads/4-22-2025_town_election_results_to_fax.pdf,published,official
Acushnet,2026,regular,yes,cohort-2026,https://www.acushnet.ma.us/DocumentCenter/View/4693,,,,,,,no,yes,hosted,,,,published,official
Adams,2021,regular,yes,ATR,https://www.town.adams.ma.us/sites/g/files/vyhlif141/f/uploads/2021_full_adams_town_report.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Adams2021_d0.pdf,atr_crop,high,atr_cropped,90,Adams2021_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Adams2021.md,pypdf,,published,official
Adams,2022,regular,yes,ATR,https://www.town.adams.ma.us/sites/g/files/vyhlif141/f/uploads/2022_adams_town_report.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Adams2022_d0.pdf,atr_crop,medium,atr_cropped,90,Adams2022_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Adams2022.md,pypdf,,published,official
Adams,2023,regular,yes,NEWS,https://www.iberkshires.com/story/71649/Adams-Election-Results-2023.html,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Adams2023_d0.pdf,manual_sources,manual,direct_fetch,95,Adams2023_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Adams2023.md,playwright+docling-2.66.0,,published,news
Adams,2024,regular,yes,NEWS,https://archives.lib.state.ma.us/items/6e64df60-f1ce-4412-8a2d-278848db62da,,manual,low,annual_missing__special_set_aside_as_SAdams20240924,70,,no,no,pdf_hosted,,,https://www.berkshireeagle.com/news/northern_berkshires/ann-bartlett-john-duval-winn-adams-select-board-seats-town-election/article_ee979984-0bf5-11ef-bce3-232180e6dc32.html,published,official
Adams,2025,regular,yes,LEO,https://www.town.adams.ma.us/town-clerk/files/05052025-unofficial-election-results,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Adams2025_d0.pdf,scraper_sheet9,high,,70,Adams2025_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Adams2025.md,docling-2.66.0,,published,official
Adams,2026,regular,yes,detally-upgrade,https://www.town.adams.ma.us/town-clerk/files/may-4-2026-unofficial-election-results,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Adams2026_d0.pdf,,,,,,yes,yes,pdf_hosted,,,,published,official
Agawam,2021,regular,yes,LEO,https://www.agawam.ma.us/DocumentCenter/View/1711/2021-Municipal-Election-Results,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Agawam2021_d0.pdf,manual_sources,manual,,95,Agawam2021_d0.pdf,yes,yes,pdf_hosted,,,,published,official
Agawam,2022,regular,no,CITY_ODD_YEAR_CYCLE,,,,,,,Agawam2022_d0.pdf,,no,no_election,,,,no_election,other
