municipality,corpus_nodes,inventory_hosts
Chelsea,24000,
Easton,737,
Fall River,24000,heraldnews.com
Goshen,0,
Gosnold,0,
Harwich,0,
Holyoke,24000,
Medford,24074,
Monroe,0,
New Bedford,17408,southcoasttoday.com
Newbury,6076,
Newburyport,5519,
North Andover,0,
Norwood,0,
Pelham,0,
Petersham,0,
Pittsfield,0,
Savoy,65,savoy-ma.gov
Swansea,24000,
Watertown,24004,
West Brookfield,0,
West Newbury,8526,
West Springfield,0,wwlp.com
Weymouth,0,
