# Records holding ballots_cast: null whose document prints a count.
#
# Found 2026-09-07 by scanning every null-ballots record for a printed
# ballot/turnout figure and keeping only those where no non-regional contest
# exceeds the figure times its seats. NOT filed as adjudications: the filter
# is not sufficient. East Brookfield 2022 reads '- 99 ballots cast - 1,647
# registered voters' and the arithmetic picks 1,647; Lexington 2023's 'TOTAL
# VOTERS 2387 2565 2203 ...' is a per-precinct row. Each has to be read.
#
# stem<TAB>figure<TAB>readings searched<TAB>window
Lexington2023	2387	markdown+pdftext	ified March 7, 2023 PCT 1 PCT 2 PCT 3 PCT 4 PCT 5 PCT 6 PCT 7 PCT 8 PCT 9 TOTAL TOTAL VOTERS 2387 2565 2203 2577 2570 2663 2571 2550 2650 22736 Total Votes 1
Mansfield2022	2843	markdown+pdftext	9.87% 565 89 89 107 80 50 48 102 TOTAL 100.00% 2843 422 447 588 359 275 271 481 Total Votes Cast 2843 Number of Eligible Voters 18,365 Percentage of Votes Cast 1
Millbury2026	501	raw_ocr+pdftext	er Precinct Precinct | 102 Precinct 2 134 Precinct 3 110 Precinct 4 155 Total # Votes Cast 501 Voter Turnout % 5% *As of April 17, 2026: Deadline to Regis
Monterey2026	313	pdftext	rite-ins​ ​2​ T​ otal Registered Voters at time of Election: 873​ ​Blank​ ​70​ ​Total Votes: 313​ ​35.85% of voters participated in the Election​
NorthAttleborough2024	2383	raw_ocr+markdown	April 2, 2024 ANNUAL TOWN ELECTION RESULTS 1 2 3 4 5 6 if 8 9 TOTAL Total Voters 2383| 26881 2660| 2678|" 2553| 2629| 2839| 2534] 2522) 23486 # w
Northborough2021	2106	markdown+pdftext	3 = 604 Andrew T. Dowd, Total Votes Cast in Precinct 4 =551 Town Clerk Total # Votes Cast 2,106 Voter Turnout %: ###### *As of April 9, 2021: Deadline to r
Northborough2023	1217	raw_ocr+pdftext	tal Votes Cast in Precinct 3 = 285 Total Votes Cast in Precinct 4 = 363 Total # Votes Cast 1,217 Andrew T. Dowd, Town Clerk Voter Turnout %: 10.56%
Paxton2021	160	markdown+pdftext	rite-ins 0 # of Voters to Vote by Mail: 10 Blanks 19 # of In Person Voters: 150 Total Ballots Cast: 160 Total # of Registered Voters: 3460 % Turnout 4.6% Town of P
Peru2025	693	raw_ocr	6-14-2025 Annual Town Election Results 80 Ballots Cast 693 Registered Voters SELECT BOARD VOTE FOR ONE PLANNING BOARD
Petersham2023	1013	raw_ocr+pdftext	didate for Re-Election TRUSTEES OF PUBLIC LIBRARY — 3 YEARS Kent Byron - 114 123Voter Turnout 1013 Registered Voters 11% Turnout 51 SEPTEMBER 6, 2022 STATE PR
Petersham2024	1069	raw_ocr+pdftext	PUBLIC LIBRARY — 3 YEARS Fifi Scoufopoulos - 164 Candidate for Re-Election 176 Voter Turnout 1069 Registered Voters 16% Turnout 72 fa" *D TOWN OF PETERSHAM o
Petersham2025	1085	raw_ocr+pdftext	pproved at the Special Town Meeting of December 6, 2021)? YES — 104 NO - 13 118 Voter Turnout 1085 Registered Voters 11% Turnout 67 June 2, 2025 Annual Town M
Petersham2026	116	news_text	s at the end of a three-town roundup covering Athol, Royalston and Petersham. **Ballots cast: 116 of 1,092 registered = about 11%.** Polls were open 10 a.m.
Richmond2023	51	news_text	aturday's annual town election" and lists those "elected without opposition". **Ballots cast: 51 of 1,296 registered = 4% turnout.** The Town of Richmond An
Royalston2026	121	news_text	the "Royalston and Petersham town elections" section of a three-town roundup. **Ballots cast: 121 of 1,116 registered = nearly 11%.** ## The only contest on
Saugus2025	7776	markdown+pdftext	TOTAL Total Reg Voters 2281 2136 2185 2402 2423 2223 2320 2275 2414 2070 22729 Total Votes 7776 6064 7056 4560 8144 6720 7020 7552 5600 6959 67451 Percent
Seekonk2021	1236	raw_ocr+markdown	Eligible Voters = 11,334 Total Votes Cast = 1236 % = 10.91% PRECINCT ST] TOTAL Total Votes Cast 1236 OFFICE / CANDIDATES OARD OF\/ SORS. PAUL BUCKLEY Write-In's
