doc_id,town,town_norm,community_type,governing_body,board,doctype,year,verdict,url,status
99d9058ca0,Sherborn,sherborn,MBTA adjacent,Select Board,,,2024,CONFIRMED,https://sherbornma.org/DocumentCenter/View/2566/Multi-Family-Overlay-District-Presentation-of-February-20-2024,OK
50233509d3,Sherborn,sherborn,MBTA adjacent,Select Board,,,2024,CONFIRMED,https://sherbornma.org/DocumentCenter/View/2614/Sherborn-MBTA-Communities-3A---June-25-2024-Workshop,OK
5627743f3c,Sherborn,sherborn,MBTA adjacent,Select Board,,,2024,CONFIRMED,https://sherbornma.org/DocumentCenter/View/2654/The-MBTA-Communities-Law-Survey-Overview-updated-July-16-2024,OK
4e7f59dc54,Shirley,shirley,commuter rail,Select Board,planning_board,bylaw,2024,CONFIRMED,https://shirley-ma.gov/DocumentCenter/View/1086/Shirley-PB-Approved-Final-MBTA-Communities-Bylaw-92524,OK
086524e456,Shrewsbury,shrewsbury,commuter rail,Select Board,zoning,,,CONFIRMED,https://shrewsburyma.gov/DocumentCenter/View/15207/Compliance-Guidelines-for-Multi-family-Zoning-Districts-Under-Section-3A-of-the-Zoning-Act,OK
55a1cd585c,Shrewsbury,shrewsbury,commuter rail,Select Board,zoning,,,CONFIRMED,https://shrewsburyma.gov/DocumentCenter/View/17856/Press-Release-EOHLC-Issues-Determination-on--Shrewsburys-Compliance-with-MBTA-Communities-Zoning,OK
d812d30e2a,Southborough,southborough,commuter rail,Select Board,,,,CONFIRMED,https://www.southboroughma.gov/DocumentCenter/View/2174/MASSGOV-MBTA-Communities-Compliance-Guidelines,OK
2f18462197,Southborough,southborough,commuter rail,Select Board,,,,CONFIRMED,https://www.southboroughma.gov/DocumentCenter/View/2513,OK
f28d017cde,Southborough,southborough,commuter rail,Select Board,,,,CONFIRMED,https://www.southboroughma.gov/DocumentCenter/View/3431/01--20220216-MMLA-Presentation-MBTA-Communities-Multi-Family-Housing,OK
a378a03211,Sterling,sterling,MBTA adjacent,Select Board,town_meeting,minutes,2025,CONFIRMED,https://sterling-ma.gov/DocumentCenter/View/8257/2025-November-3-Speical-Town-Meeting-Minutes,OK
dd35764e77,Stow,stow,MBTA adjacent,Select Board,,,,CONFIRMED,https://www.stow-ma.gov/DocumentCenter/View/1299/Does-Stow-need-to-comply-with-the-MBTA-Communities-Law-PDF,OK
71818af34c,Stow,stow,MBTA adjacent,Select Board,,,,CONFIRMED,https://www.stow-ma.gov/DocumentCenter/View/7678/MBTA-Communities-FAQs-Oct-25,OK
0e76532f82,Stow,stow,MBTA adjacent,Select Board,,,,CONFIRMED,https://www.stow-ma.gov/DocumentCenter/View/7693/CHAPA-3AEnforcementPotential-092225,OK
54c0389dc6,Stow,stow,MBTA adjacent,Select Board,,,,CONFIRMED,https://www.stow-ma.gov/398/MBTA-Communities,OK
1c7b0ccc5a,Sutton,sutton,MBTA adjacent,Select Board,,,,CONFIRMED,https://suttonma.org/1326/Chapter-40A-Section-3A-Multifamily-Housi,OK
6a79bfaadc,Sutton,sutton,MBTA adjacent,Select Board,,,,CONFIRMED,https://www.suttonma.gov/1326/Chapter-40A-Section-3A-Multifamily-Housi,OK
566ec1eb00,Tewksbury,tewksbury,MBTA adjacent,Select Board,,,,CONFIRMED,https://tewksbury-ma.gov/DocumentCenter/View/4060/MBTA-Communities-First-Public-Feedback-Presentation-81523-PDF,OK
a8c90c0ce0,Tewksbury,tewksbury,MBTA adjacent,Select Board,,,,CONFIRMED,https://tewksbury-ma.gov/DocumentCenter/View/4135/MBTA-Communities-Workshop-Presentation-91323-PDF,OK
