municipality,year,provenance,capture_status,host,native_url,hosted_url
Clinton,2024,LEO,MISS_host_crawled,clintonma.gov,https://www.clintonma.gov/DocumentCenter/View/3400/Town-Election-Results-June-2024,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Clinton2024.pdf
Clinton,2025,LEO,MISS_host_crawled,clintonma.gov,https://www.clintonma.gov/DocumentCenter/View/3636,https://jamesnicholsworley.github.io/civicatlasma/xlsx/Clinton2025.xlsx
Belchertown,2021,LEO,MISS_host_crawled,belchertown.org,https://www.belchertown.org/ArchiveCenter/ViewFile/Item/197,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Belchertown2021.pdf
Belchertown,2022,LEO,MISS_host_crawled,belchertown.org,https://www.belchertown.org/ArchiveCenter/ViewFile/Item/198,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Belchertown2022.pdf
Belchertown,2023,LEO,MISS_host_crawled,belchertown.org,https://www.belchertown.org/Archive.aspx?ADID=189,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Belchertown2023.pdf
Belchertown,2024,LEO,MISS_host_crawled,belchertown.org,https://www.belchertown.org/ArchiveCenter/ViewFile/Item/441,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Belchertown2024.pdf
Belchertown,2025,LEO,MISS_host_crawled,belchertown.org,https://www.belchertown.org/ArchiveCenter/ViewFile/Item/505,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Belchertown2025.pdf
Raynham,2021,LEO,MISS_host_crawled,town.raynham.ma.us,https://www.town.raynham.ma.us/town-clerk/news/unofficial-results-town-election-april-24-2021,
Raynham,2022,LEO,MISS_host_absent,raynham-ma.gov,https://www.raynham-ma.gov/DocumentCenter/View/5071/2022-Annual-Election-Results-Final-PDF,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Raynham2022.pdf
Raynham,2023,LEO,MISS_host_crawled,town.raynham.ma.us,https://www.town.raynham.ma.us/sites/g/files/vyhlif1111/f/news/copy_of_unofficial_results_4-22-2023_1_0.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Raynham2023.pdf
Raynham,2024,LEO,MISS_host_crawled,town.raynham.ma.us,https://www.town.raynham.ma.us/sites/g/files/vyhlif1111/f/news/unofficial_annual_town_election_results-april_27_2024.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Raynham2024.pdf
Raynham,2025,LEO,MISS_host_crawled,town.raynham.ma.us,https://www.town.raynham.ma.us/sites/g/files/vyhlif1111/f/news/annual_town_election-4-26-25-official_results_1.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Raynham2025.pdf
Whitman,2021,LEO,captured_exact,whitman-ma.gov,https://www.whitman-ma.gov/ArchiveCenter/ViewFile/Item/280,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Whitman2021.pdf
Whitman,2022,LEO,MISS_host_crawled,whitman-ma.gov,https://www.whitman-ma.gov/ArchiveCenter/ViewFile/Item/1300,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Whitman2022.pdf
Whitman,2023,LEO,MISS_host_crawled,whitman-ma.gov,https://www.whitman-ma.gov/ArchiveCenter/ViewFile/Item/1299,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Whitman2023.pdf
Whitman,2024,LEO,MISS_host_crawled,whitman-ma.gov,https://www.whitman-ma.gov/ArchiveCenter/ViewFile/Item/1330,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Whitman2024.pdf
Whitman,2025,LEO,captured_exact,whitman-ma.gov,https://www.whitman-ma.gov/ArchiveCenter/ViewFile/Item/1335,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Whitman2025.pdf
Swampscott,2022,LEO,captured_exact,swampscottma.gov,https://www.swampscottma.gov/sites/g/files/vyhlif1296/f/news/4.26.22_town_election_results.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Swampscott2022.pdf
Swampscott,2023,LEO,captured_exact,swampscottma.gov,https://www.swampscottma.gov/sites/g/files/vyhlif1296/f/news/4.25.23_election_results.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Swampscott2023.pdf
Swampscott,2024,LEO,captured_exact,swampscottma.gov,https://www.swampscottma.gov/1420/Past-Election-Results,
Swampscott,2025,LEO,captured_exact,swampscottma.gov,https://www.swampscottma.gov/1420/Past-Election-Results,
Mashpee,2021,LEO,MISS_host_crawled,mashpeema.gov,https://www.mashpeema.gov/DocumentCenter/View/2496/02-03-2021,
Mashpee,2023,LEO,MISS_host_crawled,records.mashpeema.gov,https://records.mashpeema.gov/WebLink/0/doc/359370/Page23.aspx,
Mashpee,2025,LEO,MISS_host_crawled,mashpeema.gov,https://www.mashpeema.gov/DocumentCenter/View/4091/12-03-2025,
