municipality,year,type,url,title
Swampscott,2021,election,https://www.swampscottma.gov/sites/g/files/vyhlif1296/f/news/october_19_2021_unofficial_election_results_0.pdf,
Wakefield,2024,municipal,https://www.wakefield.ma.us/sites/g/files/vyhlif3986/f/uploads/town-election-results-2024-04-23.pdf,
Walpole,2022,state/fed,https://www.walpole-ma.gov/sites/g/files/vyhlif12086/f/uploads/2022_state_primary_official_results.pdf,
Walpole,2021,election,https://www.walpole-ma.gov/sites/g/files/vyhlif12086/f/uploads/special_election_official_results_11.2.2021_0.pdf,
Wareham,2022,election,https://www.wareham.ma.us/sites/g/files/vyhlif5146/f/news/election_results_for_may_3_2022_for_report.pdf,
Wellfleet,2023,election,https://www.wellfleet-ma.gov/sites/g/files/vyhlif16026/f/news/january_102023_results_1.pdf,
West Tisbury,2023,municipal,https://www.westtisbury-ma.gov/DocumentCenter/View/159/2023-Town-Election-Results-PDF,
Westport,2022,election,https://www.westport-ma.com/sites/g/files/vyhlif7356/f/news/official_election_results_nov_8_2022.pdf,
Westwood,2024,municipal,"http://www.townhall.westwood.ma.us/townofwestwood/file/APRIL%2024,%202012%20ANNUAL%20TOWN%20ELECTION%20RESULTS.pdf",
Yarmouth,2022,election,http://www.yarmouth.ma.us/DocumentCenter/View/16011/Unofficial-Results---Yarmouth-ATM-May-17-2022001,
