municipality,year,election_type,url,title
Plainville,2023,state_federal,https://www.plainville.ma.us/DocumentCenter/View/892,Annual Town Election April 3 2023 Unofficial Results?bidId=
Plainville,2025,state_federal,https://www.plainville.ma.us/DocumentCenter/View/2152,Official Results April 7 2025 Annual Town Election ?bidId=
Rockport,2022,state_federal,https://www.rockportma.gov/sites/g/files/vyhlif1141/f/pages/tally_ttl_official_state_election_11-8-2022.pdf,
Saugus,2022,state_federal,https://www.saugus-ma.gov/sites/g/files/vyhlif1181/f/uploads/official_results_november_8_2022_state_election.pdf,
Stoughton,2021,municipal,https://www.stoughton.org/DocumentCenter/View/507/April-6-2021---Local-Election---Draft-Results-PDF,
Sudbury,2022,state_federal,https://cdn.sudbury.ma.us/wp-content/uploads/sites/273/2022/03/Final-ERB-Sampling-Results.3.14.22.pdf,
Swampscott,2021,municipal,https://swampscottma.gov/DocumentCenter/View/2295/2021-4-27-Town-Election-results,2021 4-27 Town Election results
Uxbridge,2021,state_federal,https://ma-uxbridge.civicplus.com/DocumentCenter/View/6236,2021 09 03_albee_road_bid_opening_results?bidId=
Wakefield,2024,state_federal,https://www.wakefield.ma.us/sites/g/files/vyhlif3986/f/uploads/town-election-results-2024-04-23.pdf,
Walpole,2021,municipal,https://www.walpole-ma.gov/sites/g/files/vyhlif1381/f/uploads/2021_annual_town_election_unofficial_results-.pdf,
Walpole,2022,state_federal,https://www.walpole-ma.gov/sites/g/files/vyhlif12086/f/uploads/2022_state_primary_official_results.pdf,
Wareham,2022,state_federal,https://www.wareham.ma.us/sites/g/files/vyhlif5146/f/news/election_results_for_may_3_2022_for_report.pdf,
Wellfleet,2023,election_unspecified,https://www.wellfleet-ma.gov/sites/g/files/vyhlif16026/f/news/january_102023_results_1.pdf,
West Brookfield,2022,state_federal,"https://storage.googleapis.com/juniper-media-library/43/2023/11/State%20Election%20Results%20-%20Nov%208%20,%202022.pdf","State Election Results - Nov 8 , 2022"
Westport,2022,municipal,https://www.westport-ma.com/sites/g/files/vyhlif7356/f/uploads/04122022_official_town_election_results.pdf,
West Tisbury,2023,municipal,https://www.westtisbury-ma.gov/DocumentCenter/View/159/2023-Town-Election-Results-PDF,
Westwood,2024,state_federal,"http://www.townhall.westwood.ma.us/townofwestwood/file/APRIL%2024,%202012%20ANNUAL%20TOWN%20ELECTION%20RESULTS.pdf",
Yarmouth,2022,state_federal,http://www.yarmouth.ma.us/DocumentCenter/View/16011/Unofficial-Results---Yarmouth-ATM-May-17-2022001,
