municipality,year,confidence,container_kind,document_url,evidence
West Brookfield,2021,high,annual_report,https://storage.googleapis.com/juniper-media-library/43/2023/10/2021%20Annual%20Town%20Report.pdf,"heads=2,blanks=11,offices=11,tallies=881,yr=True,pp=101"
West Stockbridge,2021,medium,election_page,https://www.weststockbridge-ma.gov/1328/Town-Clerk,"heads=3,blanks=0,offices=2,tallies=26,pp=0"
West Stockbridge,2024,medium,election_page,https://www.weststockbridge-ma.gov/1328/Town-Clerk,"heads=3,blanks=0,offices=2,tallies=26,pp=0"
Weymouth,2023,high,annual_report,https://weymouth.ma.us/DocumentCenter/View/1871/FY2023-Annual-Town-Report,"heads=4,blanks=2,offices=8,tallies=2161,yr=True,pp=329"
Weymouth,2025,high,annual_report,https://weymouth.ma.us/DocumentCenter/View/13170/FY2025-Annual-Town-Report,"heads=2,blanks=0,offices=8,tallies=1809,yr=True,pp=232"
Whately,2025,high,election_page,https://whately.org/departments/town_clerk/index.php,"heads=3,blanks=0,offices=6,tallies=18,pp=0"
Wilbraham,2021,high,annual_report,https://wilbraham-ma.gov/DocumentCenter/View/4911/Wilbraham-2021-Annual-Town-Report,"heads=5,blanks=0,offices=9,tallies=981,yr=True,pp=69"
Williamsburg,2021,high,annual_report,https://www.burgy.org/sites/g/files/vyhlif1451/f/uploads/2021_annual_town_report_0.pdf,"heads=5,blanks=13,offices=10,tallies=2148,yr=True,pp=133"
Windsor,2021,medium,election_page,https://www.windsormass.com/requests-1/elections,"heads=7,blanks=0,offices=6,tallies=5,pp=0"
Windsor,2022,medium,election_page,https://www.windsormass.com/requests-1/elections,"heads=7,blanks=0,offices=6,tallies=5,pp=0"
Windsor,2023,medium,election_page,https://www.windsormass.com/requests-1/elections,"heads=7,blanks=0,offices=6,tallies=5,pp=0"
Windsor,2024,medium,election_page,https://www.windsormass.com/requests-1/elections,"heads=7,blanks=0,offices=6,tallies=5,pp=0"
Windsor,2025,medium,election_page,https://www.windsormass.com/requests-1/elections,"heads=7,blanks=0,offices=6,tallies=5,pp=0"
Winthrop,2023,medium,election_page,https://winthroptranscript.com/2025/10/30/polls-open-tuesday-for-town-election/,"heads=3,blanks=0,offices=2,tallies=211,pp=0"
Winthrop,2025,medium,election_page,https://winthroptranscript.com/2025/10/30/polls-open-tuesday-for-town-election/,"heads=3,blanks=0,offices=2,tallies=211,pp=0"
