municipality,year,confidence,container_kind,document_url,evidence
Mount Washington,2025,high,election_page,https://mountwashington-ma.gov/departments/town-clerk/,"heads=1,blanks=0,offices=10,tallies=13,pp=0"
Needham,2024,high,annual_report,https://needhamma.gov/DocumentCenter/View/62105,"heads=7,blanks=0,offices=10,tallies=1592,pp=212"
New Ashford,2022,medium,election_page,https://www.newashford-ma.us/town-elections-may-24th-200pm-400pm-and-600pm-800pm/,"heads=3,blanks=0,offices=4,tallies=0,pp=0"
New Ashford,2025,medium,election_page,https://www.newashford-ma.us/town-elections-may-24th-200pm-400pm-and-600pm-800pm/,"heads=3,blanks=0,offices=4,tallies=0,pp=0"
New Marlborough,2021,high,election_page,https://newmarlboroughma.gov/1208/Town-Clerk,"heads=2,blanks=0,offices=3,tallies=19,yr=False,pp=0"
New Marlborough,2022,high,election_page,https://newmarlboroughma.gov/1208/Town-Clerk,"heads=2,blanks=0,offices=3,tallies=19,yr=False,pp=0"
New Marlborough,2024,high,election_page,https://newmarlboroughma.gov/1208/Town-Clerk,"heads=2,blanks=0,offices=3,tallies=19,pp=0"
New Marlborough,2025,high,election_page,https://newmarlboroughma.gov/1208/Town-Clerk,"heads=2,blanks=0,offices=3,tallies=19,yr=False,pp=0"
Norfolk,2023,high,election_page,https://norfolk.ma.us/departments/town_clerk/census_information.php,"heads=1,blanks=2,offices=7,tallies=5,yr=False,pp=0"
North Andover,2022,high,annual_report,https://drive.google.com/uc?export=download&id=1SV_gRmyLbuGl6xexi3QaBm8AlZDezNNR,"heads=12,blanks=48,offices=9,tallies=1538,yr=True,pp=168"
North Brookfield,2024,high,annual_report,https://northbrookfield.net/DocumentCenter/View/358,"heads=8,blanks=53,offices=11,tallies=1938,yr=True,pp=133"
Northbridge,2024,high,townmtg_election,https://northbridgemass.org/DocumentCenter/View/6100/5-21-2024-Annual-Town-Election,"heads=3,blanks=9,offices=2,tallies=99,pp=2"
Northbridge,2025,high,townmtg_election,https://northbridgemass.org/DocumentCenter/View/6099/5-20-2025-Annual-Town-Election,"heads=6,blanks=12,offices=3,tallies=321,pp=5"
Norwell,2023,high,election_page,https://townofnorwell.net/departments/town_clerk/election_information/index.php,"heads=1,blanks=0,offices=7,tallies=13,pp=0"
Oak Bluffs,2023,high,annual_report,https://oakbluffsma.gov/DocumentCenter/View/11505/Town-of-Oak-Bluffs---Annual-Report-2023,"heads=4,blanks=17,offices=9,tallies=2951,yr=True,pp=102"
Oakham,2021,high,annual_report,https://www.oakham-ma.gov/DocumentCenter/View/302/Fy2021-Annual-Town-Report-PDF,"heads=3,blanks=44,offices=10,tallies=2160,yr=True,pp=121"
Oakham,2022,high,annual_report,https://www.oakham-ma.gov/DocumentCenter/View/303/Fy2022-Annual-Town-Report-PDF,"heads=3,blanks=6,offices=9,tallies=2362,yr=True,pp=124"
Oakham,2023,high,annual_report,https://www.oakham-ma.gov/DocumentCenter/View/304/Fy2023-Annual-Town-Report-PDF,"heads=3,blanks=48,offices=9,tallies=1128,yr=True,pp=160"
Oakham,2024,high,annual_report,https://www.oakham-ma.gov/DocumentCenter/View/305/Fy2024-Annual-Town-Report-PDF,"heads=6,blanks=23,offices=11,tallies=2604,yr=True,pp=158"
Oakham,2025,medium,election_page,https://oakham-ma.gov/208/Town-Clerk,"heads=1,blanks=0,offices=2,tallies=19,pp=0"
Petersham,2021,high,annual_report,https://townofpetersham.gov/wp-content/uploads/2025/12/FY21-Town-report-2020-2021.pdf,"heads=1,blanks=0,offices=9,tallies=198,yr=True,pp=82"
Petersham,2022,high,annual_report,https://townofpetersham.gov/wp-content/uploads/2025/12/FY23-Town-report-2022-2023.pdf,"heads=1,blanks=0,offices=4,tallies=35,yr=True,pp=98"
Petersham,2023,high,annual_report,https://townofpetersham.gov/wp-content/uploads/2025/12/FY23-Town-report-2022-2023.pdf,"heads=1,blanks=0,offices=4,tallies=35,yr=True,pp=98"
Phillipston,2025,high,annual_report,https://phillipston-ma.gov/DocumentCenter/View/965,"heads=1,blanks=0,offices=9,tallies=867,yr=True,pp=110"
Plympton,2022,high,annual_report,https://town.plympton.ma.us/DocumentCenter/View/1151/2022-Annual-Town-Report,"heads=14,blanks=65,offices=10,tallies=1635,yr=True,pp=164"
Plympton,2023,high,annual_report,https://town.plympton.ma.us/DocumentCenter/View/1154/2023-Annual-Town-Report,"heads=13,blanks=12,offices=10,tallies=1232,yr=True,pp=142"
Plympton,2024,high,annual_report,https://town.plympton.ma.us/DocumentCenter/View/1171/2024-Annual-Town-Report,"heads=7,blanks=43,offices=10,tallies=1617,yr=True,pp=136"
Plympton,2025,high,election_page,https://town.plympton.ma.us/242/Historical-Town-Elections,"heads=26,blanks=0,offices=4,tallies=21,pp=0"
Princeton,2021,high,annual_report,https://storage.googleapis.com/proudcity/princetonma/2025/09/2021_princeton_annual_town_report_final.pdf,"heads=8,blanks=8,offices=11,tallies=1965,yr=True,pp=144"
Princeton,2022,high,annual_report,https://storage.googleapis.com/proudcity/princetonma/2025/09/2022_annual_town_report.pdf,"heads=19,blanks=53,offices=10,tallies=2247,yr=True,pp=160"
