town,town_norm,community_type,governing_body,eohlc_status,adoption_date,extracted_legislative,extracted_planning_board,extracted_source_url
Ipswich,ipswich,commuter rail,Select Board,Compliant,2024-08-02,,,
Kingston,kingston,commuter rail,Select Board,Compliant,2024-08-15,adopted; 2024-11-19; 193-167; art 1,,https://kingstonma.gov/DocumentCenter/View/5637
Lakeville,lakeville,commuter rail,Select Board,Compliant,,,,
Lancaster,lancaster,MBTA adjacent,Select Board,Conditional,,,,
Lawrence,lawrence,commuter rail,City Council,Compliant,2024-12-20,,,
Leicester,leicester,MBTA adjacent,Select Board,Compliant,2025-11-05,,,
Leominster,leominster,commuter rail,City Council,Compliant,2024-12-13,,,
Lexington,lexington,bus,Select Board,Compliant,2023-06-06,adopted; 2023-04-12; art 34,,https://lexingtonma.gov/1496/MBTA-Communities-Zoning
Lincoln,lincoln,bus,Select Board,Compliant,2024-01-24,adopted; 2024-03-23,,https://lincolntown.org/DocumentCenter/View/85829/DistrictComplianceApplicationforMBTACommunities_Submission_1216484705
Littleton,littleton,commuter rail,Select Board,Compliant,2024-07-11,,,
Lowell,lowell,commuter rail,City Council,Compliant,2023-07-11,,,
Lunenburg,lunenburg,MBTA adjacent,Select Board,Compliant,2025-12-19,,,
Lynn,lynn,bus,City Council,Compliant,2025-03-05,,,
Lynnfield,lynnfield,MBTA adjacent,Select Board,Compliant,2024-11-18,,,
Malden,malden,subway or light rail,City Council,Compliant,2023-12-12,,,
Manchester,manchester,commuter rail,Select Board,Compliant,,,,
Mansfield,mansfield,commuter rail,Select Board,Compliant,2025-09-04,adopted; 2023-06-15; art 13,recommended; 2024-04-24,https://mansfieldma.com/705/MGL-Chapter-40A-Section-3A-3A-MBTA-Zonin
Marblehead,marblehead,bus,Select Board,Non-Compliant,,,,
Marlborough,marlborough,MBTA adjacent,City Council,Compliant,2024-11-15,,,
Marshfield,marshfield,MBTA adjacent,Select Board,Interim/Unknown,,,,
Maynard,maynard,MBTA adjacent,Select Board,Compliant,2024-09-12,adopted; 2024-05-20; 120-5; art 28,,https://townofmaynard-ma.gov/DocumentCenter/View/3037/Official-Minutes-of-ATM-5-20-2024
Medfield,medfield,MBTA adjacent,Select Board,Compliant,2024-07-11,,,
Medford,medford,subway or light rail,City Council,Compliant,2023-12-19,,,
Medway,medway,MBTA adjacent,Select Board,Compliant,2024-11-12,,,
Melrose,melrose,subway or light rail,City Council,Compliant,2025-08-11,,,
Merrimac,merrimac,MBTA adjacent,Select Board,Compliant,2025-05-19,,,
Methuen,methuen,MBTA adjacent,City Council,Compliant,,,,
