town,body,in_corpus,own_agenda,own_minutes,any_agenda,any_minutes,n_own_ag,n_own_min
Hingham,Select Board,True,True,True,True,True,194,22
Hinsdale,Select Board,True,True,True,True,True,31,17
Holbrook,Select Board,True,True,True,True,True,14,15
Holden,Select Board,True,True,True,True,True,99,8
Holland,Select Board,True,True,False,True,True,20,0
Holliston,Select Board,True,True,True,True,True,88,30
Holyoke,City Council,True,False,False,True,True,0,0
Hopedale,Select Board,True,True,True,True,True,73,34
Hopkinton,Select Board,True,True,False,True,True,17,0
Hubbardston,Select Board,True,True,True,True,True,33,98
Hudson,Select Board,True,True,True,True,True,57,17
Hull,Select Board,True,True,True,True,True,43,23
Huntington,Select Board,True,False,False,False,False,0,0
Ipswich,Select Board,True,True,True,True,True,604,36
Kingston,Select Board,True,True,False,True,True,1,0
Lakeville,Select Board,True,True,True,True,True,27,290
Lancaster,Select Board,True,True,True,True,True,25,29
Lanesborough,Select Board,True,True,True,True,True,2,2
Lawrence,City Council,True,True,True,True,True,34,7
Lee,Select Board,True,True,True,True,True,32,31
Leicester,Select Board,True,True,True,True,True,55,30
Lenox,Select Board,True,True,False,True,True,30,0
Leominster,City Council,True,True,True,True,True,84,59
Leverett,Select Board,True,False,True,True,True,0,64
Lexington,Select Board,True,True,True,True,True,114,3
Leyden,Select Board,True,True,True,True,True,1008,1081
Lincoln,Select Board,True,True,True,True,True,20,13
Littleton,Select Board,True,True,True,True,True,78,123
Longmeadow,Select Board,True,True,True,True,True,18,13
Lowell,City Council,True,True,True,True,True,152,89
Ludlow,Select Board,True,True,True,True,True,102,63
Lunenburg,Select Board,True,True,True,True,True,62,2
Lynn,City Council,True,True,True,True,True,149,79
Lynnfield,Select Board,True,True,True,True,True,17,11
Malden,City Council,True,True,True,True,True,86,33
Manchester,Select Board,True,True,True,True,True,21,13
Mansfield,Select Board,True,True,True,True,True,24,86
Marblehead,Select Board,True,True,True,True,True,686,1333
Marion,Select Board,True,True,True,True,True,66,47
Marlborough,City Council,True,True,True,True,True,85,11
Marshfield,Select Board,True,True,True,True,True,908,292
