town,town_norm,community_type,governing_body,board,doctype,year,verdict,url,npages,topic_pages,textfile,status,chars
Lakeville,lakeville,commuter rail,,,,,CONFIRMED,https://ma-lakeville.civicplus.com/DocumentCenter/View/439,26,"1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,25,26",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\lakeville__7b7fc347773e.txt,OK,56576
Lancaster,lancaster,MBTA adjacent,,,,,CONFIRMED,https://www.ci.lancaster.ma.us/DocumentCenter/View/3477/Re_-Lancaster---Conditional-Compliance-with-Section-3A_MBTA-Communities,2,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\lancaster__192684959c24.txt,OK,6324
Leicester,leicester,MBTA adjacent,,,,,CONFIRMED,https://leicesterma.org/481/MBTA-Communities-Leicester,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\leicester__22d91f8117f8.txt,OK,13805
Leicester,leicester,MBTA adjacent,,zoning,bylaw,2025,CONFIRMED,https://leicesterma.org/DocumentCenter/View/3233/Leicester-MBTA-Zoning-Draft-02192025,7,"1,7",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\leicester__7474d9809660.txt,OK,11733
Lexington,lexington,bus,,,,,CONFIRMED,https://www.lexingtonma.gov/DocumentCenter/View/7029,26,"1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,25,26",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\lexington__e913cd60f87e.txt,OK,56576
Lexington,lexington,bus,,zoning,,,CONFIRMED,https://lexingtonma.gov/DocumentCenter/View/7932/Art-34-multi-family-zoning?bidId=,1,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\lexington__8bc5a62466d4.txt,OK,629
Lexington,lexington,bus,,zoning,,,CONFIRMED,https://lexingtonma.gov/DocumentCenter/View/8463/Art-34-village-and-multi-family-slides?bidId=%EF%BF%BD%EF%BF%BD%20;%20%EF%BF%BD%EF%BF%BD(%EF%BF%BD%EF%BF%BDhttps://www.lexingtonma.gov/1496/Zoning-Amendments---MBTA-Communities,40,"1,2",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\lexington__4cf62197cc3d.txt,OK,1130
Lexington,lexington,bus,,zoning,,,CONFIRMED,https://www.lexingtonma.gov/DocumentCenter/View/7932/Art-34-multi-family-zoning,1,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\lexington__7ce25ad12bb6.txt,OK,629
Lexington,lexington,bus,,zoning,,,CONFIRMED,https://lexingtonma.gov/1496/MBTA-Communities-Zoning,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\lexington__c1e56d973c90.txt,OK,38280
Lexington,lexington,bus,,zoning,,2025,CONFIRMED,https://www.lexingtonma.gov/DocumentCenter/View/14478/2025-Village-Overlay-Zoning-Map-STM?bidId=,1,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\lexington__f4a1d3c83bd4.txt,OK,10432
