town,town_norm,community_type,governing_body,board,doctype,year,verdict,url,npages,topic_pages,textfile,status,chars
Middleborough,middleborough,commuter rail,,zoning,,,CONFIRMED,https://www.middleboroughma.gov/DocumentCenter/View/4873,5,"1,2,3,4,5",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\middleborough__f9e45206b5de.txt,OK,9205
Middleton,middleton,MBTA adjacent,,,,2024,PROBABLE,https://www.middletonma.gov/DocumentCenter/View/4379,2,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\middleton__e31e80222865.txt,OK,3208
Millbury,millbury,MBTA adjacent,,town_meeting,warrant,,CONFIRMED,https://millburyma.gov/DocumentCenter/View/373/Annual-Town-Meeting-Warrant,44,"21,24,28,31",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\millbury__84303d4a4366.txt,OK,31012
Millbury,millbury,MBTA adjacent,,town_meeting,warrant,,CONFIRMED,https://millburyma.gov/DocumentCenter/View/385/Signed-Warrant,20,"2,12,13,16,17",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\millbury__b1770595f8bd.txt,OK,25203
Milton,milton,subway or light rail,,town_meeting,warrant,,CONFIRMED,https://www.miltonma.gov/DocumentCenter/View/6120,34,"1,2,3,30,31,32,33,34",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\milton__b8537cfb70f1.txt,OK,21823
Milton,milton,subway or light rail,,town_meeting,warrant,,CONFIRMED,https://www.townofmilton.org/DocumentCenter/View/6120/MBTA-Communities-Warrant-Articles-1-and-2,34,"1,2,3,30,31,32,33,34",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\milton__4f391f02c86e.txt,OK,21823
Milton,milton,subway or light rail,,,,,CONFIRMED,https://www.miltonma.gov/DocumentCenter/View/3138,30,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\milton__70c4aabed143.txt,OK,9021
Milton,milton,subway or light rail,,,,,CONFIRMED,https://www.miltonma.gov/DocumentCenter/View/3139,41,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,27,28,29,30,31",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\milton__0be6865f0cc8.txt,OK,7430
Milton,milton,subway or light rail,,,,,CONFIRMED,https://www.miltonma.gov/DocumentCenter/View/3146,22,"1,2,3,4,5,16,17,18,19,20,21,22",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\milton__c5ea348ccf7f.txt,OK,4968
Milton,milton,subway or light rail,,,,,CONFIRMED,https://www.miltonma.gov/DocumentCenter/View/3261,34,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\milton__317f00e16a0a.txt,OK,9634
Nahant,nahant,bus,,,,2022,CONFIRMED,https://nahant.org/wp-content/uploads/2022/11/MBTACommunitiesInformationForm_Submission_963837223.pdf,3,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\nahant__1bd91dde5d5a.txt,OK,3516
Nahant,nahant,bus,,zoning,,2025,CONFIRMED,https://nahant.org/wp-content/uploads/2025/03/MBTA-Communities-mandatory-zoning-comment-letter.pdf,2,"1,2",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\nahant__793fdc842191.txt,OK,5090
Needham,needham,bus,,,,,CONFIRMED,http://www.needhamma.gov/DocumentCenter/View/24936/MBTACommunitiesFAQ-FINALIteration101-11-22,7,"1,2,3,4,5,6,7",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\needham__ab0ee0056a3f.txt,OK,19293
Needham,needham,bus,,,,,CONFIRMED,https://needhamma.gov/DocumentCenter/View/47397,2,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\needham__18c09d4ad3b6.txt,OK,2458
Needham,needham,bus,,,,,CONFIRMED,https://needhamma.gov/DocumentCenter/View/59237,7,"1,2,3,4,5,6,7",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\needham__31d36ca717f8.txt,OK,12784
Needham,needham,bus,,,,,CONFIRMED,https://needhamma.gov/DocumentCenter/View/59242,4,"1,2,3,4",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\needham__da289fec423f.txt,OK,14241
Needham,needham,bus,,,,,CONFIRMED,https://www.needhamma.gov/DocumentCenter/View/43813/ActionPlanforMBTACommunities_Submission_1061884882,23,"1,2,3,4,5,7,10,12,16,23",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\needham__f9d38b99279a.txt,OK,25264
Needham,needham,bus,,,,,CONFIRMED,https://www.needhamchannel.org/tag/mbta-communities-act/,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\needham__ebc719ad3b69.txt,OK,11126
Needham,needham,bus,,,,,CONFIRMED,https://www.needhamchannel.org/tag/mbta-communities-law/,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\needham__57ffee897470.txt,OK,13468
Needham,needham,bus,,,,,CONFIRMED,https://www.needhamchannel.org/tag/mbta-communities/,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\needham__d4c03165ec5b.txt,OK,11107
Newbury,newbury,commuter rail,,,,,CONFIRMED,https://www.newburyma.gov/Documentcenter/View/2141/Updated-Newbury-Section-3a-Mbta-Communities-Fact-Sheet-PDF,2,"1,2",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\newbury__a6862fb671a5.txt,OK,3101
Newbury,newbury,commuter rail,,zoning,,,CONFIRMED,https://townofnewbury.org/896/MBTA-Communities-Multi-Family-Zoning-Ove,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\newbury__28584d7f2622.txt,OK,16345
Newbury,newbury,commuter rail,,zoning,,,CONFIRMED,https://www.newburyma.gov/896/MBTA-Communities-Multi-Family-Zoning-Ove,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\newbury__98675a29b10e.txt,OK,16345
Newburyport,newburyport,commuter rail,,,,2024,CONFIRMED,https://www.cityofnewburyport.com/sites/g/files/vyhlif12211/f/uploads/comm00540_02_26_2024_newburyport-mbta-communities-storey-ave-slides-2024-2-20-final.pdf,43,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\newburyport__6b69423498c5.txt,OK,9942
North Andover,northandover,commuter rail,,zoning,,,CONFIRMED,https://northandoverma.gov/359/MBTA-Communities-Multi-Family-Zoning,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\northandover__bcfa9885f25f.txt,OK,13022
North Attleborough,northattleborough,MBTA adjacent,,zoning,bylaw,2025,CONFIRMED,https://www.northattleborough.gov/DocumentCenter/View/8244/Measure-2025-008--Multi-Unit-Residenence-Overlay-District-MROD-PDF,9,"1,2",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\northattleborough__c8aeabc0f3b3.txt,OK,6735
Northborough,northborough,MBTA adjacent,,town_meeting,minutes,2024,CONFIRMED,https://www.town.northborough.ma.us/sites/g/files/vyhlif12221/f/uploads/town_meeting_minutes_04.22.2024.pdf,77,44,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\northborough__ee7a537a2068.txt,OK,6910
Northborough,northborough,MBTA adjacent,,town_meeting,warrant,2024,CONFIRMED,https://www.town.northborough.ma.us/sites/g/files/vyhlif12221/f/uploads/final_warrant_-_ready_for_printing_4.10.24.pdf,119,33,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\northborough__4bc74c9804e7.txt,OK,8845
Northborough,northborough,MBTA adjacent,,town_meeting,warrant,2024,CONFIRMED,https://www.town.northborough.ma.us/sites/g/files/vyhlif12221/f/uploads/town_meeting_warrant_04.05.2024.pdf,53,24,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\northborough__724abaab5a41.txt,OK,7830
North Reading,northreading,MBTA adjacent,,,,,CONFIRMED,https://northreadingma.gov/377/MBTA-Communities3A-Compliance,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\northreading__98f1073be38d.txt,OK,26994
Norwood,norwood,bus,,,,,CONFIRMED,https://www.norwoodma.gov/departments/planning_and_economic_development/mbta_communities_faqs.php,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\norwood__e2cf71a1ddff.txt,OK,44809
Norwood,norwood,bus,,,,,CONFIRMED,https://www.norwoodma.gov/departments/planning_and_economic_development/mbta_community_initiative.php,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\norwood__dba0f5ac17f4.txt,OK,17725
Peabody,peabody,bus,,zoning,,,PROBABLE,https://peabody-ma.gov/city clerk/Zoning Amendment - Multi-family Overlay District MFOD.pdf,8,"1,7",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\peabody__280f5419a942.txt,OK,12665
Plymouth,plymouth,commuter rail,,,,,CONFIRMED,https://plymouth-ma.gov/1246/MBTA-Communities,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\plymouth__b2c00dd86435.txt,OK,7863
Plymouth,plymouth,commuter rail,,zoning,bylaw,2024,CONFIRMED,https://plymouth-ma.gov/DocumentCenter/View/4738/MBTA-communities-Draft-Zoning-Bylaw-1242024,7,"1,2,3,4,5,6,7",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\plymouth__980796ac6136.txt,OK,13854
Plymouth,plymouth,commuter rail,,town_meeting,minutes,2024,CONFIRMED,https://www.plymouth-ma.gov/DocumentCenter/View/5337,25,25,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\plymouth__a9992bcc3ac1.txt,OK,6483
Plympton,plympton,MBTA adjacent,,town_meeting,minutes,,CONFIRMED,https://town.plympton.ma.us/DocumentCenter/View/669/Minutes-for-Annual-Town-Meeting,21,"11,12,16",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\plympton__d21f63c49772.txt,OK,20031
Randolph,randolph,bus,,,,,PROBABLE,https://randolph-ma.gov/686/MBTA-Communities,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\randolph__84684e9593e9.txt,OK,12546
Reading,reading,bus,,,,,CONFIRMED,https://www.readingma.gov/DocumentCenter/View/10601/ActionPlanforMBTACommunities_Submission-PDF,4,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\reading__e929a24624c5.txt,OK,6758
Rehoboth,rehoboth,MBTA adjacent,,town_meeting,warrant,2023,CONFIRMED,https://www.rehobothma.gov/sites/g/files/vyhlif4911/f/uploads/warrant-final_10-10-2023.pdf,8,4,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\rehoboth__21e5035a1d47.txt,OK,5409
Rehoboth,rehoboth,MBTA adjacent,,town_meeting,warrant,2025,CONFIRMED,https://www.rehobothma.gov/sites/g/files/vyhlif4911/f/uploads/warrant_10.7.25-final_copy_to_printer.pdf,16,"2,6,8,13",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\rehoboth__f236a860db74.txt,OK,21080
Rockland,rockland,MBTA adjacent,,,,,CONFIRMED,https://www.rockland-ma.gov/DocumentCenter/View/3444,3,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\rockland__db2a579f9f06.txt,OK,4149
Rockland,rockland,MBTA adjacent,,,,,CONFIRMED,https://www.rockland-ma.gov/DocumentCenter/View/3446/Frequently-Asked-Questions---MBTA-Communities-Law,3,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\rockland__2a8160827a91.txt,OK,4149
Rockland,rockland,MBTA adjacent,,,,,CONFIRMED,https://www.rockland-ma.gov/DocumentCenter/View/3503,4,"1,2,3,4",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\rockland__1a315878352e.txt,OK,7125
Rockland,rockland,MBTA adjacent,,,,,CONFIRMED,https://www.rockland-ma.gov/DocumentCenter/View/3504,4,"1,2,3,4",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\rockland__f5f8d65b914e.txt,OK,7125
Rockland,rockland,MBTA adjacent,,,,,CONFIRMED,https://www.rockland-ma.gov/DocumentCenter/View/3518,2,"1,2",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\rockland__007550b4f7c6.txt,OK,5104
Rockland,rockland,MBTA adjacent,,,,,CONFIRMED,https://www.rockland-ma.gov/DocumentCenter/View/3524,6,"1,2,3,4,5",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\rockland__e343034400ae.txt,OK,11459
Rockland,rockland,MBTA adjacent,,,,,CONFIRMED,https://www.rockland-ma.gov/DocumentCenter/View/3573/MBTA-Communities-Law---Resident-Questions-and-Answers_41624,8,"1,2,3,4,5,6",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\rockland__c8060162c908.txt,OK,16014
Rockland,rockland,MBTA adjacent,,,,2024,CONFIRMED,https://rockland-ma.gov/DocumentCenter/View/3525/MBTA-Communities-Law-Compliance---Questions-and-Answers-April-2024,2,"1,2",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\rockland__6f7d5ae65b4e.txt,OK,5298
Rockland,rockland,MBTA adjacent,,zoning,,,CONFIRMED,https://www.rockland-ma.gov/DocumentCenter/View/3443,14,"1,2,14",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\rockland__57bb91bbe6f1.txt,OK,8730
Rockport,rockport,commuter rail,,,,2022,CONFIRMED,https://rockportma.gov/DocumentCenter/View/608/Final-Section-3A-Guidelines-8-10-22-PDF,26,"1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,25,26",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\rockport__4179c9b37a47.txt,OK,56576
Saugus,saugus,bus,,,,,PROBABLE,https://www.saugus-ma.gov/DocumentCenter/View/119,14,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\saugus__899161346b21.txt,OK,4217
Seekonk,seekonk,MBTA adjacent,,town_meeting,minutes,,CONFIRMED,https://www.seekonk-ma.gov/DocumentCenter/View/2550,22,20,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\seekonk__207aca407fca.txt,OK,4661
Seekonk,seekonk,MBTA adjacent,,town_meeting,minutes,,CONFIRMED,https://www.seekonk-ma.gov/DocumentCenter/View/3102,19,10,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\seekonk__ede7471ab05a.txt,OK,7459
Sharon,sharon,commuter rail,,,,,CONFIRMED,https://www.sharonma.gov/DocumentCenter/View/1947/Sharon-MBTA-Communities-Law-Frequently-Asked-Questions-PDF,5,"1,2,3,4,5",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\sharon__ddd05d4448ce.txt,OK,12038
Sherborn,sherborn,MBTA adjacent,,town_meeting,warrant,2025,CONFIRMED,https://www.sherbornma.org/DocumentCenter/View/3208/Warrant-Articles-MBTA-Multi-family-Overlay-District-Bylaw-draft-2-26-2025,10,"1,2,3,10",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\sherborn__93688132de11.txt,OK,8675
Sherborn,sherborn,MBTA adjacent,,,,,CONFIRMED,https://www.sherbornma.org/DocumentCenter/View/3075,11,"1,2,8",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\sherborn__bda42a97e79b.txt,OK,1723
Sherborn,sherborn,MBTA adjacent,,,,2024,CONFIRMED,https://sherbornma.org/DocumentCenter/View/2566/Multi-Family-Overlay-District-Presentation-of-February-20-2024,50,"1,2,3,7,8,9,10,13,16,17,19,25,35,47",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\sherborn__99d9058ca0f8.txt,OK,11237
Sherborn,sherborn,MBTA adjacent,,,,2024,CONFIRMED,https://sherbornma.org/DocumentCenter/View/2614/Sherborn-MBTA-Communities-3A---June-25-2024-Workshop,17,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\sherborn__50233509d37c.txt,OK,9651
Sherborn,sherborn,MBTA adjacent,,,,2024,CONFIRMED,https://sherbornma.org/DocumentCenter/View/2654/The-MBTA-Communities-Law-Survey-Overview-updated-July-16-2024,2,"1,2",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\sherborn__5627743f3cd0.txt,OK,5759
Shirley,shirley,commuter rail,,planning_board,bylaw,2024,CONFIRMED,https://shirley-ma.gov/DocumentCenter/View/1086/Shirley-PB-Approved-Final-MBTA-Communities-Bylaw-92524,7,"1,2,3,4",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\shirley__4e7f59dc5466.txt,OK,12140
Shrewsbury,shrewsbury,commuter rail,,zoning,,,CONFIRMED,https://shrewsburyma.gov/DocumentCenter/View/15207/Compliance-Guidelines-for-Multi-family-Zoning-Districts-Under-Section-3A-of-the-Zoning-Act,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\shrewsbury__086524e456ed.txt,OK,54725
Shrewsbury,shrewsbury,commuter rail,,zoning,,,CONFIRMED,https://shrewsburyma.gov/DocumentCenter/View/17856/Press-Release-EOHLC-Issues-Determination-on--Shrewsburys-Compliance-with-MBTA-Communities-Zoning,1,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\shrewsbury__55a1cd585ce8.txt,OK,1219
Southborough,southborough,commuter rail,,,,,CONFIRMED,https://www.southboroughma.gov/DocumentCenter/View/2174/MASSGOV-MBTA-Communities-Compliance-Guidelines,26,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,24,25",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\southborough__d812d30e2a60.txt,OK,61764
Southborough,southborough,commuter rail,,,,,CONFIRMED,https://www.southboroughma.gov/DocumentCenter/View/2513,9,"1,2,3,4,5,6,7,8,9",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\southborough__2f1846219768.txt,OK,24809
Southborough,southborough,commuter rail,,,,,CONFIRMED,https://www.southboroughma.gov/DocumentCenter/View/3431/01--20220216-MMLA-Presentation-MBTA-Communities-Multi-Family-Housing,39,"1,2,3,4,5,6,7,8,10,11,12,13,14,16,17,18,19,20,21,22",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\southborough__f28d017cde57.txt,OK,23169
Sterling,sterling,MBTA adjacent,,town_meeting,minutes,2025,CONFIRMED,https://sterling-ma.gov/DocumentCenter/View/8257/2025-November-3-Speical-Town-Meeting-Minutes,13,"2,3,6",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\sterling__a378a03211c1.txt,OK,14720
Stow,stow,MBTA adjacent,,,,,CONFIRMED,https://www.stow-ma.gov/DocumentCenter/View/1299/Does-Stow-need-to-comply-with-the-MBTA-Communities-Law-PDF,1,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\stow__dd35764e779e.txt,OK,1036
Stow,stow,MBTA adjacent,,,,,CONFIRMED,https://www.stow-ma.gov/DocumentCenter/View/7678/MBTA-Communities-FAQs-Oct-25,11,"1,2,4,5,6,7,8,9,11",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\stow__71818af34cc0.txt,OK,38124
Stow,stow,MBTA adjacent,,,,,CONFIRMED,https://www.stow-ma.gov/DocumentCenter/View/7693/CHAPA-3AEnforcementPotential-092225,8,"1,2,3,6,8",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\stow__0e76532f825a.txt,OK,19369
Stow,stow,MBTA adjacent,,,,,CONFIRMED,https://www.stow-ma.gov/398/MBTA-Communities,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\stow__54c0389dc6d0.txt,OK,9641
Sutton,sutton,MBTA adjacent,,,,,CONFIRMED,https://suttonma.org/1326/Chapter-40A-Section-3A-Multifamily-Housi,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\sutton__1c7b0ccc5ae6.txt,OK,10840
Sutton,sutton,MBTA adjacent,,,,,CONFIRMED,https://www.suttonma.gov/1326/Chapter-40A-Section-3A-Multifamily-Housi,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\sutton__6a79bfaadc20.txt,OK,10840
Tewksbury,tewksbury,MBTA adjacent,,,,,CONFIRMED,https://tewksbury-ma.gov/DocumentCenter/View/4060/MBTA-Communities-First-Public-Feedback-Presentation-81523-PDF,19,"1,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\tewksbury__566ec1eb0078.txt,OK,1061
Tewksbury,tewksbury,MBTA adjacent,,,,,CONFIRMED,https://tewksbury-ma.gov/DocumentCenter/View/4135/MBTA-Communities-Workshop-Presentation-91323-PDF,14,"1,2,14",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\tewksbury__a8c90c0ce001.txt,OK,2958
Tewksbury,tewksbury,MBTA adjacent,,,,,CONFIRMED,https://www.tewksbury-ma.gov/DocumentCenter/View/3537/MBTA-Communities-Action-Plan-Submission-PDF,8,"1,2,3,4,5,7",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\tewksbury__ec3f1eaecbce.txt,OK,7993
Tewksbury,tewksbury,MBTA adjacent,,,,,CONFIRMED,https://www.tewksbury-ma.gov/DocumentCenter/View/4135/MBTA-Communities-Workshop-Presentation-91323-PDF?bidId=,14,"1,2,14",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\tewksbury__866d37e7f7cc.txt,OK,2958
Tewksbury,tewksbury,MBTA adjacent,,,,2023,CONFIRMED,https://tewksbury-ma.gov/DocumentCenter/View/4105/MBTA-Community-Questions-and-Response-from-August-15-2023-PDF,5,"1,3,4",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\tewksbury__d5735b39821c.txt,OK,9753
Topsfield,topsfield,MBTA adjacent,,,,,PROBABLE,https://www.topsfield-ma.gov/DocumentCenter/View/283/18-Article-XVIII---MBTA-Communities-Multi-Family-Overlay-District,6,"1,2",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\topsfield__0531a5cc3de0.txt,OK,8761
Topsfield,topsfield,MBTA adjacent,,,,,PROBABLE,https://www.topsfield-ma.gov/1408/MBTA-Multi-Family-District,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\topsfield__6049a8fed612.txt,OK,10562
Topsfield,topsfield,MBTA adjacent,,,bylaw,,PROBABLE,https://www.topsfield-ma.gov/DocumentCenter/View/338,7,"1,2",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\topsfield__d712ccd9d287.txt,OK,6689
Tyngsborough,tyngsborough,MBTA adjacent,,,,,CONFIRMED,https://tyngsboroughma.gov/564/MBTA-Communities,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\tyngsborough__17d7b3781ef9.txt,OK,17939
Upton,upton,MBTA adjacent,,town_meeting,warrant,,CONFIRMED,https://uptonma.gov/DocumentCenter/View/6266/KP-940422v1-UPTN_MBTA_Communities_Overlay_District_Draft_Bylaw_Sept_6_Warrant_Article_ReviewFINAL,10,"1,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\upton__890ba626d04d.txt,OK,10427
Upton,upton,MBTA adjacent,,town_meeting,warrant,,CONFIRMED,https://uptonma.gov/DocumentCenter/View/7550/KP-940422-v1-UPTN_MBTA_Communities_Overlay_District_Draft_Bylaw_Sept_6_Warrant_Article_ReviewFINAL,10,"1,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\upton__4a6f1358a580.txt,OK,10231
Upton,upton,MBTA adjacent,,town_meeting,warrant,,CONFIRMED,https://www.uptonma.gov/DocumentCenter/View/5061,11,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\upton__705eb87d7261.txt,OK,10721
Wareham,wareham,MBTA adjacent,,town_meeting,minutes,,CONFIRMED,https://www.wareham.gov/DocumentCenter/View/6478/4282025-Special-Town-Meeting-Warrant-and-Minutes,34,24,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\wareham__5fec435d342a.txt,OK,9361
Wareham,wareham,MBTA adjacent,,town_meeting,minutes,,CONFIRMED,https://www.wareham.gov/DocumentCenter/View/6727,34,24,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\wareham__a408c7f493e6.txt,OK,9361
Wareham,wareham,MBTA adjacent,,town_meeting,minutes,,CONFIRMED,https://www.wareham.ma.us/DocumentCenter/View/6478,34,24,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\wareham__b21f699be0ea.txt,OK,9361
Wareham,wareham,MBTA adjacent,,town_meeting,minutes,,CONFIRMED,https://www.wareham.ma.us/DocumentCenter/View/6727,34,24,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\wareham__da1a210934a3.txt,OK,9361
Wayland,wayland,MBTA adjacent,,zoning,,,CONFIRMED,https://ma-wayland.civicplus.com/920/MBTA-Communities---Multi-Family-Zoning-D,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\wayland__87bcbd91b77c.txt,OK,11327
Wayland,wayland,MBTA adjacent,,zoning,,,CONFIRMED,https://wayland.ma.us/920/MBTA-Communities---Multi-Family-Zoning-D,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\wayland__b7886871cb93.txt,OK,11327
Wayland,wayland,MBTA adjacent,,zoning,bylaw,,CONFIRMED,https://www.wayland.ma.us/DocumentCenter/View/6742,9,"1,7,9",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\wayland__4b5596f3b9d2.txt,OK,16219
Wellesley,wellesley,subway or light rail,,,,,CONFIRMED,https://wellesleyma.gov/DocumentCenter/View/37501,8,"1,2,4,5,6",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\wellesley__2bdbf21a3f92.txt,OK,15138
Wellesley,wellesley,subway or light rail,,town_meeting,,2024,CONFIRMED,https://wellesleyma.gov/DocumentCenter/View/49159/MBTA-Presentation-STM,21,"1,2,3,9,16,17",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\wellesley__00a5dd28d8d1.txt,OK,7892
Wenham,wenham,commuter rail,,,,,CONFIRMED,https://www.wenhamma.gov/DocumentCenter/View/753/MBTA-Communities-Presentation-PDF,19,"1,3,4,5",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\wenham__8f69b296acab.txt,OK,3584
Wenham,wenham,commuter rail,,,,,CONFIRMED,https://www.wenhamma.gov/DocumentCenter/View/754/MBTA-Communities-Fact-Sheet-PDF,2,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\wenham__b2f09fbddfaf.txt,OK,3108
Wenham,wenham,commuter rail,,,,2025,CONFIRMED,https://wenhamma.gov/DocumentCenter/View/1768/MBTA-Communities-Action-Plan-Submission-February-2025-PDF,6,"1,4,6",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\wenham__f92bed4296e7.txt,OK,9170
Westford,westford,MBTA adjacent,,,,,CONFIRMED,https://www.westfordma.gov/DocumentCenter/View/13128/MBTA-Communities---9822-Webinar-Presentation-re-Compliance-Guidelines-vF,29,"1,2,9,10,12,14,15,16,18,19,20,21,22,24,26,28,29",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\westford__46613eecb2b1.txt,OK,22731
Westford,westford,MBTA adjacent,,,,,CONFIRMED,https://www.westfordma.gov/DocumentCenter/View/14216/MBTA_Communities_Explainer_2_What_done_so_far,1,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\westford__f124af82fcce.txt,OK,2399
