stem,office,action,was,becomes,reason
Groton2018,QUESTION 6: NON-BINDING REFERENDUM – Should marijuana resear,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blank' -- a question, not an office"
Groton2018,QUESTION 7: NON-BINDING REFERENDUM – Should independent test,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blank' -- a question, not an office"
Groveland2016,Assessor,duplicate row removed,1,,row 'William H. Darke' duplicated the printed total 1071
Groveland2016,Cemetery Commission 3 yrs,duplicate row removed,1,,row 'Blanks' duplicated the printed total 785
Groveland2016,Library Trustee 2 yrs,fix seat count,1,2,"marks 2252 are exactly 2x the ballot count 1126; seats recorded as 1, source derived"
Groveland2016,Library Trustee 1 yr,duplicate row removed,1,,row 'Blanks' duplicated the printed total 753
Groveland2016,Light Commissioner 3 yrs,duplicate row removed,1,,row 'Blanks' duplicated the printed total 826
Groveland2016,Moderator 1 yr,duplicate row removed,1,,row 'Blanks' duplicated the printed total 825
Groveland2016,Planning Board 5 yrs,duplicate row removed,1,,row 'Blanks' duplicated the printed total 743
Groveland2016,School Committee 3 yrs,duplicate row removed,1,,row 'Blanks' duplicated the printed total 769
Groveland2016,Town Clerk 3 yrs,duplicate row removed,1,,row 'Blanks' duplicated the printed total 887
Groveland2016,Tree Warden,duplicate row removed,1,,row 'Blanks' duplicated the printed total 825
Groveland2016,Water/Sewer Commission 3 yrs,duplicate row removed,1,,row 'John Willett' duplicated the printed total 1079
Groveland2018,QUESTION 1,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'BLANKS' -- a question, not an office"
Groveland2018,QUESTION 2,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'BLANKS' -- a question, not an office"
Groveland2018,QUESTION 1,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'BLANKS' -- a question, not an office"
Groveland2018,QUESTION 2,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'BLANKS' -- a question, not an office"
Halifax2020,Board of Library Trustees,fix seat count,1,2,"marks 1256 are exactly 2x the ballot count 628; seats recorded as 1, source derived"
Hamilton2011,Question 1 Prop 2 ½ Debt Exclusion,ballot question moved to `questions`,,,"rows are 'Blanks', 'Yes', 'No' -- a question, not an office"
Hamilton2013,Question #1: Prop 2 1/2 Debt Exclusion,ballot question moved to `questions`,,,"rows are 'Blanks', 'YES', 'NO' -- a question, not an office"
Hamilton2019,H-W Library Trustee at Large Vote for ONE 3 years,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Vote for ONE 3 years'
Hanover2002,BOARD OF PUBLIC WORKS,residual row closed against the printed total,,0,the printed total 2284 less the 2284 read on the other rows; the blank row is 'Write-Ins'
Hanson2018,CEMETERY COMMISSIONER for three years,residual row closed against the printed total,,0,the printed total 1013 less the 1013 read on the other rows; the blank row is 'Write-ins'
Hanson2018,PLANNING BOARD for five years,residual row closed against the printed total,,0,the printed total 1013 less the 1013 read on the other rows; the blank row is 'Write-ins'
Hingham2012,PLANNING BOARD (Five Years),duplicate row removed,1,,row 'Blanks' duplicated the printed total 3660
Holliston2014,PLANNING BOARD - For Five Years,duplicate row removed,1,,row 'Miscellaneous Write-ins' duplicated the printed total 665
Hudson2007,MODERATOR (ONE for a One-Yr. Term),residual row closed against the printed total,,0,the printed total 1573 less the 1573 read on the other rows; the blank row is 'Scatterings'
Hudson2007,PARK COMMISSION (ONE for a Three-Yr. Term),residual row closed against the printed total,,0,the printed total 1573 less the 1573 read on the other rows; the blank row is 'Scatterings'
Hudson2007,LIBRARY TRUSTEE (ONE for a Three-Yr. Term),residual row closed against the printed total,,0,the printed total 1573 less the 1573 read on the other rows; the blank row is 'Scatterings'
Hudson2007,CONSTABLE (ONE for Three-Yr. Term),residual row closed against the printed total,,0,the printed total 1573 less the 1573 read on the other rows; the blank row is 'Scatterings'
Hudson2007,BOARD of ASSESSORS (ONE for Three-Yr. Term),residual row closed against the printed total,,0,the printed total 1573 less the 1573 read on the other rows; the blank row is 'Scatterings'
Hull2010,QUESTION NO. 1,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blanks' -- a question, not an office"
Hull2011,"SELECTMAN, 3 years",report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Two Members of the Board of Selectmen to serve for the term of three years'
Hull2012,HOUSING AUTHORITY,residual row closed against the printed total,,0,the printed total 1600 less the 1600 read on the other rows; the blank row is 'Blanks'
Hull2012,REDEVELOPMENT AUTHORITY,residual row closed against the printed total,,0,the printed total 1600 less the 1600 read on the other rows; the blank row is 'Blanks'
Hull2013,PLANNING BOARD,fix seat count,1,2,"marks 1462 are exactly 2x the ballot count 731; seats recorded as 1, source derived"
Ipswich2020,SELECT BOARD,fix seat count,1,2,"marks 1744 are exactly 2x the ballot count 872; seats recorded as 1, source derived"
Lakeville2014,REGIONAL SCHOOL DISTRICT COMMITTEE-FREETOWN for 3 yrs,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'REGIONAL SCHOOL DISTRICT COMMITTEE-FREETOWN for 3 yrs'
Lanesborough2014,FINANCE COMMITTEE 3 YEARS,fix seat count,1,2,"marks 280 are exactly 2x the ballot count 140; seats recorded as 1, source derived"
Lanesborough2015,FINANCE COMMITTEE 3 YRS.,fix seat count,1,2,"marks 504 are exactly 2x the ballot count 252; seats recorded as 1, source derived"
Lee2018,Constable (3yrs),fix seat count,3,4,"marks 416 are exactly 4x the ballot count 104; seats recorded as 3, source marked"
Littleton2016,BOARD OF ASSESSORS,fix seat count,1,2,"marks 3086 are exactly 2x the ballot count 1543; seats recorded as 1, source derived"
Lunenburg2014,LIBRARY TRUSTEE – For 3 years / Vote for Two,residual row closed against the printed total,,0,the printed total 2496 less the 2496 read on the other rows; the blank row is 'Write-Ins'
Lunenburg2015,HOUSING AUTHORITY MEMBER - For 5 years / Vote for One,residual row closed against the printed total,,0,the printed total 247 less the 247 read on the other rows; the blank row is 'All Others'
Lunenburg2015,SELECTMEN - For 3 years / Vote for One,duplicate row removed,1,,row 'All Others' duplicated the printed total 247
Lunenburg2016,DEBT EXCLUSION QUESTION 1 – Pavement Management Plan,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blanks' -- a question, not an office"
Lynnfield2012,LIBRARY TRUSTEE,fix seat count,1,2,"marks 3556 are exactly 2x the ballot count 1778; seats recorded as 1, source derived"
Lynnfield2015,SELECTMEN,residual row closed against the printed total,,0,the printed total 2675 less the 2675 read on the other rows; the blank row is 'WRITE-INS'
Lynnfield2015,ASSESSORS,residual row closed against the printed total,,0,the printed total 2675 less the 2675 read on the other rows; the blank row is 'WRITE-INS'
Lynnfield2015,LIBRARY,residual row closed against the printed total,,0,the printed total 5350 less the 5350 read on the other rows; the blank row is 'WRITE-INS'
Lynnfield2015,MODERATOR,residual row closed against the printed total,,0,the printed total 2675 less the 2675 read on the other rows; the blank row is 'WRITE-INS'
Lynnfield2015,PLANNING,residual row closed against the printed total,,0,the printed total 2675 less the 2675 read on the other rows; the blank row is 'WRITE-INS'
Lynnfield2015,SCHOOL,residual row closed against the printed total,,0,the printed total 5350 less the 5350 read on the other rows; the blank row is 'WRITE-INS'
Lynnfield2015,HOUSING,residual row closed against the printed total,,0,the printed total 2675 less the 2675 read on the other rows; the blank row is 'WRITE-INS'
Lynnfield2015,LIBRARY,fix seat count,1,2,"marks 5350 are exactly 2x the ballot count 2675; seats recorded as 1, source derived"
Lynnfield2015,SCHOOL,fix seat count,1,2,"marks 5350 are exactly 2x the ballot count 2675; seats recorded as 1, source derived"
Lynnfield2016,PLANNING BOARD (1 YR),residual row closed against the printed total,,0,the printed total 1670 less the 1670 read on the other rows; the blank row is 'WRITE-INS'
Mansfield2003,QUESTION 1 (Taxing Certain Improved Real Property),ballot question moved to `questions`,,,"rows are 'Blanks', 'Yes', 'No' -- a question, not an office"
Mansfield2005,BOARD OF SELECTMEN (For Three Years),fix seat count,1,2,"marks 3144 are exactly 2x the ballot count 1572; seats recorded as 1, source derived"
Mansfield2005,SCHOOL COMMITTEE (For Three Years),fix seat count,1,2,"marks 3144 are exactly 2x the ballot count 1572; seats recorded as 1, source derived"
Mansfield2007,QUESTION #1,ballot question moved to `questions`,,,"rows are 'Blanks', 'Yes', 'No' -- a question, not an office"
Mansfield2007,QUESTION #2,ballot question moved to `questions`,,,"rows are 'Blanks', 'Yes', 'No' -- a question, not an office"
Mansfield2013,SCHOOL COMMITTEE,fix seat count,1,2,"marks 650 are exactly 2x the ballot count 325; seats recorded as 1, source derived"
Marblehead2007,School Committee 3 Year Term,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Vote for One'
Marblehead2007,Water & Sewer Commission 3 Year Term,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Vote for One'
Marblehead2010,School Committee 3 Year Term,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Vote for One'
Marshfield2011,LIBRARY TRUSTEE THREE YEARS,fix seat count,1,2,"marks 660 are exactly 2x the ballot count 330; seats recorded as 1, source derived"
Mashpee2009,Question #1 Solid Waste Disposal Options,ballot question moved to `questions`,,,"rows are 'Option #1', 'Option #2', 'Option #3', 'Blanks' -- a question, not an office"
Maynard2015,SELECTMAN,fix seat count,1,2,"marks 1150 are exactly 2x the ballot count 575; seats recorded as 1, source marked"
Medfield2001,Trustees of Public Library (vote for not more than two),residual row closed against the printed total,,0,the printed total 4000 less the 4000 read on the other rows; the blank row is 'Write In'
Medfield2002,Housing Authority (vote for one),residual row closed against the printed total,,0,the printed total 3651 less the 3651 read on the other rows; the blank row is 'Write In'
Medfield2004,REPRESENTATIVE IN GENERAL COURT,residual row closed against the printed total,,0,the printed total 1 less the 1 read on the other rows; the blank row is 'BLANKS'
Medfield2004,REGISTER OF DEEDS,residual row closed against the printed total,,0,the printed total 1 less the 1 read on the other rows; the blank row is 'BLANKS'
Medfield2004,SHERIFF,residual row closed against the printed total,,0,the printed total 1 less the 1 read on the other rows; the blank row is 'BLANKS'
Medfield2004,COUNTY COMMISSIONER,residual row closed against the printed total,,0,the printed total 2 less the 2 read on the other rows; the blank row is 'BLANKS'
Medway2017,Library Trustee,fix seat count,1,2,"marks 3150 are exactly 2x the ballot count 1575; seats recorded as 1, source derived"
Medway2018,SELECTMEN 3yr,fix seat count,1,2,"marks 1750 are exactly 2x the ballot count 875; seats recorded as 1, source derived"
Medway2020,Question 1 non-binding,ballot question moved to `questions`,,,"rows are 'Board of Selectmen (No change)', 'Select Board', 'Executive Board', 'Scattering' -- a question, not an office"
Methuen2011,SCHOOL COMMITTEE,fix seat count,5,6,"marks 53880 are exactly 6x the ballot count 8980; seats recorded as 5, source derived"
Middleton2010,Selectman for 3 years,fix seat count,1,2,"marks 1186 are exactly 2x the ballot count 593; seats recorded as 1, source derived"
Middleton2011,Light Commissioner,fix seat count,1,2,"marks 470 are exactly 2x the ballot count 235; seats recorded as 1, source derived"
Middleton2013,Selectman,fix seat count,1,2,"marks 978 are exactly 2x the ballot count 489; seats recorded as 1, source marked"
Middleton2015,Elementary School Committee,fix seat count,1,2,"marks 2796 are exactly 2x the ballot count 1398; seats recorded as 1, source derived"
Milford2017,FOR BOARD OF ASSESSORS For Three Years,duplicate row removed,1,,row 'DAVID GAFFIN' duplicated the printed total 3136
Milford2019,FOR TRUSTEE OF VERNON GROVE CEMETERY,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Vote for not more than Two'
Milford2020,FOR TRUSTEE OF VERNON GROVE CEMETERY,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Vote for one'
Millbury2013,QUESTION #1 MGL Section Six C Chap 40,ballot question moved to `questions`,,,"rows are 'Blanks', '*Yes', 'No' -- a question, not an office"
Millbury2013,QUESTION #2 Brierly & Ramshorn Dams,ballot question moved to `questions`,,,"rows are 'Blanks', '*Yes', 'No' -- a question, not an office"
Millbury2015,QUESTION #1 PUBLIC SAFETY COMPLEX,ballot question moved to `questions`,,,"rows are 'Blanks', 'Yes', '*No' -- a question, not an office"
Millbury2015,LIBRARY TRUSTEES 1 YEAR,fix seat count,1,2,"marks 4416 are exactly 2x the ballot count 2208; seats recorded as 1, source marked"
Millbury2016,SCHOOL COMMITTEE 3 YEARS,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: '3 YEARS'
Millbury2016,LIBRARY TRUSTEE 3 YEARS,fix seat count,2,3,"marks 4707 are exactly 3x the ballot count 1569; seats recorded as 2, source marked"
Millbury2017,QUESTION NO. 1 R.E. SHAW FEASIBILITY STUDY,ballot question moved to `questions`,,,"rows are 'BLANKS', '*YES', 'NO' -- a question, not an office"
Millbury2018,PLANNING BOARD 3 YEARS,fix seat count,1,2,"marks 2220 are exactly 2x the ballot count 1110; seats recorded as 1, source marked"
Montague2017,QUESTION,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'BLANKS' -- a question, not an office"
Montague2020,"TOWN MEETING MEMBERS, For one year",duplicate row removed,2,,row 'Michael A. Ketcham' duplicated the printed total 340
Nahant2016,"Planning Board, (for five years)",report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'for five years'
Natick2020,Question 1,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blanks' -- a question, not an office"
Natick2020,Question 2,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blanks' -- a question, not an office"
Norfolk2000,Norfolk School Committee Member for Three Years,fix seat count,1,2,"marks 2634 are exactly 2x the ballot count 1317; seats recorded as 1, source derived"
Norfolk2003,NORFOLK SCHOOL COMMITTEE MEMBER FOR THREE YEARS,fix seat count,1,2,"marks 2832 are exactly 2x the ballot count 1416; seats recorded as 1, source marked"
Norfolk2008,Question 1 (Town Clerk Appointed),ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'Blanks' -- a question, not an office"
Norfolk2008,Constable,fix seat count,1,2,"marks 3006 are exactly 2x the ballot count 1503; seats recorded as 1, source marked"
Norfolk2013,RECREATION COMMISSION FOR THREE YEARS,fix seat count,1,2,"marks 3144 are exactly 2x the ballot count 1572; seats recorded as 1, source marked"
Norfolk2016,Planning Board,fix seat count,1,2,"marks 1382 are exactly 2x the ballot count 691; seats recorded as 1, source derived"
Norfolk2019,Selectmen 3 Year,duplicate row removed,1,,row 'Write-In' duplicated the printed total 1138
Norfolk2019,Selectmen 1 Year,duplicate row removed,1,,row 'Write-In' duplicated the printed total 1138
Norfolk2019,Recreation Commission (2 positions),duplicate row removed,2,,row 'Write-In' duplicated the printed total 2276
NorthBrookfield2008,SCHOOL COMMITTEE FOR 3 YEARS,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'SCHOOL COMMITTEE FOR 3 YEARS'
Northborough2008,"QUESTION 1 Add'l $316,047 Taxes Northborough K-8 Schools",ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blanks' -- a question, not an office"
Northborough2008,QUESTION 2 Exempt from 2 1/2 amounts to pay for bond issued ,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blanks' -- a question, not an office"
Northborough2008,Sboro votes for NB/SB Regional School - Northborough Candida,residual row closed against the printed total,,0,the printed total 1486 less the 1486 read on the other rows; the blank row is 'Write Ins'
Northborough2008,Planning Board,fix seat count,2,3,"marks 4560 are exactly 3x the ballot count 1520; seats recorded as 2, source marked"
Northbridge2005,PLANNING BOARD 3yr terms,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: '(vote for one)'
Northfield2016,Constables Three year term Vote for One,report seat count,1,4,marks are exactly 4x ballots but the page is quoted as printing 1 seats: 'Vote for One'
Norwell2018,BOARD OF SELECTMEN-Three Years-Vote for One,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Vote for One'
Norwell2020,NORWELL PUBLIC LIBRARY TRUSTEES-Three Years-Vote for Two,duplicate row removed,2,,row 'Sarah M. Cassidy won the second seat as a write-in Candidate' duplicated the printed total 1074
Oxford2020,BALLOT QUESTION 1,ballot question moved to `questions`,,,"rows are 'Blanks', 'Yes', 'No' -- a question, not an office"
Pembroke2011,MODERATOR,duplicate row removed,1,,row 'BLANKS' duplicated the printed total 887
Pembroke2015,HOUSING AUTHORITY 5 YEAR TERM,figure summed from its precincts,,2861,"row 'BLANKS' reads [637, 506, 458, 691, 569] across its precincts; 32 rows in this record close against their own breakdown, so the columns are precincts"
Pembroke2015,HOUSING AUTHORITY 5 YEAR TERM,figure summed from its precincts,,218,"row 'WRITE INS' reads [43, 50, 42, 45, 38] across its precincts; 32 rows in this record close against their own breakdown, so the columns are precincts"
Pembroke2018,QUESTION 1 POLICE - FIRE - DPW,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'BLANKS' -- a question, not an office"
Pepperell2016,Board of Assessors,figure summed from its precincts,,6,"row 'Write-ins' reads [0, 1, 5] across its precincts; 22 rows in this record close against their own breakdown, so the columns are precincts"
Pepperell2016,Board of Health,figure summed from its precincts,,8,"row 'Write-ins' reads [3, 1, 4] across its precincts; 22 rows in this record close against their own breakdown, so the columns are precincts"
Pepperell2016,Housing Authority,figure summed from its precincts,,2,"row 'Write-ins' reads [1, 1, 0] across its precincts; 22 rows in this record close against their own breakdown, so the columns are precincts"
Pepperell2016,Board of Library Trustees,figure summed from its precincts,,236,"row 'Write-ins' reads [64, 98, 74] across its precincts; 22 rows in this record close against their own breakdown, so the columns are precincts"
Pepperell2016,Planning Board,figure summed from its precincts,,148,"row 'Write-ins' reads [44, 44, 60] across its precincts; 22 rows in this record close against their own breakdown, so the columns are precincts"
Pepperell2016,Board of Public Works,figure summed from its precincts,,57,"row 'Write-ins' reads [16, 24, 17] across its precincts; 22 rows in this record close against their own breakdown, so the columns are precincts"
Pepperell2016,Recreation Commission,figure summed from its precincts,,71,"row 'Write-ins' reads [22, 25, 24] across its precincts; 22 rows in this record close against their own breakdown, so the columns are precincts"
Pepperell2016,Board of Selectmen,figure summed from its precincts,,4,"row 'Write-ins' reads [1, 3, 0] across its precincts; 22 rows in this record close against their own breakdown, so the columns are precincts"
Pepperell2016,North Middlesex School Committee,figure summed from its precincts,,13,"row 'Write-ins' reads [2, 9, 2] across its precincts; 22 rows in this record close against their own breakdown, so the columns are precincts"
Petersham2019,QUESTION 1,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'BLANKS' -- a question, not an office"
Plymouth2011,QUESTION 1,ballot question moved to `questions`,,,"rows are 'YES', 'NO' -- a question, not an office"
Provincetown2015,Charter Enforcement (3 yr),fix seat count,1,2,"marks 1272 are exactly 2x the ballot count 636; seats recorded as 1, source derived"
Provincetown2016,Bd Library Trustees (2 yr),report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Bd Library Trustees (2 yr)'
Provincetown2017,Charter Enforcement (3 yr),report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Charter Enforcement (3 yr)'
Provincetown2017,Charter Enforcement (1 yr),report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Charter Enforcement (1 yr)'
Provincetown2018,Charter Enforcement (3 yr),report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Charter Enforcement (3 yr)'
Reading2016,Moderator - 1 Year - Vote for One,duplicate row removed,1,,row 'Blank Votes' duplicated the printed total 4738
Reading2016,Board of Selectmen 3 Years - Vote for Two,duplicate row removed,2,,row 'Blank Votes' duplicated the printed total 8273
Reading2016,Municipal Light Board - 3 Years - Vote for Two,duplicate row removed,2,,row 'Blank Votes' duplicated the printed total 8045
Reading2016,School Committee - 3 Years -Vote for Two,duplicate row removed,2,,row 'Blank Votes' duplicated the printed total 8211
Reading2016,Precinct One - Town Meeting Members - 3 Years - Vote for Eig,duplicate row removed,8,,row 'Blank Votes' duplicated the printed total 1800
Reading2016,Precinct Two - Town Meeting Members - 3 Years - Vote for Eig,duplicate row removed,8,,row 'Blank Votes' duplicated the printed total 1792
Reading2016,Precinct Two - Town Meeting Members - 2 Years - Vote for One,duplicate row removed,1,,row 'Blank Votes' duplicated the printed total 14
Reading2016,Precinct Two - Town Meeting Members - 1 Year - Vote for One,duplicate row removed,1,,row 'Blank Votes' duplicated the printed total 20
Reading2016,Precinct Three - Town Meeting Members - 3 Years - Vote for E,duplicate row removed,8,,row 'Blank Votes' duplicated the printed total 2702
Reading2016,Precinct Four - Town Meeting Members - 3 Years - Vote for Ei,duplicate row removed,8,,row 'Blank Votes' duplicated the printed total 3171
Reading2016,Precinct Five - Town Meeting Members - 3 Years - Vote for Ei,duplicate row removed,8,,row 'Blank Votes' duplicated the printed total 2543
Reading2016,Precinct Six - Town Meeting Members - 3 Years - Vote for Eig,duplicate row removed,8,,row 'Blank Votes' duplicated the printed total 1497
Reading2016,Precinct Six - Town Meeting Members 2 Years - Vote for One,duplicate row removed,1,,row 'Blank Votes' duplicated the printed total 22
Reading2016,Precinct Six - Town Meeting Members - 1 Year - Vote for One,duplicate row removed,1,,row 'Blank Votes' duplicated the printed total 21
Reading2016,Precinct Seven - Town Meeting Members 3 Years - Vote for Eig,duplicate row removed,8,,row 'Blank Votes' duplicated the printed total 3073
Reading2016,Precinct Seven - Town Meeting Members - 2 Years - Vote for O,duplicate row removed,1,,row 'Blank Votes' duplicated the printed total 50
Reading2016,Precinct Eight - Town Meeting Members - 3 Years - Vote for E,duplicate row removed,8,,row 'Blank Votes' duplicated the printed total 1636
Reading2017,Precinct Four - Town Meeting Members - 3 Years - Vote for Ei,duplicate row removed,8,,row 'Blank Votes' duplicated the printed total 1996
Reading2017,Precinct Five - Town Meeting Members - 3 Years - Vote for Ei,duplicate row removed,8,,row 'Blank Votes' duplicated the printed total 1735
Reading2017,Precinct Six - Town Meeting Members - 3 Years - Vote for Eig,duplicate row removed,8,,row 'Blank Votes' duplicated the printed total 898
Reading2017,Precinct Six - Town Meeting Members 2 Years - Vote for Two,duplicate row removed,2,,row 'Blank Votes' duplicated the printed total 27
Reading2017,Precinct Seven - Town Meeting Members 3 Years - Vote for Eig,duplicate row removed,8,,row 'Blank Votes' duplicated the printed total 2002
Reading2017,Precinct Eight - Town Meeting Members - 3 Years - Vote for E,duplicate row removed,8,,row 'Blank Votes' duplicated the printed total 1741
Reading2017,Precinct Eight - Town Meeting Members - 1 Year - Vote for On,duplicate row removed,1,,row 'Blank Votes' duplicated the printed total 298
Rockland2004,QUESTION 1,ballot question moved to `questions`,,,"rows are 'Blanks', 'YES', 'NO' -- a question, not an office"
Rowe2020,Question #1 (Gracy House),ballot question moved to `questions`,,,"rows are 'Demolish', 'Renovate', 'Blanks' -- a question, not an office"
Rutland2019,WRSD SCHOOL COMM,fix seat count,1,2,"marks 1490 are exactly 2x the ballot count 745; seats recorded as 1, source derived"
Salisbury2010,SELECTMAN,fix seat count,1,2,"marks 2528 are exactly 2x the ballot count 1264; seats recorded as 1, source derived"
Salisbury2013,LIBRARY DEBT EXCLUSION,ballot question moved to `questions`,,,"rows are 'BLANK', 'YES', 'NO' -- a question, not an office"
Sandwich2020,"School Public Library Trustee, Not More than Three - Three Y",duplicate row removed,3,,row 'Jeanie M. Vander Pyl' duplicated the printed total 7206
Saugus2017,Town Meeting (two years) PCT 8,residual row closed against the printed total,,0,the printed total 2230 less the 2230 read on the other rows; the blank row is 'OTHERS'
Saugus2017,Town Meeting (two years) PCT 10,residual row closed against the printed total,,0,the printed total 2297 less the 2297 read on the other rows; the blank row is 'OTHERS'
Seekonk2011,SCHOOL COMMITTEE (Vote for ONE) 3 YR TERM,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Vote for ONE'
Shirley2003,BOARD OF ASSESSORS - 3 YRS,duplicate row removed,1,,row 'Others' duplicated the printed total 929
Shirley2003,BOARD OF ASSESSORS UNEXPIRED 2 YR.,duplicate row removed,1,,row 'Charles Church' duplicated the printed total 929
Shirley2013,Planning Board - 5 yrs,duplicate row removed,5,,row 'Total # of Write-Ins' duplicated the printed total 1196
SouthHadley2008,QUESTION 1 CHARTER,ballot question moved to `questions`,,,"rows are 'Blanks', 'Yes', 'No*' -- a question, not an office"
SouthHadley2008,QUESTION 2 THIS QUESTION IS NON-BINDING (DISTRICT MERGER),ballot question moved to `questions`,,,"rows are 'Blanks', 'Yes', 'No*' -- a question, not an office"
SouthHadley2009,QUESTION 1 CHARTER,ballot question moved to `questions`,,,"rows are  -- a question, not an office"
SouthHadley2009,QUESTION 2 THIS QUESTION IS NON-BINDING (DISTRICT MERGER),ballot question moved to `questions`,,,"rows are  -- a question, not an office"
SouthHadley2009,SELECTBOARD FOR THREE YEARS,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'FOR THREE YEARS'
SouthHadley2011,SELECTBOARD FOR THREE YEARS,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'FOR THREE YEARS'
SouthHadley2012,SCHOOL COMMITTEE FOR THREE YEARS,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'FOR THREE YEARS'
SouthHadley2012,LIBRARY TRUSTEES FOR THREE YEARS,report seat count,1,3,marks are exactly 3x ballots but the page is quoted as printing 1 seats: 'FOR THREE YEARS'
SouthHadley2012,HAMPSHIRE COUNCIL OF GOVERNMENTS,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'FOR THREE YEARS'
SouthHadley2015,BALLOT QUESTION 1,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blank' -- a question, not an office"
SouthHadley2015,MUNICIPAL LIGHT BOARD FOR THREE YEARS,fix seat count,1,2,"marks 3112 are exactly 2x the ballot count 1556; seats recorded as 1, source marked"
Southwick2006,PARK AND REC COMMISSION ELECT ONE-3 YEARS,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'ELECT ONE-3 YEARS'
Southwick2018,QUESTION Shall the Town adopt the following zoning and gener,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'Blanks' -- a question, not an office"
Spencer2013,Spencer-East Brookfield Regional School Committee - Spencer ,fix seat count,1,2,"marks 2884 are exactly 2x the ballot count 1442; seats recorded as 1, source derived"
Spencer2019,Spencer-East Brookfield Regional School Committee - Spencer ,fix seat count,1,2,"marks 668 are exactly 2x the ballot count 334; seats recorded as 1, source derived"
Sterling2007,HOUSING AUTHORITY - 5 year,fix seat count,1,2,"marks 1402 are exactly 2x the ballot count 701; seats recorded as 1, source derived"
Sterling2007,WRSD - 3 years,fix seat count,1,2,"marks 1402 are exactly 2x the ballot count 701; seats recorded as 1, source derived"
Sterling2008,WRSD - 3 years,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'WRSD - 3 years'
Sterling2011,DEPT OF PUBLIC WORKS,figure summed from its precincts,,0,"row 'Write-in' reads [0, 0] across its precincts; 37 rows in this record close against their own breakdown, so the columns are precincts"
Sterling2011,PLANNING BOARD,figure summed from its precincts,,0,"row 'Write-in' reads [0, 0] across its precincts; 37 rows in this record close against their own breakdown, so the columns are precincts"
Sterling2011,WACHUSETT REGIONAL SCHOOL DISTRICT COMMITTEE,fix seat count,1,2,"marks 1926 are exactly 2x the ballot count 963; seats recorded as 1, source derived"
Sterling2015,BOARD OF HEALTH (3yrs),figure summed from its precincts,,0,"row 'Total Write-ins' reads [0, 0] across its precincts; 34 rows in this record close against their own breakdown, so the columns are precincts"
Sterling2019,CONSTABLE (3 yrs),figure summed from its precincts,,0,"row 'Total Write-ins' reads [0, 0] across its precincts; 35 rows in this record close against their own breakdown, so the columns are precincts"
