stem,rung,contests,reason
Milford2019,publish,23,
Milford2020,hold,27,FOR TRUSTEE OF VERNON GROVE CEMETERY: 12258 marks exceeds 6129x1=6129 -- impossible
Millbury2008,hold,0,the parse found no contest in this section
Millbury2009,publish,12,
Millbury2013,hold,7,HOUSING AUTHORITY 5 YEARS: 2990 marks exceeds 2969x1=2969 -- impossible
Millbury2015,publish,13,
Millbury2016,publish,10,
Millbury2017,publish,9,
Millbury2018,publish,7,
Millbury2020,hold,0,the parse found no contest in this section
Millis2018,hold,0,the parse found no contest in this section
Millis2020,hold,0,the parse found no contest in this section
Millville2018,hold,0,the parse found no contest in this section
Millville2020,publish,8,
Montague2010,publish,21,
Montague2011,publish,19,
Montague2014,publish,19,
Montague2015,review,21,"PUBLIC LIBRARY TRUSTEE, for THREE years: a figure was not readable"
Montague2016,publish,27,
Montague2017,publish,22,
Montague2018,review,17,"TOWN MEETING MEMBERS, for THREE years PRECINCT 2: a figure was not readable"
Montague2019,publish,25,
Montague2020,publish,21,
MountWashington2001,hold,0,the parse found no contest in this section
MountWashington2009,hold,0,the parse found no contest in this section
MountWashington2014,publish,10,
MountWashington2015,publish,11,
MountWashington2019,review,9,Selectboard: seat count left null by the transcriber
Nahant2002,hold,10,Moderator: 1215 marks exceeds 1212x1=1212 -- impossible
Nahant2008,hold,0,the parse found no contest in this section
Nahant2009,hold,0,the parse found no contest in this section
Nahant2010,publish,10,
Nahant2011,publish,12,
Nahant2012,review,10,Planning Board (for five years): a figure was not readable
Nahant2014,review,8,Assessor (For An Unexpired Term of Two Years): no candidates
Nahant2015,publish,11,
Nahant2016,publish,10,
Nahant2017,publish,12,
Nahant2019,hold,0,the parse found no contest in this section
Natick2010,publish,21,
Natick2011,publish,11,
Natick2012,publish,9,
Natick2016,publish,21,
Natick2020,review,20,Recreation and Parks (Three Years): a figure was not readable
Needham2011,hold,0,the parse found no contest in this section
Needham2013,hold,0,the parse found no contest in this section
NewAshford2017,hold,8,Tree Warden- 1 Year: 40 marks exceeds 39x1=39 -- impossible
NewAshford2019,hold,8,Fire Warden- 1 year: 38 marks exceeds 36x1=36 -- impossible
NewAshford2020,hold,0,the parse found no contest in this section
NewMarlborough2014,hold,0,the parse found no contest in this section
Newbury2011,review,11,TRITON REGIONAL SCHOOL COMMITTEE FOR THREE YEARS NEWBURY: a figure was not readable
Newbury2013,publish,16,
Newbury2014,publish,13,
Newbury2015,hold,0,the parse found no contest in this section
Newbury2017,publish,11,
Newbury2018,hold,0,the parse found no contest in this section
Norfolk2000,review,13,HOUSING AUTHORITY MEMBER TO FILL 2 YEAR UNEXPIRED TERM: a figure was not readable
Norfolk2002,publish,13,
Norfolk2003,publish,13,
Norfolk2004,publish,12,
Norfolk2005,review,13,BOARD OF HEALTH: a figure was not readable
Norfolk2006,publish,10,
Norfolk2007,publish,10,
Norfolk2008,publish,12,
Norfolk2010,publish,11,
Norfolk2011,publish,14,
Norfolk2013,publish,10,
Norfolk2015,review,11,KP School Committee - one 3 year term: a figure was not readable
Norfolk2016,hold,9,Board of Health: 717 marks exceeds 691x1=691 -- impossible
Norfolk2017,publish,10,
Norfolk2019,publish,11,
Norfolk2020,publish,11,
NorthAttleborough2006,hold,0,the parse found no contest in this section
NorthAttleborough2012,review,1,Town Election - Vote for 2: a figure was not readable
NorthBrookfield2007,publish,12,
NorthBrookfield2008,publish,12,
NorthBrookfield2009,publish,11,
NorthBrookfield2010,publish,14,
NorthBrookfield2011,publish,11,
NorthBrookfield2012,publish,13,
NorthBrookfield2014,publish,13,
NorthReading2005,publish,5,
NorthReading2009,hold,0,the parse found no contest in this section
NorthReading2011,publish,4,
NorthReading2015,hold,0,the parse found no contest in this section
NorthReading2018,publish,5,
Northborough2008,review,10,Total votes for NS/SB Regional School Committee: seat count left null by the transcriber
Northborough2009,review,8,two records claim Northborough 2009 and hold the same number of contests; neither can be preferred
Northborough2010,hold,0,the parse found no contest in this section
Northborough2011,review,8,two records claim Northborough 2009 and hold the same number of contests; neither can be preferred
Northborough2012,hold,0,the parse found no contest in this section
Northborough2013,hold,0,the parse found no contest in this section
Northborough2014,hold,0,the parse found no contest in this section
Northborough2015,hold,0,the parse found no contest in this section
Northborough2016,publish,7,
Northborough2017,hold,0,the parse found no contest in this section
Northborough2018,hold,0,the parse found no contest in this section
Northbridge2005,hold,8,PLANNING BOARD 3yr terms: 3828 marks exceeds 1914x1=1914 -- impossible
Northbridge2006,publish,8,
Northbridge2007,hold,0,the parse found no contest in this section
Northbridge2008,publish,9,
Northbridge2009,publish,5,
Northbridge2010,publish,11,
Northbridge2011,publish,10,
Northbridge2014,publish,13,
Northbridge2016,hold,0,the parse found no contest in this section
Northbridge2017,hold,0,the parse found no contest in this section
Northbridge2019,hold,0,the parse found no contest in this section
Northbridge2020,hold,0,the parse found no contest in this section
Northfield2008,publish,6,
Northfield2009,review,12,Town Clerk Three year term Vote for One: a figure was not readable
Northfield2010,publish,12,
Northfield2013,publish,12,
Northfield2015,publish,11,
Northfield2016,hold,10,Constables Three year term Vote for One: 1076 marks exceeds 269x1=269 -- impossible
Northfield2017,publish,11,
Northfield2018,hold,0,the parse found no contest in this section
Northfield2020,publish,10,
Norton2008,publish,7,
Norton2012,publish,8,
Norton2013,publish,7,
Norton2015,hold,0,the parse found no contest in this section
Norwell2012,publish,12,
Norwell2013,hold,13,PLANNING BOARD – Three Years – Vote for One: 4312 marks exceeds 542x1=542 -- impossible
Norwell2015,publish,9,
Norwell2017,hold,0,the parse found no contest in this section
Norwell2018,hold,9,BOARD OF SELECTMEN-Three Years-Vote for One: 3084 marks exceeds 1542x1=1542 -- impossible
Norwell2019,hold,10,BOARD OF ASSESSORS-Three Years-Vote for One: 451 marks exceeds 449x1=449 -- impossible
Norwell2020,hold,9,NORWELL PUBLIC LIBRARY TRUSTEES-Three Years-Vote for Two: 1174 marks exceeds 537x2=1074 -- impossible
Oakham2021,review,12,"Selectmen, 3 Years: a figure was not readable"
Orange2012,review,14,Regional School Committee (2): a figure was not readable
Orleans2011,publish,7,
Orleans2012,publish,8,
Orleans2013,publish,12,
Orleans2014,publish,9,
Orleans2015,publish,9,
Orleans2016,publish,8,
Orleans2017,publish,8,
Orleans2019,publish,8,
Otis2018,publish,10,
Otis2020,hold,0,the parse found no contest in this section
Otis2021,publish,10,
Oxford2020,publish,6,
Palmer2004,hold,17,"President & Vice President is a state or county office, so this section is not one annual municipal election (5 such offices here)"
Paxton2001,review,13,Selectboard: a figure was not readable
Paxton2002,review,22,Moderator: a figure was not readable
Paxton2007,review,12,Selectboard: a figure was not readable
Paxton2009,publish,12,
Paxton2011,publish,17,
Paxton2015,publish,12,no two contests agree on a ballot count
Paxton2019,hold,14,RECREATION COMMISSION 3 Years: 495 marks exceeds 472x1=472 -- impossible
Paxton2020,hold,0,the parse found no contest in this section
Pelham2020,review,11,School Committee (One for Two Years): a figure was not readable
Pembroke2007,publish,10,
Pembroke2008,publish,12,
Pembroke2009,publish,11,
Pembroke2011,publish,12,
Pembroke2012,hold,0,the parse found no contest in this section
Pembroke2014,publish,11,
Pembroke2015,review,10,HOUSING AUTHORITY 5 YEAR TERM: a figure was not readable
Pembroke2017,publish,11,
Pembroke2018,publish,13,
Pembroke2019,publish,13,
Pembroke2020,publish,12,
Pepperell2016,review,9,Board of Assessors: a figure was not readable
Pepperell2017,publish,9,
Pepperell2018,hold,0,the parse found no contest in this section
Pepperell2019,review,11,Vote for One (1 year) Board of Public Works: a figure was not readable
Pepperell2020,hold,0,the parse found no contest in this section
Peru2017,hold,7,Finance Committee 5-year term: 191 marks exceeds 190x1=190 -- impossible
Petersham2002,publish,12,
Petersham2003,publish,7,
Petersham2004,publish,10,
Petersham2005,publish,11,no two contests agree on a ballot count
Petersham2006,hold,0,the parse found no contest in this section
Petersham2007,hold,0,the parse found no contest in this section
Petersham2008,hold,10,BOARD OF SELECTMEN - 3 YEARS: 170 marks exceeds 124x1=124 -- impossible
Petersham2009,review,7,two records claim Petersham 2010 and hold the same number of contests; neither can be preferred
Petersham2010,review,7,two records claim Petersham 2010 and hold the same number of contests; neither can be preferred
Petersham2011,publish,12,
Petersham2012,hold,0,the parse found no contest in this section
Petersham2013,hold,0,the parse found no contest in this section
Petersham2014,hold,8,BOARD OF SELECTMEN - 3 YEARS: 374 marks exceeds 331x1=331 -- impossible
Petersham2015,review,8,CONSTABLE VOTE FOR 3 - 3 YEARS: a figure was not readable
Petersham2016,hold,0,the parse found no contest in this section
Petersham2017,hold,0,the parse found no contest in this section
Petersham2018,hold,0,the parse found no contest in this section
Petersham2019,publish,12,
Petersham2021,hold,0,the parse found no contest in this section
Plainfield2010,publish,3,
Plainfield2013,hold,11,Board of Assessors: (1 Year): 90 marks exceeds 89x1=89 -- impossible
Plainfield2016,hold,15,Board of Selectman: 111 marks exceeds 95x1=95 -- impossible
Plainfield2017,publish,8,
Plainville2015,publish,12,
Plainville2016,review,13,two records claim Plainville 2016 and hold the same number of contests; neither can be preferred
Plainville2017,review,13,two records claim Plainville 2016 and hold the same number of contests; neither can be preferred
Plainville2018,hold,0,the parse found no contest in this section
Plainville2020,publish,11,
Plymouth2010,publish,2,no two contests agree on a ballot count
Plymouth2011,publish,7,no two contests agree on a ballot count
Plymouth2013,review,5,Selectman: no candidates
Plymouth2015,hold,25,PLANNING BOARD 5yrs: 4679 marks exceeds 4678x1=4678 -- impossible
Plymouth2016,review,22,SELECTMAN: a figure was not readable
Plymouth2018,review,21,TOWN MEETING MEMBERS PRECINCT 1 (Vote: seat count left null by the transcriber
Plymouth2020,review,5,no election date could be derived
Plympton2002,publish,11,
Plympton2003,publish,14,
Plympton2004,hold,11,"Library Trustee, for two years: 728 marks exceeds 187x1=187 -- impossible"
Plympton2005,publish,10,
Plympton2007,hold,0,the parse found no contest in this section
Plympton2008,publish,11,
Plympton2009,publish,14,
Plympton2011,publish,12,
Plympton2018,hold,13,"BOARD OF HEALTH, 3 Years Vote One: 137 marks exceeds 135x1=135 -- impossible"
Princeton2004,hold,0,the parse found no contest in this section
Princeton2005,hold,9,SELECTMAN – 3 years: 707 marks exceeds 640x1=640 -- impossible
Princeton2010,publish,7,
Princeton2011,review,7,TRUSTEES OF TRUST FUNDS – 3 Years: seat count left null by the transcriber
Princeton2012,publish,7,
Princeton2013,publish,7,
Princeton2014,publish,7,
Princeton2015,publish,7,
Princeton2016,publish,7,
Princeton2017,publish,9,
Princeton2018,publish,9,
Princeton2020,publish,6,
Provincetown2009,publish,8,
Provincetown2010,review,7,no election date could be derived
Provincetown2011,review,8,no election date could be derived
Provincetown2015,review,10,no election date could be derived
Provincetown2016,publish,7,
Provincetown2017,publish,7,
Provincetown2018,publish,11,
Provincetown2019,publish,6,
Randolph2019,publish,4,no two contests agree on a ballot count
Reading2016,publish,18,no two contests agree on a ballot count
Reading2017,review,10,Precinct Seven - Town Meeting Members - 1 Year - Vote for One: a figure was not readable
Reading2019,review,14,Moderator - 1 Year - Vote for One: a figure was not readable
Reading2020,review,2,Moderator - 1 Year - Vote for One: a figure was not readable
Rehoboth2008,hold,0,the parse found no contest in this section
Rehoboth2012,hold,0,the parse found no contest in this section
Richmond2012,hold,0,the parse found no contest in this section
Richmond2016,hold,0,the parse found no contest in this section
Richmond2020,hold,0,the parse found no contest in this section
Rockland2003,publish,12,
Rockland2004,publish,14,
Rockland2005,hold,11,SCHOOL COMMITTEE MEMBER for three years: 3267 marks exceeds 3264x1=3264 -- impossible
Rockland2006,publish,15,
Rockland2007,publish,12,
Rockland2008,publish,11,
Rockland2009,publish,15,
Rockland2011,publish,11,
Rockland2013,publish,13,
Rowe2000,publish,15,no two contests agree on a ballot count
Rowe2001,publish,15,
Rowe2002,hold,15,SELECTMAN/BOARD OF HEALTH 3 YRS: 188 marks exceeds 142x1=142 -- impossible
Rowe2003,publish,10,
Rowe2004,hold,14,FINANCE COMMITTEE (3 YEARS): 211 marks exceeds 207x1=207 -- impossible
Rowe2005,publish,13,
Rowe2006,publish,10,
Rowe2007,publish,12,
Rowe2008,publish,15,
Rowe2009,publish,12,
Rowe2010,publish,16,
Rowe2011,publish,15,
Rowe2012,hold,0,the parse found no contest in this section
Rowe2013,publish,9,
Rowe2017,publish,18,
Rowe2019,publish,13,
Rowe2020,review,16,Warden: a figure was not readable
Rowley2006,hold,0,the parse found no contest in this section
Rowley2010,hold,0,the parse found no contest in this section
Rowley2015,hold,0,the parse found no contest in this section
Rowley2016,review,1,Board of Selectman: a figure was not readable
Rowley2020,hold,0,the parse found no contest in this section
Royalston2013,review,4,two records claim Royalston 2014 and hold the same number of contests; neither can be preferred
Royalston2014,review,4,two records claim Royalston 2014 and hold the same number of contests; neither can be preferred
Royalston2015,hold,0,the parse found no contest in this section
Royalston2016,hold,0,the parse found no contest in this section
Royalston2017,hold,0,the parse found no contest in this section
Rutland2014,hold,0,the parse found no contest in this section
Rutland2017,hold,0,the parse found no contest in this section
Rutland2018,hold,0,the parse found no contest in this section
Rutland2019,publish,10,
Salem2000,hold,0,the parse found no contest in this section
Salem2010,hold,4,"SENATOR IN CONGRESS is a state or county office, so this section is not one annual municipal election (4 such offices here)"
Salem2019,hold,0,the parse found no contest in this section
Salisbury2010,publish,6,
Salisbury2011,publish,4,no two contests agree on a ballot count
Salisbury2012,publish,4,no two contests agree on a ballot count
Salisbury2013,publish,7,
Salisbury2014,publish,4,
Sandisfield2016,publish,9,
Sandisfield2018,hold,0,the parse found no contest in this section
Sandwich2009,publish,10,
Sandwich2010,hold,14,Three Sandwich Public Library Trustees each for a term of Three: 7651 marks exceeds 2549x3=7647 -- impossible
Sandwich2011,hold,12,One Weston Memorial Fund Trustee for term of three years: 3116 marks exceeds 3111x1=3111 -- impossible
Sandwich2012,publish,13,
Sandwich2015,publish,11,
Sandwich2018,hold,0,the parse found no contest in this section
Sandwich2019,hold,0,the parse found no contest in this section
Sandwich2020,review,11,"Planning Board, Not More than Two - Three Year Terms: a figure was not readable"
Saugus2013,hold,0,the parse found no contest in this section
Saugus2015,hold,0,the parse found no contest in this section
Saugus2017,review,11,Town Meeting (two years) PCT 1: seat count left null by the transcriber
Savoy2019,publish,8,
Scituate2012,publish,7,
Scituate2017,hold,9,the section supports almost none of this record -- 1/14 names and 2/31 figures located in it
Seekonk2008,publish,6,
Seekonk2009,hold,0,the parse found no contest in this section
Seekonk2010,hold,0,the parse found no contest in this section
Seekonk2011,hold,9,SCHOOL COMMITTEE (Vote for ONE) 3 YR TERM: 4974 marks exceeds 2487x1=2487 -- impossible
Seekonk2013,hold,0,the parse found no contest in this section
Seekonk2014,hold,0,the parse found no contest in this section
Seekonk2017,hold,0,the parse found no contest in this section
Sharon2009,hold,0,the parse found no contest in this section
Sharon2010,hold,0,the parse found no contest in this section
Sharon2011,hold,0,the parse found no contest in this section
Sharon2012,hold,0,the parse found no contest in this section
Sharon2013,publish,7,
Sharon2014,publish,9,
Sharon2015,publish,7,
Sharon2016,hold,7,SCHOOL COMMITTEE FOR 3 YEARS (VOTE FOR NOT MORE THAN 2): 5987 marks exceeds 2975x2=5950 -- impossible
Sharon2017,publish,7,
Sharon2018,publish,6,
Sharon2020,publish,8,
Sheffield2011,hold,0,the parse found no contest in this section
Sheffield2017,hold,0,the parse found no contest in this section
Shirley2003,hold,18,BOARD OF ASSESSORS – 3 YRS: 936 marks exceeds 929x1=929 -- impossible
Shirley2007,publish,14,
Shirley2008,hold,0,the parse found no contest in this section
Shirley2009,hold,0,the parse found no contest in this section
Shirley2011,hold,0,the parse found no contest in this section
Shirley2013,publish,15,
Shirley2017,publish,18,
Shirley2018,publish,15,
Shirley2019,review,13,BOARD OF ASSESSORS – 1 YEAR: seat count is zero
Shirley2020,publish,15,
Shutesbury2012,hold,0,the parse found no contest in this section
Shutesbury2020,review,7,Board of Health: a figure was not readable
SouthHadley2007,hold,0,the parse found no contest in this section
SouthHadley2008,review,18,"South Hadley 2009 is already published from SouthHadley2009, which read more of the page"
SouthHadley2009,review,19,QUESTION 1 CHARTER: no candidates
SouthHadley2010,review,18,LIBRARY TRUSTEES FOR THREE YEARS: a figure was not readable
SouthHadley2011,hold,22,BOARD OF HEALTH FOR THREE YEARS: 2066 marks exceeds 2060x1=2060 -- impossible
SouthHadley2012,publish,21,
SouthHadley2013,review,15,PLANNING BOARD FOR THREE YEARS: seats inferred as 2 but the totals imply 1
SouthHadley2014,publish,16,
SouthHadley2015,hold,20,PLANNING BOARD FOR FIVE YEARS: 1652 marks exceeds 1556x1=1556 -- impossible
SouthHadley2016,hold,0,the parse found no contest in this section
SouthHadley2018,hold,0,the parse found no contest in this section
SouthHadley2019,publish,21,
SouthHadley2020,hold,0,the parse found no contest in this section
Southborough2005,review,10,Library Trustees: seat count left null by the transcriber
Southborough2009,publish,11,
Southborough2010,publish,14,
Southborough2011,publish,15,
Southborough2012,publish,17,
Southborough2013,publish,14,
Southborough2016,publish,12,
Southborough2018,hold,0,the parse found no contest in this section
Southborough2019,hold,0,the parse found no contest in this section
Southwick2006,hold,11,PARK AND REC COMMISSION ELECT ONE-3 YEARS: 2370 marks exceeds 1185x1=1185 -- impossible
Southwick2011,hold,0,the parse found no contest in this section
Southwick2012,hold,0,the parse found no contest in this section
Southwick2013,publish,12,
Southwick2015,hold,0,the parse found no contest in this section
Southwick2016,hold,0,the parse found no contest in this section
Southwick2018,publish,13,
Southwick2020,hold,0,the parse found no contest in this section
Spencer2013,publish,12,
Spencer2015,hold,0,the parse found no contest in this section
Spencer2016,hold,0,the parse found no contest in this section
Spencer2017,hold,0,the parse found no contest in this section
Spencer2019,publish,14,
Spencer2020,publish,7,
Springfield2007,hold,0,the parse found no contest in this section
Sterling2007,hold,12,LIBRARY TRUSTEES - (2) 3 year: 1425 marks exceeds 701x2=1402 -- impossible
Sterling2008,publish,11,
Sterling2009,publish,10,
Sterling2010,publish,11,
Sterling2011,review,10,DEPT OF PUBLIC WORKS: a figure was not readable
Sterling2012,review,12,BOARD OF LIBRARY TRUSTEES (3 year term): a figure was not readable
Sterling2015,review,11,BOARD OF HEALTH (3yrs): a figure was not readable
Sterling2016,publish,10,
Sterling2019,review,11,CONSTABLE (3 yrs): a figure was not readable
Sterling2020,review,13,PLANNING BOARD (3yrs): a figure was not readable
Stockbridge2020,hold,0,the parse found no contest in this section
Stoneham2012,publish,8,
Stoneham2013,publish,11,
Stoneham2015,hold,0,the parse found no contest in this section
Stoneham2016,publish,8,
Stoneham2017,publish,8,
Stoughton2014,hold,0,the parse found no contest in this section
Stoughton2015,hold,0,the parse found no contest in this section
Stoughton2016,hold,0,the parse found no contest in this section
Stow2006,publish,9,
Stow2008,hold,0,the parse found no contest in this section
Stow2009,hold,0,the parse found no contest in this section
Stow2010,publish,9,
Stow2011,hold,0,the parse found no contest in this section
Stow2012,hold,0,the parse found no contest in this section
Stow2015,publish,8,
Stow2018,publish,7,
Stow2019,publish,10,
Stow2020,publish,8,
Sturbridge2018,hold,10,STURBRIDGE SCHOOL COMMITTEE For 3 year Vote for One: 1366 marks exceeds 780x1=780 -- impossible
Sudbury2005,publish,11,
Sudbury2006,publish,11,
Sudbury2008,publish,10,
Sudbury2014,review,15,no election date could be derived
Sudbury2015,publish,10,
Sudbury2017,hold,0,the parse found no contest in this section
Sudbury2018,hold,0,the parse found no contest in this section
Sudbury2019,hold,0,the parse found no contest in this section
Sudbury2020,publish,8,
Sunderland2013,hold,0,the parse found no contest in this section
Sunderland2015,hold,0,the parse found no contest in this section
Sunderland2017,hold,0,the parse found no contest in this section
Sunderland2018,hold,0,the parse found no contest in this section
Sutton2007,hold,0,the parse found no contest in this section
Sutton2010,hold,0,the parse found no contest in this section
Sutton2012,hold,0,the parse found no contest in this section
Sutton2013,hold,0,the parse found no contest in this section
Sutton2014,hold,0,the parse found no contest in this section
Sutton2015,review,1,Selectmen: a figure was not readable
Sutton2017,hold,0,the parse found no contest in this section
Sutton2018,hold,0,the parse found no contest in this section
Sutton2019,hold,0,the parse found no contest in this section
Sutton2020,hold,0,the parse found no contest in this section
Swampscott2017,hold,0,the parse found no contest in this section
Templeton2012,review,15,MODERATOR 1 Yr.: a figure was not readable
Templeton2013,publish,15,
Templeton2014,publish,13,
Templeton2015,publish,16,
Templeton2018,publish,16,
Templeton2019,publish,13,
Templeton2020,publish,15,
Tewksbury2012,review,6,Board of Selectmen: seat count left null by the transcriber
Tewksbury2015,publish,8,
Tewksbury2016,publish,7,
Tisbury2020,hold,13,TOWN CLERK (1 for 3 yrs): 858 marks exceeds 856x1=856 -- impossible
Topsfield2007,hold,13,Road Commissioner (Three Years): 1829 marks exceeds 1338x1=1338 -- impossible
Topsfield2008,publish,14,
Topsfield2009,publish,14,
Topsfield2010,publish,13,
Topsfield2011,publish,12,
Topsfield2012,publish,12,
Topsfield2013,review,14,REGIONAL DISTRICT SCHOOL COMMITTEE: a figure was not readable
Topsfield2014,publish,14,
Topsfield2015,publish,13,
Topsfield2016,review,14,"Selectman, Three Years: a figure was not readable"
Topsfield2017,review,14,"Constable, Three Years: a figure was not readable"
Topsfield2019,review,12,"REGIONAL SCHOOL COMMITTEE, THREE YEARS (VOTE FOR ONE): a figure was not readable"
Topsfield2020,hold,0,the parse found no contest in this section
Truro2016,publish,7,
Truro2017,hold,0,the parse found no contest in this section
Truro2019,hold,0,the parse found no contest in this section
Tyngsborough2011,hold,15,Housing Authority: 1294 marks exceeds 1293x1=1293 -- impossible
Tyngsborough2015,hold,0,the parse found no contest in this section
Tyngsborough2017,publish,14,
Tyngsborough2018,publish,13,
Tyringham2018,review,10,Selectmen: a figure was not readable
Tyringham2019,hold,0,the parse found no contest in this section
Uxbridge2005,publish,8,
Uxbridge2006,hold,0,the parse found no contest in this section
Uxbridge2010,hold,0,the parse found no contest in this section
Uxbridge2013,hold,0,the parse found no contest in this section
Uxbridge2014,hold,0,the parse found no contest in this section
Wakefield2017,review,10,SCHOOL COMMITTEE - 3 YR TERM: seats inferred as 3 but the totals imply 2
Wakefield2020,review,12,Town Council: seats inferred as 2 but the totals imply 1
Wales2002,review,12,BOARD OF SELECTMEN: a figure was not readable
Wales2003,review,14,BOARD OF SELECTMEN 3 YR. TERM VOTE FOR ONE: a figure was not readable
Wales2004,review,14,BOARD OF SELECTMEN (3 YR TERM) VOTE FOR ONE: a figure was not readable
Wales2005,review,13,BOARD OF SELECTMEN 3 YR TERM VOTE FOR ONE: a figure was not readable
Wales2006,review,16,BOARD OF SELECTMEN 3 YR TERM VOTE FOR ONE: a figure was not readable
Wales2007,review,12,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable
Wales2009,review,14,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable
Wales2010,review,11,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable
Wales2011,review,13,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable
Wales2013,review,12,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable
Wales2014,review,9,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable
Wales2015,review,14,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable
Wales2016,review,10,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable
Wales2017,review,9,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable
Wales2018,review,14,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable
Wales2019,review,10,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable
Wales2020,review,8,BOARD OF SELECTMEN 3 YEAR TERM VOTE FOR ONE: a figure was not readable
Walpole2010,publish,10,
Walpole2011,publish,18,
Walpole2012,publish,11,
Walpole2013,hold,8,MODERATOR For one year - Vote for 1: 1886 marks exceeds 1875x1=1875 -- impossible
Walpole2014,publish,18,
Walpole2015,publish,22,
Walpole2016,publish,19,
Walpole2017,publish,20,
Walpole2018,hold,0,the parse found no contest in this section
Walpole2019,hold,0,the parse found no contest in this section
Walpole2020,publish,18,
Wareham2003,publish,7,
Wareham2011,review,4,no election date could be derived
Wareham2017,review,7,SELECTMEN: seat count left null by the transcriber
Wareham2018,publish,9,
Warwick2008,publish,10,
Warwick2012,publish,10,
Warwick2014,review,10,two records claim Warwick 2014 and hold the same number of contests; neither can be preferred
Warwick2015,review,10,two records claim Warwick 2014 and hold the same number of contests; neither can be preferred
Washington2020,publish,5,
Wayland2005,hold,0,the parse found no contest in this section
Wayland2006,publish,11,
Wayland2007,hold,0,the parse found no contest in this section
Wayland2008,publish,14,
Wayland2009,hold,0,the parse found no contest in this section
Wayland2010,hold,0,the parse found no contest in this section
Wayland2012,publish,13,
Wayland2013,hold,0,the parse found no contest in this section
Wayland2014,hold,0,the parse found no contest in this section
Wayland2015,hold,0,the parse found no contest in this section
Wayland2016,publish,13,
Wayland2017,hold,0,the parse found no contest in this section
Wayland2018,publish,14,
Wayland2019,hold,0,the parse found no contest in this section
Wellesley2009,hold,23,"BOARD OF SELECTMEN, Three Years, Vote for not more than TWO: 5474 marks exceeds 1843x2=3686 -- impossible"
Wellfleet2010,publish,11,
Wellfleet2014,hold,0,the parse found no contest in this section
Wellfleet2016,hold,0,the parse found no contest in this section
Wellfleet2017,publish,6,
Wellfleet2018,publish,6,
WestBrookfield2007,review,15,COMMON COMMITTEE 3 YEARS VOTE FOR ONE: a figure was not readable
WestBrookfield2008,publish,9,
WestBrookfield2009,hold,9,LIBRARY TRUSTEE 3 YEARS VOTE FOR ONE: 340 marks exceeds 170x1=170 -- impossible
WestBrookfield2010,publish,13,
WestBrookfield2011,publish,10,
WestBrookfield2012,hold,13,LIBRARY TRUSTEE (3-YEARS): 246 marks exceeds 124x1=124 -- impossible
WestBrookfield2013,publish,14,
WestBrookfield2014,hold,15,LIBRARY TRUSTEE 3 YEARS VOTE FOR TWO: 1569 marks exceeds 523x2=1046 -- impossible
WestBrookfield2015,publish,13,
WestBrookfield2016,publish,12,
WestBrookfield2017,publish,11,
WestBrookfield2018,publish,13,
WestNewbury2011,publish,10,
WestNewbury2012,hold,0,the parse found no contest in this section
WestNewbury2013,publish,9,
WestNewbury2014,publish,9,
WestNewbury2015,publish,11,
WestNewbury2016,publish,11,
WestNewbury2017,publish,9,
WestNewbury2018,publish,11,
WestNewbury2019,publish,11,
WestNewbury2020,publish,15,
WestTisbury2005,review,15,Land Bank Commissioner: seat count left null by the transcriber
WestTisbury2006,publish,8,no two contests agree on a ballot count
WestTisbury2007,publish,13,
WestTisbury2008,review,14,MODERATOR: a figure was not readable
WestTisbury2009,review,13,"West Tisbury 2009 is already published from WestTisbury2008, which read more of the page"
WestTisbury2016,publish,10,
WestTisbury2019,hold,11,SELECTMAN: 267 marks exceeds 264x1=264 -- impossible
Westborough2014,publish,10,
Westborough2018,publish,6,
Westborough2019,publish,5,
Westford2007,publish,6,
Westford2008,publish,8,
Westford2010,publish,5,
Westford2011,publish,8,
Westford2012,publish,6,
Westford2014,publish,9,
Westford2019,publish,8,
Westford2020,publish,6,
Westhampton2000,publish,15,
Westminster2009,publish,11,
Westminster2010,publish,13,
Westminster2011,publish,13,
Westminster2012,publish,10,
Westminster2013,publish,13,
Westminster2014,hold,16,Housing Authority-5 years: 84 marks exceeds 79x1=79 -- impossible
Westminster2015,publish,11,
Westminster2016,publish,11,
Westminster2017,publish,14,
Westminster2018,publish,12,
Westminster2019,publish,13,
Westminster2020,publish,14,
Weston2012,publish,10,
Weston2019,publish,11,
Westport2004,publish,14,
Westport2006,publish,11,
Westport2007,publish,11,
Westport2008,publish,17,
Westport2009,publish,12,
